school_id,school_original_es,school_es
7415,INSTITUTO ALEMAN DE OSORNO,Instituto Alem\u00e1n de Osorno
7416,LICEO OSORNO COLLEGE,Liceo Osorno College
7435,COLEGIO ALEMAN,Colegio Alem\u00e1n
7700,COLEGIO SAN FRANCISCO JAVIER,Colegio San Francisco Javier
7717,INSTITUTO ALEMAN DE PUERTO MONTT,Instituto Alem\u00e1n de Puerto Montt
7718,THE AMERICAN SCHOOL,The American School
7742,COLEGIO GERMANIA DEL VERBO DIVINO,Colegio Germania del Verbo Divino
8000,INSTITUTO ALEMAN DE FRUTILLAR,Instituto Alem\u00e1n de Frutillar
8463,THE BRITISH SCHOOL,The British School
8464,COLEGIO ALEMAN,Colegio Alem\u00e1n
8609,COLEGIO SAN IGNACIO,Colegio San Ignacio
8748,COLEGIO INSTITUTO ALONSO DE ERCILLA,Colegio Instituto Alonso de Ercilla
8750,COLEGIO ACADEMIA DE HUMANIDADES,Colegio Academia de Humanidades
8751,COLEGIO INSTITUTO ZAMBRANO,Colegio Instituto Zambrano
8754,COLEGIO HISPANO AMERICANO,Colegio Hispano Americano
8755,COLEGIO SAINT ROSE SCHOOL,Colegio Saint Rose School
8757,COLEGIO DE LOS SAGRADOS CORAZONES ALAMEDA,Colegio de Los Sagrados Corazones Alameda
8758,LICEO MARIA AUXILIADORA,Liceo Mar\u00eda Auxiliadora
8759,COLEGIO SANTA CECILIA,Colegio Santa Cecilia
8760,COLEGIO SAINT ROSE SCHOOL,Colegio Saint Rose School
8761,COLEGIO INSTITUTO DE HUMANIDADES LUIS CAMPINO,Colegio Instituto de Humanidades Luis Campino
8762,COLEGIO SANTA ELENA CARMELITAS MISIONERAS TERESIANA,Colegio Santa Elena Carmelitas Misioneras Teresiana
8763,COLEGIO DE ADULTOS CENTRO DE ESTUDIOS LA ARAUCANA,Colegio de Adultos Centro de Estudios La Araucana
8764,LICEO ALEMAN DE SANTIAGO,Liceo Alem\u00e1n de Santiago
8765,COLEGIO JUAN BOSCO,Colegio Juan Bosco
8769,COLEGIO SANTA MARIA CERVELLON,Colegio Santa Mar\u00eda Cervell\u00f3n
8852,COLEGIO SAN PATRICIO,Colegio San Patricio
8859,COLEGIO ADVENTISTA LAS CONDES,Colegio Adventista Las Condes
8860,COLEGIO ANGLO AMERICAN INTERNATIONAL SCHOOL,Colegio Anglo American International School
8862,COLEGIO TABANCURA,Colegio Tabancura
8863,COLEGIO SCUOLA ITALIANA VITTORIO MONTIGLIO,Colegio Scuola Italiana Vittorio Montiglio
8866,COLEGIO LO CASTILLO,Colegio Lo Castillo
8867,COLEGIO FRANCISCO DE ASIS,Colegio Francisco de As\u00eds
8868,COLEGIO LA GIROUETTE,Colegio La Girouette
8869,COLEGIO THE NEWLAND SCHOOL,Colegio The Newland School
8870,COLEGIO COMPANIA DE MARIA APOQUINDO,Colegio Compa\u00f1\u00eda de Mar\u00eda Apoquindo
8871,COLEGIO LOS ANDES DE VITACURA,Colegio Los Andes de Vitacura
8872,COLEGIO WENLOCK SCHOOL,Colegio Wenlock School
8873,COLEGIO VILLA MARIA ACADEMY,Colegio Villa Mar\u00eda Academy
8876,COLEGIO MANANTIALES,Colegio Manantiales
8877,COLEGIO DE LOS SAGRADOS CORAZONES,Colegio de Los Sagrados Corazones
8878,COLEGIO DEL SAGRADO CORAZON DE APOQUINDO,Colegio del Sagrado Coraz\u00f3n de Apoquindo
8880,COLEGIO NIDO DE AGUILAS,Colegio Nido de \u00c1guilas
8881,COLEGIO APOQUINDO HOMBRES,Colegio Apoquindo Hombres
8883,COLEGIO CONCORDIA,Colegio Concordia
8885,COLEGIO REDLAND SCHOOL,Colegio Redland School
8888,COLEGIO DEL VERBO DIVINO,Colegio Del Verbo Divino
8889,COLEGIO APOQUINDO FEMENINO,Colegio Apoquindo Femenino
8892,COLEGIO SAN JUAN EVANGELISTA,Colegio San Juan Evangelista
8893,COLEGIO INTERNACIONAL SEK CHILE,Colegio Internacional Sek Chile
8894,COLEGIO LA MAISONNETTE,Colegio La Maisonnette
8895,COLEGIO DALCAHUE,Colegio Dalcahue
8899,COLEGIO NUESTRA SENORA DEL PILAR,Colegio Nuestra Se\u00f1ora del Pilar
8900,COLEGIO SEMINARIO PONTIFICIO MENOR,Colegio Seminario Pontificio Menor
8902,COLEGIO CORDILLERA DE LAS CONDES,Colegio Cordillera de Las Condes
8903,COLEGIO LINCOLN INTERNATIONAL ACADEMY,Colegio Lincoln International Academy
8904,COLEGIO SANTA URSULA,Colegio Santa \u00darsula
8905,COLEGIO EL CARMEN TERESIANO I,Colegio El Carmen Teresiano I
8906,COLEGIO SAINT GEORGE S COLLEGE,Colegio Saint George´s College
8909,COLEGIO BRADFORD SCHOOL,Colegio Bradford School
8911,COLEGIO ARABE,Colegio \u00c1rabe
8913,COLEGIO EL DORADO,Colegio El Dorado
8914,COLEGIO WILLIAM KILPATRICK,Colegio William Kilpatrick
8917,COLEGIO CRAIGHOUSE,Colegio Craighouse
8919,COLEGIO SAN PEDRO NOLASCO,Colegio San Pedro Nolasco
8921,COLEGIO BRITISH HIGH,Colegio British High
8922,COLEGIO EL CANELO,Colegio El Canelo
8923,LYC\u00c9E ANTOINE DE SAINT-EXUP\u00c9RY,Lyc\u00e9e Antoine de Saint-Exup\u00e9ry
8941,COLEGIO SANTISIMA TRINIDAD,Colegio Sant\u00edsima Trinidad
8949,COLEGIO LAS AMERICAS,Colegio Las Am\u00e9ricas
8950,COLEGIO COMPANIA DE MARIA-SEMINARIO,Colegio Compa\u00f1\u00eda de Mar\u00eda-Seminario
8951,COLEGIO ARGENTINO DEL SAGRADO CORAZON,Colegio Argentino del Sagrado Coraz\u00f3n
8953,COLEGIO HUELEN,Colegio Huel\u00e9n
8956,COLEGIO LATINOAMERICANO DE INTEGRACION,Colegio Latinoamericano de Integraci\u00f3n
8958,COLEGIO QUEEN VICTORY COLLEGE,Colegio Queen Victory College
8959,COLEGIO SUPERIOR CAMBRIDGE,Colegio Superior Cambridge
8964,COLEGIO CARMEN MC PHEE,Colegio Carmen Mc Phee
8966,COLEGIO SAINT GABRIEL´S SCHOOL LOCAL SEDE,Colegio Saint Gabriel's School Local Sede
8969,COLEGIO THE ANGEL´S SCHOOL,Colegio The Angel's School
8971,CENTRO EDUCACIONAL OMEGA,Centro Educacional Omega
8972,COLEGIO SAN BENITO,Colegio San Benito
8974,COLEGIO CAMPVS COLLEGE,Colegio Campvs College
8978,COLEGIO DUNALASTAIR,Colegio Dunalastair
8979,COLEGIO ALEMAN DE SANTIAGO,Colegio Alem\u00e1n de Santiago
8981,COLEGIO DE LOS SAGRADOS CORAZONES PROVIDENCIA,Colegio de Los Sagrados Corazones Providencia
8983,COLEGIO JOHN JOHN,Colegio John John
8984,COLEGIO TREWHELA´S ENGLISH SCHOOL,Colegio Trewhela's English School
8988,COLEGIO MARIANO,Colegio Mariano
8989,COLEGIO GRANVILLE`S COLLEGE,Colegio Granville's College
8991,COLEGIO PADRE HURTADO Y JUANITA DE LOS ANDES,Colegio Padre Hurtado y Juanita de Los Andes
8992,COLEGIO ALEMAN SANKT THOMAS MORUS,Colegio Alem\u00e1n Sankt Thomas Morus
8993,COLEGIO PASTEUR,Colegio Pasteur
