"","geography_level","geography_name","geography_id","sex","year","weighted_mean","weighted_median","ci_weighted_mean","ci_weighted_median"
"108","provincia","Coyhaique","p111","Hombre",2010,468537.524486307,316108.272519772,"[420731, 524770]","[279809, 359424]"
"109","provincia","Coyhaique","p111","Hombre",2011,496005.337947273,321546.626231994,"[448460, 568964]","[299041, 400516]"
"110","provincia","Coyhaique","p111","Hombre",2012,493005.423013121,321798.746774787,"[436239, 575080]","[300000, 351579]"
"111","provincia","Coyhaique","p111","Hombre",2013,504637.965898354,349811.331437927,"[457377, 561639]","[300407, 394708]"
"112","provincia","Coyhaique","p111","Hombre",2014,579324.59270264,353647.9060072,"[526001, 649554]","[334181, 399925]"
"113","provincia","Coyhaique","p111","Hombre",2015,723705.7252352,481955.813111194,"[651103, 792617]","[425474, 502037]"
"114","provincia","Curicó","p73","Hombre",2010,315417.837633503,200121.063239207,"[281325, 353717]","[184873, 203024]"
"115","provincia","Curicó","p73","Hombre",2011,311946.151569197,200000,"[272123, 364241]","[199361, 203262]"
"116","provincia","Curicó","p73","Hombre",2012,326290.914940516,242086.984536082,"[299840, 348656]","[221237, 251405]"
"117","provincia","Curicó","p73","Hombre",2013,350150.833793107,278942.636216508,"[323761, 391878]","[253208, 298867]"
"118","provincia","Curicó","p73","Hombre",2014,391949.130171856,276367.811475339,"[344750, 431208]","[260768, 299944]"
"119","provincia","Curicó","p73","Hombre",2015,459840.629460597,321636.505107759,"[408326, 530493]","[301605, 350005]"
"120","provincia","El Loa","p22","Hombre",2010,681463.047755128,464783.660134562,"[600460, 775658]","[401112, 514786]"
"121","provincia","El Loa","p22","Hombre",2011,789786.380864955,498401.805020212,"[677996, 867646]","[452077, 577673]"
"122","provincia","El Loa","p22","Hombre",2012,804061.931165534,606968.007535166,"[722421, 869770]","[560346, 700012]"
"123","provincia","El Loa","p22","Hombre",2013,1077359.81027356,796978.960618594,"[931515, 1203948]","[695391, 946139]"
"124","provincia","El Loa","p22","Hombre",2014,1007919.28877344,799870.558927435,"[905236, 1124180]","[612814, 908550]"
"125","provincia","El Loa","p22","Hombre",2015,987808.495689964,700189.428107526,"[888050, 1075675]","[600077, 761741]"
"126","provincia","Elqui","p41","Hombre",2010,432005.21535526,250618.616285209,"[389043, 481830]","[249829, 300103]"
"127","provincia","Elqui","p41","Hombre",2011,453924.293853553,299041.083012127,"[401286, 516041]","[260161, 312139]"
"128","provincia","Elqui","p41","Hombre",2012,504743.183616698,370137.188860912,"[462889, 553299]","[348000, 401804]"
"129","provincia","Elqui","p41","Hombre",2013,537256.816590374,350474.469046545,"[480353, 606341]","[314135, 399000]"
"130","provincia","Elqui","p41","Hombre",2014,544819.434239695,399924.995312207,"[490877, 597066]","[359857, 417659]"
"131","provincia","Elqui","p41","Hombre",2015,577960.18553965,400000,"[501765, 642372]","[376107, 408000]"
"132","provincia","General Carrera","p114","Hombre",2010,272352.24433628,199863.214460186,"[198987, 355012]","[162127, 268243]"
"133","provincia","General Carrera","p114","Hombre",2011,353002.479769958,286753.10732271,"[244905, 484301]","[256479, 434269]"
"134","provincia","General Carrera","p114","Hombre",2012,572696.330757524,482698.120162181,"[312684, 897173]","[271945, 724047]"
"135","provincia","General Carrera","p114","Hombre",2013,698660.317651773,500322.771895001,"[393170, 1053327]","[298867, 765248]"
"136","provincia","General Carrera","p114","Hombre",2014,405538.004278657,309574.398223648,"[333383, 493190]","[239888, 398841]"
"137","provincia","General Carrera","p114","Hombre",2015,511832.526282147,381076.392250596,"[412683, 645231]","[300013, 526247]"
"138","provincia","Huasco","p33","Hombre",2010,339023.647238912,240205.040449842,"[305024, 372335]","[200196, 279809]"
"139","provincia","Huasco","p33","Hombre",2011,361850.563697815,260657.488537877,"[324437, 418710]","[249201, 300000]"
"140","provincia","Huasco","p33","Hombre",2012,420692.615313551,300333.470851071,"[372217, 464162]","[250000, 336017]"
"141","provincia","Huasco","p33","Hombre",2013,399494.556055192,298867.110231973,"[351585, 453765]","[238947, 300466]"
"142","provincia","Huasco","p33","Hombre",2014,389642.144355097,323335.22834944,"[351270, 422952]","[300000, 353648]"
"143","provincia","Huasco","p33","Hombre",2015,419014.818884663,316973.525779449,"[362942, 471123]","[300000, 350726]"
"144","provincia","Iquique","p11","Hombre",2010,502665.213210255,304174.890647966,"[435003, 612841]","[299795, 349774]"
"145","provincia","Iquique","p11","Hombre",2011,497735.686628908,350000,"[453171, 597112]","[301450, 398721]"
"146","provincia","Iquique","p11","Hombre",2012,564980.128017011,401413.828636583,"[499170, 625608]","[351967, 427507]"
"147","provincia","Iquique","p11","Hombre",2013,620339.28246577,410000,"[560406, 702058]","[398489, 449817]"
"148","provincia","Iquique","p11","Hombre",2014,655519.434551776,499945.785958603,"[597200, 709909]","[466991, 505211]"
"149","provincia","Iquique","p11","Hombre",2015,714810.840274143,428034.428665587,"[618003, 909876]","[401630, 500000]"
"150","provincia","Limarí","p43","Hombre",2010,297126.907015759,200195.73302016,"[275527, 317900]","[200000, 211036]"
"151","provincia","Limarí","p43","Hombre",2011,306227.492222177,219296.794208893,"[286459, 335259]","[200967, 240184]"
"152","provincia","Limarí","p43","Hombre",2012,332862.870636816,250928.756277288,"[298631, 369961]","[230000, 280000]"
"153","provincia","Limarí","p43","Hombre",2013,358966.312391227,297559.754786483,"[333733, 390656]","[268998, 300000]"
"154","provincia","Limarí","p43","Hombre",2014,355248.778667479,289040.108121185,"[326168, 389504]","[269949, 300000]"
"155","provincia","Limarí","p43","Hombre",2015,329834.502281726,280000,"[309935, 356307]","[253498, 300043]"
"156","provincia","Linares","p74","Hombre",2010,210830.228993764,169883.732291158,"[187186, 241632]","[159505, 174880]"
"157","provincia","Linares","p74","Hombre",2011,238491.439473657,179436.721955676,"[216363, 274809]","[172871, 181158]"
"158","provincia","Linares","p74","Hombre",2012,260767.825363416,200000,"[230261, 294248]","[193870, 201124]"
