"","geography_level","geography_name","geography_id","sex","year","weighted_mean","weighted_median","ci_weighted_mean","ci_weighted_median"
"601","comuna","La Granja",121,"Hombre",2011,275643.648399311,249604.796647654,"[227538, 329218]","[199235, 283199]"
"602","comuna","La Granja",121,"Hombre",2012,262906.85566431,267537.34620402,"[214076, 312560]","[195445, 301353]"
"603","comuna","La Granja",121,"Hombre",2013,494027.090888572,348618.165581821,"[378682, 645973]","[295226, 429006]"
"604","comuna","La Granja",121,"Hombre",2014,401646.097134788,349934.370898181,"[345668, 476325]","[303492, 401697]"
"605","comuna","La Granja",121,"Hombre",2015,391614.893830711,346672.077572948,"[328890, 470284]","[300081, 408039]"
"606","comuna","La Higuera",122,"Hombre",2010,264789.80600685,233045.39925197,"[201651, 346771]","[148091, 349761]"
"607","comuna","La Higuera",122,"Hombre",2011,250542.309242413,234014.158524911,"[207412, 302869]","[195534, 299041]"
"608","comuna","La Higuera",122,"Hombre",2012,267397.035257539,208109.654531614,"[188692, 335026]","[188397, 301353]"
"609","comuna","La Higuera",122,"Hombre",2013,199129.78059677,177784.739792984,"[148031, 259207]","[61127, 300000]"
"610","comuna","La Higuera",122,"Hombre",2014,531631.276945746,316713.057417663,"[366253, 750860]","[245949, 415000]"
"611","comuna","La Higuera",122,"Hombre",2015,312925.788367383,245000,"[190450, 514518]","[176857, 283500]"
"612","comuna","La Ligua",123,"Hombre",2010,338884.375994957,180000,"[263622, 416250]","[171882, 200152]"
"613","comuna","La Ligua",123,"Hombre",2011,404761.707835118,256844.177089132,"[340675, 492134]","[200509, 321758]"
"614","comuna","La Ligua",123,"Hombre",2012,424608.6822534,250691.853008302,"[322720, 528061]","[211180, 300078]"
"615","comuna","La Ligua",123,"Hombre",2013,355552.899596551,250069.258521367,"[304607, 413404]","[237417, 299897]"
"616","comuna","La Ligua",123,"Hombre",2014,375860.069535343,300000,"[318384, 457724]","[249975, 303127]"
"617","comuna","La Ligua",123,"Hombre",2015,477991.227886144,300081.183474654,"[388281, 581335]","[284688, 360069]"
"618","comuna","La Pintana",124,"Hombre",2010,306920.244702587,220000,"[233558, 363258]","[199961, 249829]"
"619","comuna","La Pintana",124,"Hombre",2011,268673.054202141,249200.902510106,"[228822, 302571]","[200525, 250000]"
"620","comuna","La Pintana",124,"Hombre",2012,338491.771886113,301353.092783505,"[284343, 383366]","[255445, 355131]"
"621","comuna","La Pintana",124,"Hombre",2013,300121.627801077,300000,"[269791, 340492]","[250000, 300144]"
"622","comuna","La Pintana",124,"Hombre",2014,311155.327991474,299952.358743131,"[269292, 345059]","[252793, 349934]"
"623","comuna","La Pintana",124,"Hombre",2015,368328.5694274,300685.986168761,"[313070, 469156]","[300000, 400000]"
"624","comuna","La Reina",125,"Hombre",2010,1207903.73146356,834914.253071786,"[930197, 1548510]","[663977, 1345635]"
"625","comuna","La Reina",125,"Hombre",2011,1265844.26051738,662297.298035649,"[953733, 1661816]","[511631, 1003904]"
"626","comuna","La Reina",125,"Hombre",2012,1643671.87438023,1243128.04753257,"[1220701, 2111648]","[538408, 2510881]"
"627","comuna","La Reina",125,"Hombre",2013,1354769.92336144,852727.811712024,"[1023392, 1705625]","[635398, 1502033]"
"628","comuna","La Reina",125,"Hombre",2014,1257066.32337468,786764.956961032,"[944384, 1758460]","[424027, 1254217]"
"629","comuna","La Reina",125,"Hombre",2015,983199.827873667,952326.001503866,"[763185, 1271272]","[655801, 1031185]"
"630","comuna","La Serena",126,"Hombre",2010,523163.159319876,350000,"[436083, 606587]","[250000, 400000]"
"631","comuna","La Serena",126,"Hombre",2011,519512.191677947,327723.625161363,"[423070, 619053]","[299041, 400000]"
"632","comuna","La Serena",126,"Hombre",2012,576476.38415127,401804.12371134,"[497608, 688110]","[351763, 439725]"
"633","comuna","La Serena",126,"Hombre",2013,701371.648363448,441658.203661565,"[599700, 859509]","[348201, 539410]"
"634","comuna","La Serena",126,"Hombre",2014,609459.827069724,423026.303047346,"[524206, 713373]","[353051, 500000]"
"635","comuna","La Serena",126,"Hombre",2015,642019.733152356,401629.844259328,"[545860, 757813]","[383828, 480130]"
"636","comuna","La Unión",127,"Hombre",2010,210500.486904796,183389.662917981,"[176119, 248901]","[171882, 200196]"
"637","comuna","La Unión",127,"Hombre",2011,255464.554034847,181418.257027357,"[195251, 313351]","[152327, 203604]"
"638","comuna","La Unión",127,"Hombre",2012,299392.462402695,215816.026505172,"[247592, 350205]","[201117, 268443]"
"639","comuna","La Unión",127,"Hombre",2013,254813.448946305,231640.882035964,"[219652, 289273]","[193841, 254939]"
"640","comuna","La Unión",127,"Hombre",2014,274035.8600446,239954.997187324,"[241110, 310451]","[221232, 275145]"
"641","comuna","La Unión",127,"Hombre",2015,331818.753377258,270801.436731844,"[278949, 405780]","[239473, 321585]"
"642","comuna","Lago Ranco",128,"Hombre",2012,438200,225000,"[165525, 728355]","[30000, 861000]"
"643","comuna","Lago Ranco",128,"Hombre",2013,536714.285714286,550000,"[211632, 860750]","[90000, 1100000]"
"644","comuna","Lago Ranco",128,"Hombre",2014,374151.222331294,200000,"[153433, 626077]","[100000, 630000]"
"645","comuna","Lago Ranco",128,"Hombre",2015,309724.511567202,300979.940211915,"[177263, 522881]","[130425, 371000]"
"646","comuna","Lago Verde",129,"Hombre",2012,329856.055546011,251405.270917803,"[244177, 459559]","[193079, 340663]"
"647","comuna","Lago Verde",129,"Hombre",2013,427746.271087553,247692.498439359,"[284881, 628092]","[215291, 551910]"
"648","comuna","Lago Verde",129,"Hombre",2014,356470.515619626,274162.342213045,"[253461, 507224]","[227345, 316984]"
"649","comuna","Lago Verde",129,"Hombre",2015,614228.79974893,386873.282190182,"[411100, 941922]","[301222, 482695]"
"650","comuna","Laja",131,"Hombre",2010,269777.445027062,213277.145435152,"[196825, 324945]","[190000, 309684]"
"651","comuna","Laja",131,"Hombre",2011,299445.871724392,200400.935504348,"[214321, 380686]","[181286, 490000]"
"652","comuna","Laja",131,"Hombre",2012,322015.062661176,245730.838063999,"[209014, 467601]","[190000, 305290]"
"653","comuna","Laja",131,"Hombre",2013,335260.024770505,294000,"[261157, 406776]","[218545, 399274]"
"654","comuna","Laja",131,"Hombre",2014,536343.76857149,577717.012871531,"[434448, 628759]","[382392, 600642]"
"655","comuna","Laja",131,"Hombre",2015,378138.457612291,351510.804597701,"[299992, 457240]","[234012, 483849]"
"656","comuna","Lampa",346,"Hombre",2010,530674.461422271,265271.073019072,"[392866, 679145]","[223143, 400000]"
"657","comuna","Lampa",346,"Hombre",2011,317179.191132598,241488.757092821,"[250403, 407318]","[193494, 350000]"
"658","comuna","Lampa",346,"Hombre",2012,268873.427873574,221648.398044312,"[231829, 307690]","[200058, 261173]"
"659","comuna","Lampa",346,"Hombre",2013,292821.94463357,244679.188780427,"[249123, 329553]","[229131, 278943]"
"660","comuna","Lampa",346,"Hombre",2014,411492.415994533,315715.48822208,"[356496, 491350]","[276524, 356476]"
