"","sex","geography_name","geography_id","year","ub_weighted_median"
"289","Hombre","Colina",59,2010,266989
"290","Hombre","Colina",59,2011,314660
"291","Hombre","Colina",59,2012,360000
"292","Hombre","Colina",59,2013,400542
"293","Hombre","Colina",59,2014,382079
"294","Hombre","Colina",59,2015,409197
"295","Hombre","Collipulli",60,2010,221103
"296","Hombre","Collipulli",60,2011,264857
"297","Hombre","Collipulli",60,2012,285472
"298","Hombre","Collipulli",60,2013,233614
"299","Hombre","Collipulli",60,2014,234177
"300","Hombre","Collipulli",60,2015,300012
"301","Hombre","Coltauco",61,2014,350000
"302","Hombre","Coltauco",61,2015,390000
"303","Hombre","Combarbalá",62,2010,190535
"304","Hombre","Combarbalá",62,2011,264072
"305","Hombre","Combarbalá",62,2012,282741
"306","Hombre","Combarbalá",62,2013,252186
"307","Hombre","Combarbalá",62,2014,298279
"308","Hombre","Combarbalá",62,2015,343962
"309","Hombre","Concepción",64,2010,295048
"310","Hombre","Concepción",64,2011,315551
"311","Hombre","Concepción",64,2012,350000
"312","Hombre","Concepción",64,2013,350415
"313","Hombre","Concepción",64,2014,349996
"314","Hombre","Concepción",64,2015,401630
"315","Hombre","Conchalí",65,2010,250245
"316","Hombre","Conchalí",65,2011,371808
"317","Hombre","Conchalí",65,2012,301578
"318","Hombre","Conchalí",65,2013,366784
"319","Hombre","Conchalí",65,2014,399925
"320","Hombre","Conchalí",65,2015,451280
"321","Hombre","Concón",63,2010,458997
"322","Hombre","Concón",63,2011,404117
"323","Hombre","Concón",63,2012,673606
"324","Hombre","Concón",63,2013,608073
"325","Hombre","Concón",63,2014,806077
"326","Hombre","Concón",63,2015,725983
"327","Hombre","Constitución",66,2010,311962
"328","Hombre","Constitución",66,2011,278634
"329","Hombre","Constitución",66,2012,320793
"330","Hombre","Constitución",66,2013,358641
"331","Hombre","Constitución",66,2014,353259
"332","Hombre","Constitución",66,2015,343301
"333","Hombre","Copiapó",68,2010,381308
"334","Hombre","Copiapó",68,2011,416601
"335","Hombre","Copiapó",68,2012,427049
"336","Hombre","Copiapó",68,2013,560759
"337","Hombre","Copiapó",68,2014,501295
"338","Hombre","Copiapó",68,2015,628744
"339","Hombre","Coquimbo",69,2010,300294
"340","Hombre","Coquimbo",69,2011,317009
"341","Hombre","Coquimbo",69,2012,400936
"342","Hombre","Coquimbo",69,2013,373967
"343","Hombre","Coquimbo",69,2014,424377
"344","Hombre","Coquimbo",69,2015,480130
"345","Hombre","Coronel",70,2010,280365
"346","Hombre","Coronel",70,2011,298438
"347","Hombre","Coronel",70,2012,263879
"348","Hombre","Coronel",70,2013,301024
"349","Hombre","Coronel",70,2014,349865
"350","Hombre","Coronel",70,2015,350015
"351","Hombre","Corral",71,2010,265000
"352","Hombre","Corral",71,2011,284089
"353","Hombre","Corral",71,2012,321443
"354","Hombre","Corral",71,2013,500000
"355","Hombre","Corral",71,2014,402025
"356","Hombre","Corral",71,2015,363396
"357","Hombre","Coyhaique",54,2010,359424
"358","Hombre","Coyhaique",54,2011,400516
"359","Hombre","Coyhaique",54,2012,381514
"360","Hombre","Coyhaique",54,2013,398489
"361","Hombre","Coyhaique",54,2014,400286
"362","Hombre","Coyhaique",54,2015,520807
"363","Hombre","Cunco",72,2011,300000
"364","Hombre","Cunco",72,2012,324000
"365","Hombre","Cunco",72,2013,258327
"366","Hombre","Cunco",72,2014,290654
"367","Hombre","Cunco",72,2015,258371
"368","Hombre","Curacautín",73,2010,222059
"369","Hombre","Curacautín",73,2011,227448
"370","Hombre","Curacautín",73,2012,346370
"371","Hombre","Curacautín",73,2013,283529
"372","Hombre","Curacautín",73,2014,324760
"373","Hombre","Curacautín",73,2015,426372
"374","Hombre","Curacaví",74,2010,291000
"375","Hombre","Curacaví",74,2011,310500
"376","Hombre","Curacaví",74,2012,380000
"377","Hombre","Curaco de Vélez",75,2010,299795
"378","Hombre","Curaco de Vélez",75,2011,338323
"379","Hombre","Curaco de Vélez",75,2012,312128
"380","Hombre","Curaco de Vélez",75,2013,336819
"381","Hombre","Curaco de Vélez",75,2014,271499
"382","Hombre","Curaco de Vélez",75,2015,329696
"383","Hombre","Curanilahue",76,2010,300294
"384","Hombre","Curanilahue",76,2011,297696
"385","Hombre","Curanilahue",76,2012,297769
"386","Hombre","Curanilahue",76,2013,338496
"387","Hombre","Curanilahue",76,2014,367283
"388","Hombre","Curanilahue",76,2015,371555
"389","Hombre","Curarrehue",77,2010,136357
"390","Hombre","Curarrehue",77,2011,394933
"391","Hombre","Curarrehue",77,2012,90159
"392","Hombre","Curarrehue",77,2013,239592
"393","Hombre","Curarrehue",77,2014,299944
"394","Hombre","Curarrehue",77,2015,351130
"395","Hombre","Curicó",79,2010,250680
"396","Hombre","Curicó",79,2011,251208
"397","Hombre","Curicó",79,2012,300000
"398","Hombre","Curicó",79,2013,303965
"399","Hombre","Curicó",79,2014,300000
"400","Hombre","Curicó",79,2015,401610
"401","Hombre","Dalcahue",80,2010,164135
