"","sex","work_day","geography_name","geography_id","year","lb_weighted_median"
"319","Hombre","Parcial","Arauco","p82",2014,59989
"320","Hombre","Parcial","Arauco","p82",2015,80157
"321","Hombre","Parcial","Arica","p151",2010,87389
"322","Hombre","Parcial","Arica","p151",2011,100233
"323","Hombre","Parcial","Arica","p151",2012,100000
"324","Hombre","Parcial","Arica","p151",2013,100064
"325","Hombre","Parcial","Arica","p151",2014,119977
"326","Hombre","Parcial","Arica","p151",2015,150545
"327","Hombre","Parcial","Aysén","p112",2010,123626
"328","Hombre","Parcial","Aysén","p112",2011,169457
"329","Hombre","Parcial","Aysén","p112",2012,140820
"330","Hombre","Parcial","Aysén","p112",2013,93281
"331","Hombre","Parcial","Aysén","p112",2014,149972
"332","Hombre","Parcial","Aysén","p112",2015,137273
"333","Hombre","Parcial","Bíobío","p83",2010,46408
"334","Hombre","Parcial","Bíobío","p83",2011,48054
"335","Hombre","Parcial","Bíobío","p83",2012,56393
"336","Hombre","Parcial","Bíobío","p83",2013,60081
"337","Hombre","Parcial","Bíobío","p83",2014,61722
"338","Hombre","Parcial","Bíobío","p83",2015,94776
"339","Hombre","Parcial","Cachapoal","p61",2010,60558
"340","Hombre","Parcial","Cachapoal","p61",2011,85411
"341","Hombre","Parcial","Cachapoal","p61",2012,97044
"342","Hombre","Parcial","Cachapoal","p61",2013,103689
"343","Hombre","Parcial","Cachapoal","p61",2014,168825
"344","Hombre","Parcial","Cachapoal","p61",2015,160992
"345","Hombre","Parcial","Capitán Prat","p113",2010,1269131
"346","Hombre","Parcial","Capitán Prat","p113",2011,25121
"347","Hombre","Parcial","Capitán Prat","p113",2014,60000
"348","Hombre","Parcial","Cardenal Caro","p62",2010,46104
"349","Hombre","Parcial","Cardenal Caro","p62",2011,82287
"350","Hombre","Parcial","Cardenal Caro","p62",2012,60000
"351","Hombre","Parcial","Cardenal Caro","p62",2013,149657
"352","Hombre","Parcial","Cardenal Caro","p62",2014,59989
"353","Hombre","Parcial","Cardenal Caro","p62",2015,144773
"354","Hombre","Parcial","Cauquenes","p72",2010,40039
"355","Hombre","Parcial","Cauquenes","p72",2011,61886
"356","Hombre","Parcial","Cauquenes","p72",2012,70316
"357","Hombre","Parcial","Cauquenes","p72",2013,39114
"358","Hombre","Parcial","Cauquenes","p72",2014,99994
"359","Hombre","Parcial","Cauquenes","p72",2015,40864
"360","Hombre","Parcial","Cautín","p91",2010,50032
"361","Hombre","Parcial","Cautín","p91",2011,54086
"362","Hombre","Parcial","Cautín","p91",2012,60000
"363","Hombre","Parcial","Cautín","p91",2013,80000
"364","Hombre","Parcial","Cautín","p91",2014,100158
"365","Hombre","Parcial","Cautín","p91",2015,80091
"366","Hombre","Parcial","Chacabuco","p133",2010,63904
"367","Hombre","Parcial","Chacabuco","p133",2011,79613
"368","Hombre","Parcial","Chacabuco","p133",2012,106336
"369","Hombre","Parcial","Chacabuco","p133",2013,80000
"370","Hombre","Parcial","Chacabuco","p133",2014,114130
"371","Hombre","Parcial","Chacabuco","p133",2015,95996
"372","Hombre","Parcial","Chañaral","p32",2010,20000
"373","Hombre","Parcial","Chañaral","p32",2011,24000
"374","Hombre","Parcial","Chañaral","p32",2012,25000
"375","Hombre","Parcial","Chañaral","p32",2014,151563
"376","Hombre","Parcial","Chañaral","p32",2015,50204
"377","Hombre","Parcial","Chiloé","p102",2010,60059
"378","Hombre","Parcial","Chiloé","p102",2011,99680
"379","Hombre","Parcial","Chiloé","p102",2012,83683
"380","Hombre","Parcial","Chiloé","p102",2013,100070
"381","Hombre","Parcial","Chiloé","p102",2014,120556
"382","Hombre","Parcial","Chiloé","p102",2015,150030
"383","Hombre","Parcial","Choapa","p42",2010,68866
"384","Hombre","Parcial","Choapa","p42",2011,69733
"385","Hombre","Parcial","Choapa","p42",2012,59370
"386","Hombre","Parcial","Choapa","p42",2013,39998
"387","Hombre","Parcial","Choapa","p42",2014,86221
"388","Hombre","Parcial","Choapa","p42",2015,75855
"389","Hombre","Parcial","Colchagua","p63",2010,100000
"390","Hombre","Parcial","Colchagua","p63",2011,50981
"391","Hombre","Parcial","Colchagua","p63",2012,100451
"392","Hombre","Parcial","Colchagua","p63",2013,90254
"393","Hombre","Parcial","Colchagua","p63",2014,77863
"394","Hombre","Parcial","Colchagua","p63",2015,50003
"395","Hombre","Parcial","Concepción","p81",2010,99932
"396","Hombre","Parcial","Concepción","p81",2011,61704
"397","Hombre","Parcial","Concepción","p81",2012,80000
"398","Hombre","Parcial","Concepción","p81",2013,95871
"399","Hombre","Parcial","Concepción","p81",2014,101001
"400","Hombre","Parcial","Concepción","p81",2015,70251
"401","Hombre","Parcial","Copiapó","p31",2010,80078
"402","Hombre","Parcial","Copiapó","p31",2011,89074
"403","Hombre","Parcial","Copiapó","p31",2012,80415
"404","Hombre","Parcial","Copiapó","p31",2013,170216
"405","Hombre","Parcial","Copiapó","p31",2014,100493
"406","Hombre","Parcial","Copiapó","p31",2015,107212
"407","Hombre","Parcial","Cordillera","p152",2010,116114
"408","Hombre","Parcial","Cordillera","p152",2011,63355
"409","Hombre","Parcial","Cordillera","p152",2012,94104
"410","Hombre","Parcial","Cordillera","p152",2013,132070
"411","Hombre","Parcial","Cordillera","p152",2014,60625
"412","Hombre","Parcial","Cordillera","p152",2015,47322
"413","Hombre","Parcial","Coyhaique","p111",2010,209856
"414","Hombre","Parcial","Coyhaique","p111",2011,179425
"415","Hombre","Parcial","Coyhaique","p111",2012,156442
