"","sex","work_day","geography_name","geography_id","year","lb_weighted_median"
"1672","Hombre","Completa","Villarrica",338,2013,188683
"1673","Hombre","Completa","Villarrica",338,2014,224958
"1674","Hombre","Completa","Villarrica",338,2015,243174
"1675","Hombre","Completa","VILLARRICA",NA,2010,147687
"1676","Hombre","Completa","VILLARRICA",NA,2011,220630
"1677","Hombre","Completa","VILLARRICA",NA,2012,156048
"1678","Hombre","Completa","Viña del Mar",339,2010,210825
"1679","Hombre","Completa","Viña del Mar",339,2011,300327
"1680","Hombre","Completa","Viña del Mar",339,2012,291630
"1681","Hombre","Completa","Viña del Mar",339,2013,400096
"1682","Hombre","Completa","Viña del Mar",339,2014,404169
"1683","Hombre","Completa","Viña del Mar",339,2015,374290
"1684","Hombre","Completa","Vitacura",340,2010,950930
"1685","Hombre","Completa","Vitacura",340,2011,1029943
"1686","Hombre","Completa","Vitacura",340,2012,1003831
"1687","Hombre","Completa","Vitacura",340,2013,996224
"1688","Hombre","Completa","Vitacura",340,2014,1010423
"1689","Hombre","Completa","Vitacura",340,2015,1004075
"1690","Hombre","Completa","Yerbas Buenas",341,2010,69952
"1691","Hombre","Completa","Yerbas Buenas",341,2011,109648
"1692","Hombre","Completa","Yerbas Buenas",341,2012,193870
"1693","Hombre","Completa","Yerbas Buenas",341,2013,209207
"1694","Hombre","Completa","Yerbas Buenas",341,2014,150696
"1695","Hombre","Completa","Yerbas Buenas",341,2015,42136
"1696","Hombre","Completa","Yumbel",342,2010,95406
"1697","Hombre","Completa","Yumbel",342,2011,130000
"1698","Hombre","Completa","Yumbel",342,2012,165029
"1699","Hombre","Completa","Yumbel",342,2013,363500
"1700","Hombre","Completa","Yumbel",342,2014,434000
"1701","Hombre","Completa","Yumbel",342,2015,271000
"1702","Hombre","Completa","Yungay",343,2010,40000
"1703","Hombre","Completa","Yungay",343,2013,30041
"1704","Hombre","Completa","Yungay",343,2014,444586
"1705","Hombre","Completa","Yungay",343,2015,269908
"1706","Hombre","Completa","Zapallar",344,2014,232397
"1707","Hombre","Completa","Zapallar",344,2015,241982
"1708","Hombre","Parcial","Algarrobo",1,2011,130628
"1709","Hombre","Parcial","Algarrobo",1,2012,251405
"1710","Hombre","Parcial","Algarrobo",1,2014,101042
"1711","Hombre","Parcial","Alhué",2,2011,10026
"1712","Hombre","Parcial","Alhué",2,2013,90122
"1713","Hombre","Parcial","Alhué",2,2014,151563
"1714","Hombre","Parcial","Alhué",2,2015,160652
"1715","Hombre","Parcial","Alto del Carmen",4,2010,29979
"1716","Hombre","Parcial","Alto del Carmen",4,2011,15000
"1717","Hombre","Parcial","Alto del Carmen",4,2012,10056
"1718","Hombre","Parcial","Alto del Carmen",4,2013,15019
"1719","Hombre","Parcial","Alto del Carmen",4,2014,268000
"1720","Hombre","Parcial","Alto del Carmen",4,2015,10000
"1721","Hombre","Parcial","Alto Hospicio",5,2010,60059
"1722","Hombre","Parcial","Alto Hospicio",5,2011,83356
"1723","Hombre","Parcial","Alto Hospicio",5,2012,112677
"1724","Hombre","Parcial","Alto Hospicio",5,2013,119977
"1725","Hombre","Parcial","Alto Hospicio",5,2014,46590
"1726","Hombre","Parcial","Alto Hospicio",5,2015,150000
"1727","Hombre","Parcial","Ancud",6,2010,65638
"1728","Hombre","Parcial","Ancud",6,2011,73375
"1729","Hombre","Parcial","Ancud",6,2012,53147
"1730","Hombre","Parcial","Ancud",6,2013,81745
"1731","Hombre","Parcial","Ancud",6,2014,121099
"1732","Hombre","Parcial","Ancud",6,2015,100078
"1733","Hombre","Parcial","Andacollo",7,2011,40193
"1734","Hombre","Parcial","Andacollo",7,2012,73707
"1735","Hombre","Parcial","Andacollo",7,2013,160217
"1736","Hombre","Parcial","Andacollo",7,2014,30126
"1737","Hombre","Parcial","Andacollo",7,2015,80304
"1738","Hombre","Parcial","Angol",8,2010,54211
"1739","Hombre","Parcial","Angol",8,2011,47847
"1740","Hombre","Parcial","Angol",8,2012,70447
"1741","Hombre","Parcial","Angol",8,2013,81792
"1742","Hombre","Parcial","Angol",8,2014,85306
"1743","Hombre","Parcial","Angol",8,2015,84035
"1744","Hombre","Parcial","Antofagasta",9,2010,140734
"1745","Hombre","Parcial","Antofagasta",9,2011,143817
"1746","Hombre","Parcial","Antofagasta",9,2012,137018
"1747","Hombre","Parcial","Antofagasta",9,2013,128837
"1748","Hombre","Parcial","Antofagasta",9,2014,66232
"1749","Hombre","Parcial","Antofagasta",9,2015,170693
"1750","Hombre","Parcial","Antuco",10,2010,49133
"1751","Hombre","Parcial","Antuco",10,2011,40000
"1752","Hombre","Parcial","Antuco",10,2012,70000
"1753","Hombre","Parcial","Antuco",10,2013,49811
"1754","Hombre","Parcial","Antuco",10,2014,60000
"1755","Hombre","Parcial","Antuco",10,2015,60016
"1756","Hombre","Parcial","Arauco",11,2010,30330
"1757","Hombre","Parcial","Arauco",11,2011,13120
"1758","Hombre","Parcial","Arauco",11,2012,15068
"1759","Hombre","Parcial","Arauco",11,2013,29600
"1760","Hombre","Parcial","Arauco",11,2014,15893
"1761","Hombre","Parcial","Arauco",11,2015,35009
"1762","Hombre","Parcial","Arica",12,2010,89317
"1763","Hombre","Parcial","Arica",12,2011,100483
"1764","Hombre","Parcial","Arica",12,2012,100000
"1765","Hombre","Parcial","Arica",12,2013,100136
"1766","Hombre","Parcial","Arica",12,2014,119977
"1767","Hombre","Parcial","Arica",12,2015,150545
"1768","Hombre","Parcial","Aysén",13,2010,99932
"1769","Hombre","Parcial","Aysén",13,2011,150000
"1770","Hombre","Parcial","Aysén",13,2012,87562
"1771","Hombre","Parcial","Aysén",13,2013,132308
"1772","Hombre","Parcial","Aysén",13,2014,168204
"1773","Hombre","Parcial","Aysén",13,2015,100588
"1774","Hombre","Parcial","Buin",14,2010,39973
"1775","Hombre","Parcial","Buin",14,2011,50000
"1776","Hombre","Parcial","Buin",14,2012,40000
"1777","Hombre","Parcial","Buin",14,2013,73363
"1778","Hombre","Parcial","Buin",14,2014,1000000
"1779","Hombre","Parcial","Buin",14,2015,91053
"1780","Hombre","Parcial","Bulnes",15,2010,20000
"1781","Hombre","Parcial","Bulnes",15,2011,46212
"1782","Hombre","Parcial","Bulnes",15,2012,5023
"1783","Hombre","Parcial","Bulnes",15,2013,40054
"1784","Hombre","Parcial","Bulnes",15,2014,50000
"1785","Hombre","Parcial","Bulnes",15,2015,30008
"1786","Hombre","Parcial","Cabildo",16,2010,22000
"1787","Hombre","Parcial","Cabildo",16,2011,149521
"1788","Hombre","Parcial","Cabildo",16,2013,99622
"1789","Hombre","Parcial","Cabildo",16,2014,99981
