"","sexo","rama","provincia","2011","2013","2015"
"230","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Concepción",199108,210000,250000
"231","Hombre","Pesca","Concepción",218800,222500,250538
"232","Hombre","Explotación de Minas y Canteras","Concepción",437600,551053,589586
"233","Hombre","Industrias Manufactureras","Concepción",317260,3e+05,3e+05
"234","Hombre","Electricidad, Gas y Agua","Concepción",350080,310000,4e+05
"235","Hombre","Construcción","Concepción",273500,250000,3e+05
"236","Hombre","Comercio","Concepción",246480,250000,251000
"237","Hombre","Hoteles y Restaurantes","Concepción",202390,220000,256008
"238","Hombre","Transporte, Almacenamiento y Comunicaciones","Concepción",273500,3e+05,320000
"239","Hombre","Intermediación Financiera","Concepción",437600,485000,594044
"240","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler","Concepción",273500,4e+05,3e+05
"241","Hombre","Administración Pública y Defensa","Concepción",437600,450000,5e+05
"242","Hombre","Enseñanza","Concepción",328200,5e+05,547500
"243","Hombre","Servicios Sociales y de Salud","Concepción",437600,340000,450000
"244","Hombre","Servicios Comunitarios, Sociales y Personales","Concepción",262560,230000,250000
"245","Hombre","Servicio Doméstico","Concepción",503230,2e+05,250000
"246","Hombre","Organizaciones y órganos Extraterritoriales","Concepción",765800,NA,NA
"247","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Copiapó",271888,250000,390000
"248","Hombre","Pesca","Copiapó",410800,3e+05,3e+05
"249","Hombre","Explotación de Minas y Canteras","Copiapó",437600,5e+05,6e+05
"250","Hombre","Industrias Manufactureras","Copiapó",375230,350000,445000
"251","Hombre","Electricidad, Gas y Agua","Copiapó",306320,450000,485000
"252","Hombre","Construcción","Copiapó",382900,4e+05,4e+05
"253","Hombre","Comercio","Copiapó",328200,3e+05,350000
"254","Hombre","Hoteles y Restaurantes","Copiapó",273500,250000,3e+05
"255","Hombre","Transporte, Almacenamiento y Comunicaciones","Copiapó",437600,4e+05,4e+05
"256","Hombre","Intermediación Financiera","Copiapó",487645,7e+05,455000
"257","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler","Copiapó",382900,480000,455290
"258","Hombre","Administración Pública y Defensa","Copiapó",525120,475000,593000
"259","Hombre","Enseñanza","Copiapó",437600,5e+05,6e+05
"260","Hombre","Servicios Sociales y de Salud","Copiapó",547000,350000,5e+05
"261","Hombre","Servicios Comunitarios, Sociales y Personales","Copiapó",382900,4e+05,3e+05
"262","Hombre","Servicio Doméstico","Copiapó",247034,4e+05,175000
"263","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Cordillera",209308,210000,319000
"264","Hombre","Explotación de Minas y Canteras","Cordillera",403686,4e+05,6e+05
"265","Hombre","Industrias Manufactureras","Cordillera",273500,280000,350000
"266","Hombre","Electricidad, Gas y Agua","Cordillera",328200,450000,4e+05
"267","Hombre","Construcción","Cordillera",328200,330000,350000
"268","Hombre","Comercio","Cordillera",273500,250000,3e+05
"269","Hombre","Hoteles y Restaurantes","Cordillera",218800,220000,257500
"270","Hombre","Transporte, Almacenamiento y Comunicaciones","Cordillera",328200,320000,4e+05
"271","Hombre","Intermediación Financiera","Cordillera",251620,4e+05,480000
"272","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler","Cordillera",536060,440732,450000
"273","Hombre","Administración Pública y Defensa","Cordillera",378524,375000,510000
"274","Hombre","Enseñanza","Cordillera",547000,380000,475000
"275","Hombre","Servicios Sociales y de Salud","Cordillera",382900,3e+05,4e+05
"276","Hombre","Servicios Comunitarios, Sociales y Personales","Cordillera",301051,210000,350000
"277","Hombre","Servicio Doméstico","Cordillera",218800,245000,295000
"278","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Coyhaique",237398,210000,255000
"279","Hombre","Pesca","Coyhaique",328200,4e+05,575000
"280","Hombre","Explotación de Minas y Canteras","Coyhaique",449634,4e+05,1125000
"281","Hombre","Industrias Manufactureras","Coyhaique",308100,240000,325000
"282","Hombre","Electricidad, Gas y Agua","Coyhaique",273500,550000,NA
"283","Hombre","Construcción","Coyhaique",273500,3e+05,4e+05
"284","Hombre","Comercio","Coyhaique",273500,250000,3e+05
"285","Hombre","Hoteles y Restaurantes","Coyhaique",199655,250000,250000
