"","sexo","region","rama","2011","2013","2015"
"160","Hombre","Magallanes","Actividades Inmobiliarias, Empresariales y de Alquiler",508710,350000,472931
"161","Hombre","Maule","Actividades Inmobiliarias, Empresariales y de Alquiler",306320,360000,350000
"162","Hombre","Metropolitana","Actividades Inmobiliarias, Empresariales y de Alquiler",504422,5e+05,650000
"163","Hombre","O'Higgins","Actividades Inmobiliarias, Empresariales y de Alquiler",306320,456500,490364
"164","Hombre","Tarapacá","Actividades Inmobiliarias, Empresariales y de Alquiler",369720,360000,4e+05
"165","Hombre","Valparaíso","Actividades Inmobiliarias, Empresariales y de Alquiler",328200,4e+05,4e+05
"166","Hombre","Antofagasta","Administración Pública y Defensa",492300,5e+05,550000
"167","Hombre","Araucanía","Administración Pública y Defensa",382900,450000,450000
"168","Hombre","Arica y Parinacota","Administración Pública y Defensa",568880,513000,5e+05
"169","Hombre","Atacama","Administración Pública y Defensa",437600,440000,5e+05
"170","Hombre","Aysén","Administración Pública y Defensa",656400,750000,8e+05
"171","Hombre","Bíobío","Administración Pública y Defensa",382900,4e+05,450000
"172","Hombre","Coquimbo","Administración Pública y Defensa",328200,4e+05,497500
"173","Hombre","Los Lagos","Administración Pública y Defensa",448540,395000,560000
"174","Hombre","Los Ríos","Administración Pública y Defensa",393840,4e+05,450000
"175","Hombre","Magallanes","Administración Pública y Defensa",668556,615000,795000
"176","Hombre","Maule","Administración Pública y Defensa",404780,380000,420000
"177","Hombre","Metropolitana","Administración Pública y Defensa",479172,4e+05,6e+05
"178","Hombre","O'Higgins","Administración Pública y Defensa",382900,350000,415000
"179","Hombre","Tarapacá","Administración Pública y Defensa",514180,6e+05,550000
"180","Hombre","Valparaíso","Administración Pública y Defensa",397509,497500,6e+05
"181","Hombre","Antofagasta","Enseñanza",614420,6e+05,515000
"182","Hombre","Araucanía","Enseñanza",355550,410000,487218
"183","Hombre","Arica y Parinacota","Enseñanza",525120,4e+05,607500
"184","Hombre","Atacama","Enseñanza",415720,480000,6e+05
"185","Hombre","Aysén","Enseñanza",536060,675000,7e+05
"186","Hombre","Bíobío","Enseñanza",295380,4e+05,5e+05
"187","Hombre","Coquimbo","Enseñanza",328200,4e+05,4e+05
"188","Hombre","Los Lagos","Enseñanza",437600,424262,495000
"189","Hombre","Los Ríos","Enseñanza",366490,4e+05,4e+05
"190","Hombre","Magallanes","Enseñanza",584196,6e+05,549242
"191","Hombre","Maule","Enseñanza",328200,4e+05,5e+05
"192","Hombre","Metropolitana","Enseñanza",502900,480000,5e+05
"193","Hombre","O'Higgins","Enseñanza",415720,4e+05,480000
"194","Hombre","Tarapacá","Enseñanza",437600,6e+05,622500
"195","Hombre","Valparaíso","Enseñanza",328200,4e+05,5e+05
"196","Hombre","Antofagasta","Servicios Sociales y de Salud",519650,450000,467000
"197","Hombre","Araucanía","Servicios Sociales y de Salud",317260,4e+05,450000
"198","Hombre","Arica y Parinacota","Servicios Sociales y de Salud",284440,350000,4e+05
"199","Hombre","Atacama","Servicios Sociales y de Salud",382900,4e+05,450000
"200","Hombre","Aysén","Servicios Sociales y de Salud",508710,6e+05,580000
"201","Hombre","Bíobío","Servicios Sociales y de Salud",350080,350000,450000
"202","Hombre","Coquimbo","Servicios Sociales y de Salud",377460,4e+05,4e+05
"203","Hombre","Los Lagos","Servicios Sociales y de Salud",415720,5e+05,448084
"204","Hombre","Los Ríos","Servicios Sociales y de Salud",437600,385000,4e+05
"205","Hombre","Magallanes","Servicios Sociales y de Salud",464610,520000,660000
"206","Hombre","Maule","Servicios Sociales y de Salud",278970,355000,360000
"207","Hombre","Metropolitana","Servicios Sociales y de Salud",492300,5e+05,6e+05
"208","Hombre","O'Higgins","Servicios Sociales y de Salud",402320,410500,4e+05
"209","Hombre","Tarapacá","Servicios Sociales y de Salud",492300,890000,6e+05
"210","Hombre","Valparaíso","Servicios Sociales y de Salud",328200,4e+05,4e+05
"211","Hombre","Antofagasta","Servicios Comunitarios, Sociales y Personales",318150,3e+05,350000
"212","Hombre","Araucanía","Servicios Comunitarios, Sociales y Personales",210048,210000,250000
