"","geography_level","geography_name","geography_id","year","mean_income","median_income","gini_income","lb_mean_income","ub_mean_income","lb_median_income","ub_median_income","lb_gini_income","ub_gini_income"
"175","provincia","Elqui","p41","1996",76623,45417,0.5,73015,79600,43683,46932,0.484,0.515
"176","provincia","General Carrera","p114","1996",78593,57854,0.434,68518,89294,50076,65504,0.372,0.494
"177","provincia","Huasco","p33","1996",54879,34449,0.478,50856,57949,33816,35722,0.448,0.502
"178","provincia","Iquique","p11","1996",99176,69032,0.464,93731,105388,65060,72479,0.44,0.487
"179","provincia","Limarí","p43","1996",49887,33199,0.474,47063,52990,31735,34256,0.446,0.499
"180","provincia","Linares","p74","1996",53940,33226,0.493,51352,57366,32667,34610,0.474,0.515
"181","provincia","Llanquihue","p101","1996",78185,44904,0.526,72291,83122,42929,46607,0.499,0.548
"182","provincia","Los Andes","p53","1996",74550,43000,0.516,70098,80557,40987,44495,0.495,0.541
"183","provincia","Magallanes","p121","1996",105920,76523,0.437,98930,112488,70415,77802,0.414,0.463
"184","provincia","Maipo","p134","1996",88394,47738,0.55,80870,97995,46343,50000,0.516,0.584
"185","provincia","Malleco","p92","1996",58387,30645,0.575,54281,62593,29867,31656,0.551,0.598
"186","provincia","Marga Marga","p58","1996",91016,57731,0.492,86870,96157,55412,61290,0.476,0.51
"187","provincia","Melipilla","p135","1996",83033,48992,0.514,76578,89251,46622,50339,0.484,0.541
"188","provincia","Ñuble","p84","1996",53338,31786,0.516,50548,56422,30526,32398,0.499,0.54
"189","provincia","Osorno","p103","1996",57454,32582,0.516,53826,61058,31608,34321,0.491,0.541
"190","provincia","Parinacota","p152","1996",61264,34000,0.534,55470,67606,32209,36160,0.497,0.561
"191","provincia","Petorca","p54","1996",53497,35961,0.452,50626,56107,35357,36954,0.429,0.47
"192","provincia","Quillota","p55","1996",71551,45968,0.491,67408,76666,42957,48018,0.463,0.523
"193","provincia","Ranco","p142","1996",54412,31533,0.525,49167,60947,29729,34901,0.479,0.576
"194","provincia","San Antonio","p56","1996",76799,51312,0.465,71612,83482,49920,52952,0.423,0.499
"195","provincia","San Felipe","p57","1996",62472,42927,0.461,59756,64837,40524,44235,0.445,0.472
"196","provincia","Santiago","p131","1996",130563,70167,0.547,127871,133880,69240,71116,0.537,0.556
"197","provincia","Talagante","p136","1996",76464,43650,0.505,70067,84445,43065,47940,0.465,0.546
"198","provincia","Talca","p71","1996",62005,37936,0.529,58820,66318,36795,39316,0.508,0.552
"199","provincia","Tamarugal","p12","1996",45908,26250,0.55,42379,50052,25403,28079,0.525,0.578
"200","provincia","Tierra del Fuego","p123","1996",103671,64871,0.493,93065,115059,57139,71686,0.459,0.528
"201","provincia","Tocopilla","p23","1996",77587,51500,0.448,72610,83660,49200,55238,0.418,0.481
"202","provincia","Última Esperanza","p124","1996",74759,51684,0.47,69903,79749,47194,54240,0.447,0.494
"203","provincia","Valdivia","p141","1996",67018,39737,0.532,62449,73043,37550,42335,0.508,0.556
"204","provincia","Valparaíso","p51","1996",81544,52412,0.475,77823,84956,49824,54173,0.459,0.492
"205","provincia","Antofagasta","p21","1998",102744,66092,0.503,97962,109000,64397,69292,0.481,0.523
"206","provincia","Arauco","p82","1998",56604,34348,0.513,53802,59949,33437,35284,0.495,0.536
"207","provincia","Arica","p151","1998",86461,54070,0.511,81574,91946,50936,57961,0.493,0.53
"208","provincia","Aysén","p112","1998",107270,68639,0.453,103195,113768,67505,71281,0.434,0.472
"209","provincia","Bíobío","p83","1998",67616,35483,0.562,62246,73477,34687,36559,0.533,0.593
"210","provincia","Cachapoal","p61","1998",82631,51093,0.497,79787,85811,50246,52303,0.485,0.511
"211","provincia","Capitán Prat","p113","1998",108924,81390,0.458,95837,122932,72108,87836,0.422,0.485
"212","provincia","Cardenal Caro","p62","1998",68623,42367,0.474,63423,74408,36994,45298,0.444,0.503
"213","provincia","Cauquenes","p72","1998",64506,37716,0.528,58185,71952,35685,41334,0.484,0.567
"214","provincia","Cautín","p91","1998",69500,37347,0.563,66480,72224,36479,37868,0.546,0.577
