"","region","provincia","comuna","1990","1992","1994","1996","1998","2000","2003","2006","2009","2011","2013","2015"
"157","Los Ríos","Valdivia","Corral",NA,NA,NA,NA,NA,NA,38570,47975,62248.3333333334,71890,88333.3333333333,60000
"158","Los Ríos","Valdivia","Lanco",NA,NA,NA,NA,NA,30000,37500,46258,64090,82160,70000,62500
"159","Los Ríos","Valdivia","Los Lagos",11274.6666666667,19504.5833333334,19748.3333333333,24000,20080,33300,33333.3333333333,48606.25,63869,78403.3333333333,1e+05,79375
"160","Los Ríos","Valdivia","Máfil",NA,NA,NA,NA,NA,NA,35376.6666666667,50500,64090,82160,73750,62500
"161","Los Ríos","Valdivia","Mariquina",12540,17321.2857142857,19992,NA,NA,NA,32500,40400,66300,66755,62500,64000
"162","Los Ríos","Valdivia","Paillaco",10354.2857142857,17525.6666666667,17850,NA,NA,NA,35000,46123.3333333333,66300,74346.4166666667,68333.3333333333,62500
"163","Los Ríos","Valdivia","Panguipulli",NA,NA,NA,NA,NA,40000,37500,40400,52487.5,82050,72500,62500
"164","Los Ríos","Valdivia","Valdivia",16106.6666666667,20157.475,28560,33799.1666666667,42670,47078.5,61750,68680,73944,109400,1e+05,85000
"165","Magallanes","Magallanes","Punta Arenas",21994.6666666667,35258.5571428571,55692,59185.75,66096.6666666667,75000,96100.0833333333,104294.4,132600,164100,163333.333333333,125000
"166","Magallanes","Tierra del Fuego","Porvenir",21341.3333333333,23525.5,44625,46269.25,73114,91300,103040,108406.666666667,192270,133468,2e+05,150000
"167","Magallanes","Última Esperanza","Natales",13288,24784.5,36550,42666.6,58125,68216,60000,77206,114643.75,136750,131000,112916.666666666
"168","Maule","Cauquenes","Cauquenes",8633.25,17643,18255,26000,29722.5,32665.9714285715,36188.5714285714,42925,61858.3333333333,65706,85000,75000
"169","Maule","Cauquenes","Chanco",NA,NA,15130,NA,NA,30000,37500,48480,64449.8571428571,68192.6666666667,95725.7142857143,50000
"170","Maule","Cauquenes","Pelluhue",8776.25,9785,14076,NA,19550,30000,45448,43430,64187.5,71657,77500,86666.6666666667
"171","Maule","Curicó","Curicó",20234,32190,23562,33333.3333333333,45180,NA,51428.5714285714,74100,99450,100101,1e+05,80333.3333333333
"172","Maule","Curicó","Hualañé",13987.2,30553.75,22491,NA,NA,NA,33428.5714285714,46123.3333333333,66300,68375,70000,80333.3333333333
"173","Maule","Curicó","Licantén",NA,NA,21420,NA,NA,NA,50000,56322.125,96931.25,68466.6666666667,72500,80333.3333333333
"174","Maule","Curicó","Molina",8053.33333333333,15531.75,23020.9,24800,36144,40000,44810.5714285714,61988.75,82237.75,98460,105000,80166.6666666667
"175","Maule","Curicó","Rauco",NA,NA,18421,NA,NA,37191.4285714286,43125,54540,70720,91166.6666666667,1e+05,76000
"176","Maule","Curicó","Romeral",NA,NA,26622,29000,32435.5,45650,48046,62822,81033.3333333333,85828.5714285714,105000,62500
"177","Maule","Curicó","Sagrada Familia",NA,NA,16065,28602,29325,36000,50000,45450,82322.5,88158.1666666667,97142.8571428571,61500
"178","Maule","Curicó","Teno",NA,NA,NA,NA,NA,NA,NA,54540,82160,98460,102000,80333.3333333333
"179","Maule","Curicó","Vichuquén",NA,NA,22695,NA,NA,NA,39520,52693.3333333333,78731.25,68375,50000,80000
"180","Maule","Linares","Colbún",NA,NA,18564,28643.3333333333,32581.5,NA,30000,44776.6666666667,73666.6666666667,81831.2,90000,75000
"181","Maule","Linares","Linares",13288,20548.5,24990,34668.3333333333,39100,41085,49400,54440,68289,82050,84000,72000
"182","Maule","Linares","Longaví",9553,14449.7777777778,14535,19333.3333333333,26994.2,NA,36666.6666666667,38380,72745.8333333333,73900,83333.3333333333,78717.1666666667
"183","Maule","Linares","Parral",11880,19570,20081.25,27925.8,26773.3333333333,31714.2857142857,39820,56246.25,75026,82050,68333.3333333333,70000
"184","Maule","Linares","Retiro",NA,NA,16707.6,NA,NA,20833.3333333333,30742.5,33034.25,57298.2,76580,90000,60250
"185","Maule","Linares","San Javier",NA,NA,21553.875,21750,28547.3333333333,40000,37500,56704.2857142857,70720,73845,70000,70000
"186","Maule","Linares","Villa Alegre",9935.75,13591.3333333333,15606,32000,41477.75,31428.5714285714,38000,45450,66300,69286.6666666667,86666.6666666667,75500
"187","Maule","Linares","Yerbas Buenas",NA,NA,16579,NA,NA,28000,29601.5,45450,71604,88796.3333333333,85416.6666666667,80000
"188","Maule","Talca","Constitución",22801,29355,30260,31465,35140,NA,47424,52520,83980,87520,1e+05,90000
"189","Maule","Talca","Curepto",NA,NA,18326,18904.5,29785.3333333333,24400,32933.3333333333,40400,61620,71110,70000,77500
