"","geography_level","geography_name","geography_id","year","sex","weighted_mean_income","weighted_median_income","ci_weighted_mean_income","ci_weighted_median_income"
"189","comuna","Pitrufquén","222",1990,"Hombre",73159,48320,"[53620, 106990]","[39600, 66440]"
"190","comuna","Pitrufquén","222",1990,"Mujer",68844,38656,"[33176, 107022]","[14496, 67648]"
"191","comuna","Porvenir","225",1990,"Hombre",59679,43488,"[46128, 75122]","[36240, 59925]"
"192","comuna","Porvenir","225",1990,"Mujer",43549,32616,"[28624, 59973]","[24160, 72578]"
"193","comuna","Pozo Almonte","226",1990,"Hombre",102967,50840,"[31845, 225071]","[23218, 240280]"
"194","comuna","Pozo Almonte","226",1990,"Mujer",23120,20434,"[15515, 30483]","[9900, 37448]"
"195","comuna","Providencia","228",1990,"Hombre",386050,241600,"[325999, 450644]","[198000, 298313]"
"196","comuna","Providencia","228",1990,"Mujer",136114,84560,"[115667, 155579]","[59900, 97820]"
"197","comuna","Pucón","230",1990,"Hombre",44089,36240,"[40263, 50538]","[35602, 39600]"
"198","comuna","Pucón","230",1990,"Mujer",35706,31408,"[24547, 49335]","[16791, 39600]"
"199","comuna","Pudahuel","231",1990,"Hombre",67435,51944,"[58569, 77749]","[48320, 54994]"
"200","comuna","Pudahuel","231",1990,"Mujer",36224,31408,"[32590, 40222]","[30200, 33884]"
"201","comuna","Puente Alto","232",1990,"Hombre",85606,59400,"[73654, 98756]","[51822, 64084]"
"202","comuna","Puente Alto","232",1990,"Mujer",65078,48320,"[56548, 75130]","[39421, 55311]"
"203","comuna","Puerto Montt","233",1990,"Hombre",64186,43488,"[57761, 71749]","[39600, 48320]"
"204","comuna","Puerto Montt","233",1990,"Mujer",51236,33824,"[44293, 56478]","[31408, 37317]"
"205","comuna","Puerto Octay","234",1990,"Hombre",114699,33687,"[47924, 178271]","[31408, 36240]"
"206","comuna","Puerto Octay","234",1990,"Mujer",40054,32616,"[29954, 52400]","[22892, 54360]"
"207","comuna","Puerto Varas","235",1990,"Hombre",83325,52920,"[59581, 105193]","[37448, 68808]"
"208","comuna","Puerto Varas","235",1990,"Mujer",49178,36240,"[37873, 65281]","[31408, 48320]"
"209","comuna","Punta Arenas","238",1990,"Hombre",101601,60400,"[88762, 113482]","[59400, 70969]"
"210","comuna","Punta Arenas","238",1990,"Mujer",65135,39600,"[57216, 74440]","[36240, 48320]"
"211","comuna","Purranque","241",1990,"Hombre",35011,31408,"[30629, 39170]","[28992, 31408]"
"212","comuna","Purranque","241",1990,"Mujer",25266,21744,"[18243, 32721]","[16217, 30597]"
"213","comuna","Quilicura","249",1990,"Hombre",58461,43253,"[53226, 64309]","[41555, 48320]"
"214","comuna","Quilicura","249",1990,"Mujer",52898,38720,"[42769, 63288]","[36240, 48061]"
"215","comuna","Quillón","251",1990,"Hombre",49149,31408,"[34695, 67467]","[29701, 34745]"
"216","comuna","Quillón","251",1990,"Mujer",27893,26326,"[21265, 36565]","[15861, 37920]"
"217","comuna","Quillota","252",1990,"Hombre",45806,36240,"[41690, 50454]","[33824, 36240]"
"218","comuna","Quillota","252",1990,"Mujer",38123,31287,"[29987, 47747]","[26064, 40559]"
"219","comuna","Quilpué","253",1990,"Hombre",83854,64715,"[71960, 97581]","[45966, 88365]"
"220","comuna","Quilpué","253",1990,"Mujer",65513,43488,"[49625, 85226]","[33824, 60333]"
"221","comuna","Quinta Normal","256",1990,"Hombre",65547,54360,"[60041, 71189]","[50736, 59400]"
"222","comuna","Quinta Normal","256",1990,"Mujer",54772,42280,"[45255, 68728]","[38094, 45963]"
"223","comuna","Rancagua","259",1990,"Hombre",122891,72480,"[103748, 148972]","[72480, 84560]"
"224","comuna","Rancagua","259",1990,"Mujer",62766,36240,"[55666, 72398]","[31408, 43548]"
"225","comuna","Renaico","263",1990,"Hombre",55378,49500,"[46282, 70171]","[42280, 59400]"
"226","comuna","Renaico","263",1990,"Mujer",102584,62816,"[39049, 178485]","[16912, 257400]"
"227","comuna","Renca","264",1990,"Hombre",67902,48320,"[60099, 76568]","[46672, 54360]"
"228","comuna","Renca","264",1990,"Mujer",47274,36361,"[42818, 52584]","[36240, 42280]"
"229","comuna","Rengo","265",1990,"Hombre",65511,46240,"[55608, 78235]","[39095, 49572]"
"230","comuna","Rengo","265",1990,"Mujer",38311,33824,"[33768, 42883]","[31408, 37425]"
"231","comuna","Saavedra","276",1990,"Hombre",111327,27096,"[47251, 188765]","[21744, 33001]"
"232","comuna","Saavedra","276",1990,"Mujer",39709,30804,"[31409, 47257]","[19359, 51159]"
"233","comuna","San Antonio","279",1990,"Hombre",44576,36240,"[35342, 52557]","[33047, 48320]"
"234","comuna","San Antonio","279",1990,"Mujer",35494,33335,"[26850, 44178]","[29700, 41072]"
"235","comuna","San Bernardo","280",1990,"Hombre",95335,60400,"[78803, 117233]","[59400, 72480]"
"236","comuna","San Bernardo","280",1990,"Mujer",60035,39600,"[47575, 79360]","[36591, 42410]"
"237","comuna","San Clemente","282",1990,"Hombre",45213,31408,"[36762, 55007]","[30200, 36240]"
"238","comuna","San Clemente","282",1990,"Mujer",37561,25489,"[24046, 53820]","[16485, 54854]"
"239","comuna","San Felipe","285",1990,"Hombre",95535,41072,"[58421, 135800]","[37646, 43488]"
"240","comuna","San Felipe","285",1990,"Mujer",49709,36240,"[40693, 61510]","[31408, 42280]"
"241","comuna","San Fernando","286",1990,"Hombre",55522,42425,"[49146, 66094]","[36240, 48320]"
"242","comuna","San Fernando","286",1990,"Mujer",41902,35032,"[36426, 48185]","[31408, 41706]"
"243","comuna","San Joaquín","290",1990,"Hombre",64331,49500,"[56605, 74342]","[48320, 55220]"
"244","comuna","San Joaquín","290",1990,"Mujer",44161,33824,"[36521, 50579]","[31166, 38886]"
"245","comuna","San José de Maipo","291",1990,"Hombre",81406,48320,"[65080, 102075]","[43428, 55818]"
"246","comuna","San José de Maipo","291",1990,"Mujer",46152,31408,"[35539, 65374]","[26576, 33824]"
"247","comuna","San Miguel","293",1990,"Hombre",98213,60400,"[81111, 113991]","[54360, 70969]"
"248","comuna","San Miguel","293",1990,"Mujer",53823,42280,"[46001, 61598]","[36240, 48320]"
"249","comuna","San Nicolás","294",1990,"Hombre",58765,29700,"[37020, 90737]","[19800, 33001]"
"250","comuna","San Nicolás","294",1990,"Mujer",17600,15840,"[3960, 33001]","[3960, 33001]"
"251","comuna","San Pedro","296",1990,"Hombre",41063,32616,"[35791, 47568]","[31408, 36240]"
"252","comuna","San Pedro","296",1990,"Mujer",28374,31408,"[22333, 34920]","[16695, 36240]"
"253","comuna","San Ramón","300",1990,"Hombre",59173,42570,"[52284, 67150]","[39600, 48320]"
"254","comuna","San Ramón","300",1990,"Mujer",41081,36240,"[35850, 48272]","[33824, 36240]"
"255","comuna","San Vicente","302",1990,"Hombre",47235,36240,"[42722, 54129]","[36240, 37700]"
"256","comuna","San Vicente","302",1990,"Mujer",40018,36240,"[32530, 50792]","[29700, 42914]"
"257","comuna","Santa Cruz","304",1990,"Hombre",37245,31408,"[31128, 44711]","[31408, 35666]"
"258","comuna","Santa Cruz","304",1990,"Mujer",28606,31408,"[18760, 37466]","[14094, 36240]"
"259","comuna","Santiago","307",1990,"Hombre",85960,60400,"[77378, 98219]","[59400, 64719]"
"260","comuna","Santiago","307",1990,"Mujer",65759,48320,"[56486, 74698]","[42280, 54360]"
"261","comuna","Sierra Gorda","309",1990,"Hombre",94849,72480,"[75353, 126113]","[66440, 84560]"
"262","comuna","Sierra Gorda","309",1990,"Mujer",39189,31408,"[28484, 54399]","[29700, 40645]"
"263","comuna","Talagante","310",1990,"Hombre",77234,42570,"[62653, 93128]","[41487, 48320]"
"264","comuna","Talagante","310",1990,"Mujer",51783,36240,"[38085, 62637]","[31408, 38727]"
"265","comuna","Talca","311",1990,"Hombre",83597,48320,"[73386, 97072]","[42280, 51304]"
"266","comuna","Talca","311",1990,"Mujer",49184,33742,"[44646, 56272]","[31408, 36240]"
"267","comuna","Talcahuano","312",1990,"Hombre",101226,59400,"[83693, 124436]","[48938, 66440]"
"268","comuna","Talcahuano","312",1990,"Mujer",57431,31408,"[46258, 74930]","[31408, 36240]"
"269","comuna","Temuco","314",1990,"Hombre",107033,51480,"[86140, 125043]","[48320, 60400]"
"270","comuna","Temuco","314",1990,"Mujer",58587,36240,"[47050, 75222]","[31408, 39600]"
"271","comuna","Teno","315",1990,"Hombre",56129,31408,"[37926, 79710]","[30200, 35701]"
"272","comuna","Teno","315",1990,"Mujer",40563,31943,"[31680, 51499]","[31408, 54360]"
"273","comuna","Teodoro Schmidt","316",1990,"Hombre",40517,29700,"[34755, 46934]","[28051, 32616]"
"274","comuna","Teodoro Schmidt","316",1990,"Mujer",52270,39600,"[35372, 85204]","[24160, 58154]"
"275","comuna","Tierra Amarilla","317",1990,"Hombre",60821,48320,"[53281, 70372]","[43488, 60400]"
