"","geography_level","geography_name","geography_id","year","sexo","weighted_mean_income","weighted_median_income","ci_weighted_mean_income","ci_weighted_median_income"
"126","provincia","Malleco","p92","1992","Hombre",73065,48925,"[66301, 79133]","[48285, 53650]"
"127","provincia","Marga Marga","p58","1992","Hombre",154036,94334,"[132312, 185381]","[85840, 107300]"
"128","provincia","Melipilla","p135","1992","Hombre",92638,64380,"[85189, 101835]","[61161, 64380]"
"129","provincia","Ñuble","p84","1992","Hombre",93355,52751,"[85460, 104474]","[48392, 54723]"
"130","provincia","Osorno","p103","1992","Hombre",101961,58710,"[93094, 112385]","[53650, 59015]"
"131","provincia","Petorca","p54","1992","Hombre",97807,58949,"[83075, 113801]","[55367, 66141]"
"132","provincia","Quillota","p55","1992","Hombre",118779,63062,"[89397, 168543]","[51504, 65971]"
"133","provincia","Ranco","p142","1992","Hombre",158644,82621,"[113717, 208617]","[64380, 128760]"
"134","provincia","San Antonio","p56","1992","Hombre",132662,85840,"[110957, 152221]","[78280, 88065]"
"135","provincia","San Felipe","p57","1992","Hombre",98522,53650,"[85899, 112820]","[51504, 62341]"
"136","provincia","Santiago","p131","1992","Hombre",190558,85840,"[179741, 200872]","[85840, 85840]"
"137","provincia","Talagante","p136","1992","Hombre",132301,74366,"[109397, 181765]","[64380, 75110]"
"138","provincia","Talca","p71","1992","Hombre",103707,53650,"[94008, 113962]","[53650, 58710]"
"139","provincia","Tamarugal","p12","1992","Hombre",123522,77190,"[94990, 154409]","[64380, 92794]"
"140","provincia","Tierra del Fuego","p123","1992","Hombre",116186,75110,"[85134, 148943]","[54186, 136601]"
"141","provincia","Tocopilla","p23","1992","Hombre",130377,85840,"[104701, 156644]","[75110, 107300]"
"142","provincia","Última Esperanza","p124","1992","Hombre",106214,64380,"[85144, 127869]","[57475, 75110]"
"143","provincia","Valdivia","p141","1992","Hombre",93826,53650,"[82028, 101924]","[48589, 58710]"
"144","provincia","Valparaíso","p51","1992","Hombre",154281,78280,"[132697, 184545]","[75110, 87008]"
"145","provincia","Antofagasta","p21","1992","Mujer",81614,59015,"[73385, 90432]","[53650, 64380]"
"146","provincia","Arauco","p82","1992","Mujer",70858,45066,"[61228, 82565]","[41786, 58343]"
"147","provincia","Arica","p151","1992","Mujer",96155,63579,"[78115, 117994]","[56492, 73228]"
"148","provincia","Aysén","p112","1992","Mujer",124315,60392,"[69814, 190388]","[48285, 66774]"
"149","provincia","Bíobío","p83","1992","Mujer",73666,42651,"[59200, 92927]","[40774, 48473]"
"150","provincia","Cachapoal","p61","1992","Mujer",83013,54723,"[74686, 97546]","[52523, 57942]"
"151","provincia","Cardenal Caro","p62","1992","Mujer",48947,45066,"[40779, 58486]","[36482, 53650]"
"152","provincia","Cauquenes","p72","1992","Mujer",64415,37734,"[48698, 84439]","[31818, 47840]"
"153","provincia","Cautín","p91","1992","Mujer",66770,48285,"[61983, 72151]","[42920, 53650]"
"154","provincia","Chacabuco","p133","1992","Mujer",62612,53650,"[55393, 69449]","[49830, 58248]"
"155","provincia","Chañaral","p32","1992","Mujer",113979,74768,"[92229, 141321]","[58866, 91205]"
"156","provincia","Chiloé","p102","1992","Mujer",65886,53650,"[58108, 75055]","[42927, 58934]"
"157","provincia","Choapa","p42","1992","Mujer",69061,55098,"[55643, 84383]","[46803, 72831]"
"158","provincia","Colchagua","p63","1992","Mujer",75965,53650,"[64086, 93722]","[47398, 58730]"
"159","provincia","Concepción","p81","1992","Mujer",76514,44510,"[65711, 86601]","[42920, 51504]"
"160","provincia","Copiapó","p31","1992","Mujer",103403,60015,"[83135, 128653]","[53650, 75110]"
"161","provincia","Cordillera","p152","1992","Mujer",113110,64380,"[78636, 159835]","[53650, 78280]"
"162","provincia","Coyhaique","p111","1992","Mujer",69054,53650,"[61485, 78836]","[44442, 58710]"
"163","provincia","Curicó","p73","1992","Mujer",82104,48285,"[67704, 96258]","[47212, 58374]"
"164","provincia","El Loa","p22","1992","Mujer",79715,53650,"[61205, 102764]","[43305, 58710]"
"165","provincia","Elqui","p41","1992","Mujer",75091,48285,"[63816, 86441]","[45066, 53650]"
"166","provincia","Huasco","p33","1992","Mujer",76249,52502,"[64860, 88538]","[42920, 64380]"
"167","provincia","Iquique","p11","1992","Mujer",123777,75110,"[103152, 144164]","[64380, 78070]"
"168","provincia","Limarí","p43","1992","Mujer",83092,43230,"[62327, 109742]","[42705, 53650]"
"169","provincia","Linares","p74","1992","Mujer",68843,42920,"[58604, 78523]","[41418, 51504]"
"170","provincia","Llanquihue","p101","1992","Mujer",86612,52737,"[74696, 104108]","[42920, 58710]"
"171","provincia","Los Andes","p53","1992","Mujer",78793,53650,"[67122, 91225]","[45066, 58939]"
"172","provincia","Magallanes","p121","1992","Mujer",105566,58782,"[90745, 128219]","[53650, 64380]"
"173","provincia","Maipo","p134","1992","Mujer",78723,53650,"[65899, 104299]","[48285, 60624]"
"174","provincia","Malleco","p92","1992","Mujer",63166,41418,"[50226, 74851]","[36503, 48285]"
