"","geography_level","geography_name","geography_id","year","sexo","weighted_mean_income","weighted_median_income","ci_weighted_mean_income","ci_weighted_median_income"
"178","region","O'Higgins","6","2000","Mujer",154088,100656,"[142077, 164318]","[100000, 109560]"
"179","region","Tarapacá","1","2000","Mujer",179750,120000,"[158760, 202321]","[120000, 150000]"
"180","region","Valparaíso","5","2000","Mujer",174956,119737,"[160082, 194278]","[109560, 120000]"
"181","region","Antofagasta","2","2003","Hombre",347186,250000,"[321056, 373249]","[238488, 278404]"
"182","region","Araucanía","9","2003","Hombre",237587,120000,"[217505, 256265]","[118560, 126806]"
"183","region","Arica y Parinacota","15","2003","Hombre",246728,150000,"[207093, 292128]","[137704, 176843]"
"184","region","Atacama","3","2003","Hombre",252611,177840,"[230945, 271134]","[158080, 180000]"
"185","region","Aysén","11","2003","Hombre",344701,197600,"[303467, 390588]","[182490, 200000]"
"186","region","Bíobío","8","2003","Hombre",254792,150000,"[240565, 271132]","[143273, 150000]"
"187","region","Coquimbo","4","2003","Hombre",268248,150000,"[244415, 295448]","[138320, 150000]"
"188","region","Los Lagos","10","2003","Hombre",260620,150000,"[244665, 274841]","[150000, 160000]"
"189","region","Los Ríos","14","2003","Hombre",278507,140000,"[246058, 318176]","[130000, 150000]"
"190","region","Magallanes","12","2003","Hombre",379977,224159,"[304963, 472385]","[197600, 250000]"
"191","region","Maule","7","2003","Hombre",208424,120000,"[196376, 220830]","[120000, 120000]"
"192","region","Metropolitana","13","2003","Hombre",469087,200000,"[439018, 501346]","[200000, 201244]"
"193","region","O'Higgins","6","2003","Hombre",230998,150000,"[217272, 243244]","[140000, 150000]"
"194","region","Tarapacá","1","2003","Hombre",341266,200000,"[295738, 393660]","[197600, 243882]"
"195","region","Valparaíso","5","2003","Hombre",262873,170000,"[250202, 280193]","[160000, 180000]"
"196","region","Antofagasta","2","2003","Mujer",238702,150000,"[202181, 273582]","[129430, 160000]"
"197","region","Araucanía","9","2003","Mujer",203512,115000,"[184481, 234930]","[115000, 120000]"
"198","region","Arica y Parinacota","15","2003","Mujer",188569,116451,"[147297, 230555]","[99370, 148200]"
"199","region","Atacama","3","2003","Mujer",173774,118560,"[155008, 192264]","[113577, 120000]"
"200","region","Aysén","11","2003","Mujer",258824,150000,"[228350, 297250]","[127861, 167260]"
"201","region","Bíobío","8","2003","Mujer",197036,120000,"[181517, 216214]","[117107, 120000]"
"202","region","Coquimbo","4","2003","Mujer",193980,118560,"[174373, 214785]","[115000, 124581]"
"203","region","Los Lagos","10","2003","Mujer",203050,120000,"[186264, 221585]","[119244, 137693]"
"204","region","Los Ríos","14","2003","Mujer",195559,120000,"[174763, 217949]","[115000, 130000]"
"205","region","Magallanes","12","2003","Mujer",230696,150000,"[187583, 268498]","[127391, 180000]"
"206","region","Maule","7","2003","Mujer",180972,103000,"[157722, 219854]","[100000, 111000]"
"207","region","Metropolitana","13","2003","Mujer",271031,162598,"[260666, 284065]","[160000, 170000]"
"208","region","O'Higgins","6","2003","Mujer",164975,118996,"[155104, 175830]","[115000, 120000]"
"209","region","Tarapacá","1","2003","Mujer",255666,158080,"[203191, 316508]","[139687, 184781]"
"210","region","Valparaíso","5","2003","Mujer",189268,120000,"[179753, 209469]","[120000, 130000]"
"211","region","Antofagasta","2","2006","Hombre",365067,252500,"[333194, 407079]","[239628, 282800]"
"212","region","Araucanía","9","2006","Hombre",247522,142506,"[232348, 266386]","[138366, 151500]"
