"","geography_level","geography_name","geography_id","year","sex","weighted_mean_income","weighted_median_income","ci_weighted_mean_income","ci_weighted_median_income"
"1660","comuna","Pudahuel","231","1996","Hombre",178619,120424,"[159633, 204756]","[120000, 142316]"
"1661","comuna","Pudahuel","231","1996","Mujer",178619,120424,"[159633, 204756]","[120000, 142316]"
"1662","comuna","Puente Alto","232","1996","Hombre",197122,150000,"[183661, 210973]","[133022, 150000]"
"1663","comuna","Puente Alto","232","1996","Mujer",197122,150000,"[183661, 210973]","[133022, 150000]"
"1664","comuna","Puerto Montt","233","1996","Hombre",218986,104669,"[184011, 247432]","[96091, 122580]"
"1665","comuna","Puerto Montt","233","1996","Mujer",218986,104669,"[184011, 247432]","[96091, 122580]"
"1668","comuna","Puerto Varas","235","1996","Hombre",138418,81720,"[113078, 159512]","[75000, 90000]"
"1669","comuna","Puerto Varas","235","1996","Mujer",138418,81720,"[113078, 159512]","[75000, 90000]"
"1670","comuna","Punta Arenas","238","1996","Hombre",231599,139749,"[193753, 274861]","[120000, 150000]"
"1671","comuna","Punta Arenas","238","1996","Mujer",231599,139749,"[193753, 274861]","[120000, 150000]"
"1672","comuna","Purranque","241","1996","Hombre",156295,91935,"[116384, 210122]","[75000, 125250]"
"1673","comuna","Purranque","241","1996","Mujer",156295,91935,"[116384, 210122]","[75000, 125250]"
"1678","comuna","Quillota","252","1996","Hombre",179171,120000,"[149341, 245277]","[90000, 137306]"
"1679","comuna","Quillota","252","1996","Mujer",179171,120000,"[149341, 245277]","[90000, 137306]"
"1680","comuna","Quilpué","253","1996","Hombre",255490,159269,"[222146, 293672]","[138436, 200000]"
"1681","comuna","Quilpué","253","1996","Mujer",255490,159269,"[222146, 293672]","[138436, 200000]"
"1682","comuna","Quinta Normal","256","1996","Hombre",191776,150000,"[163520, 226955]","[130000, 150000]"
"1683","comuna","Quinta Normal","256","1996","Mujer",191776,150000,"[163520, 226955]","[130000, 150000]"
"1684","comuna","Rancagua","259","1996","Hombre",210165,120000,"[169678, 271394]","[100000, 123428]"
