"","geography_level","geography_name","geography_id","year","sexo","mean_income","median_income","ci_mean_income","ci_median_income"
"186","provincia","Talca","p71","1992","Mujer",79224,48925,"[71100, 87197]","[42920, 57352]"
"187","provincia","Tamarugal","p12","1992","Mujer",68677,46139,"[48501, 94304]","[40774, 58710]"
"188","provincia","Tierra del Fuego","p123","1992","Mujer",89148,40774,"[38958, 160489]","[19153, 156560]"
"189","provincia","Tocopilla","p23","1992","Mujer",64619,42920,"[48106, 83409]","[33263, 53650]"
"190","provincia","Última Esperanza","p124","1992","Mujer",64509,42169,"[44256, 91613]","[40774, 53650]"
"191","provincia","Valdivia","p141","1992","Mujer",75606,48285,"[63579, 97760]","[42920, 53650]"
"192","provincia","Valparaíso","p51","1992","Mujer",87982,53650,"[71877, 111616]","[50514, 58943]"
"193","provincia","Antofagasta","p21","1994","Hombre",173801,107100,"[147606, 204486]","[100460, 107100]"
"194","provincia","Arauco","p82","1994","Hombre",88672,64260,"[83361, 92376]","[62118, 64260]"
"195","provincia","Arica","p151","1994","Hombre",186297,107100,"[158821, 216335]","[104848, 113475]"
"196","provincia","Aysén","p112","1994","Hombre",127382,85680,"[104412, 146530]","[75650, 90780]"
"197","provincia","Bíobío","p83","1994","Hombre",92653,58905,"[89177, 99804]","[56228, 60747]"
"198","provincia","Cachapoal","p61","1994","Hombre",160444,85680,"[143265, 181542]","[80325, 88930]"
"199","provincia","Cardenal Caro","p62","1994","Hombre",71595,55692,"[63433, 84925]","[55692, 60136]"
"200","provincia","Cauquenes","p72","1994","Hombre",90853,55692,"[78710, 105094]","[53804, 60520]"
"201","provincia","Cautín","p91","1994","Hombre",156280,74970,"[135999, 183256]","[65059, 75650]"
"202","provincia","Chacabuco","p133","1994","Hombre",118035,85680,"[109401, 128564]","[80325, 90780]"
"203","provincia","Chañaral","p32","1994","Hombre",161087,117810,"[147225, 175537]","[107100, 128520]"
"204","provincia","Chiloé","p102","1994","Hombre",128970,73797,"[104948, 156480]","[64260, 85680]"
"205","provincia","Choapa","p42","1994","Hombre",115878,59976,"[94137, 142388]","[56763, 61940]"
"206","provincia","Colchagua","p63","1994","Hombre",98217,62832,"[80653, 133086]","[57834, 64260]"
"207","provincia","Concepción","p81","1994","Hombre",127008,75650,"[119888, 135577]","[74970, 80606]"
"208","provincia","Copiapó","p31","1994","Hombre",131815,90780,"[119036, 141175]","[85680, 96390]"
"209","provincia","Cordillera","p152","1994","Hombre",191784,105910,"[164238, 218779]","[96279, 107100]"
"210","provincia","Coyhaique","p111","1994","Hombre",157747,104958,"[141637, 174565]","[90780, 112455]"
"211","provincia","Curicó","p73","1994","Hombre",103008,64260,"[86532, 126794]","[62118, 64260]"
"212","provincia","El Loa","p22","1994","Hombre",191470,121040,"[163756, 220682]","[110892, 128520]"
"213","provincia","Elqui","p41","1994","Hombre",121058,74970,"[111997, 133002]","[69615, 75650]"
"214","provincia","Huasco","p33","1994","Hombre",130914,75310,"[116350, 144775]","[72828, 76418]"
"215","provincia","Iquique","p11","1994","Hombre",206203,128520,"[181005, 237254]","[121040, 132320]"
"216","provincia","Limarí","p43","1994","Hombre",100864,60520,"[90431, 113282]","[58905, 64260]"
"217","provincia","Linares","p74","1994","Hombre",86041,57387,"[79890, 91024]","[55692, 59976]"
"218","provincia","Llanquihue","p101","1994","Hombre",150875,75650,"[125144, 173214]","[71931, 81057]"
"219","provincia","Los Andes","p53","1994","Hombre",129664,83056,"[118245, 146390]","[77112, 85680]"
"220","provincia","Magallanes","p121","1994","Hombre",199322,139230,"[186087, 213881]","[128520, 151300]"
"221","provincia","Maipo","p134","1994","Hombre",143438,85680,"[128850, 164135]","[80325, 87367]"
"222","provincia","Malleco","p92","1994","Hombre",106934,66402,"[93466, 119740]","[62796, 74970]"
"223","provincia","Marga Marga","p58","1994","Hombre",158738,96990,"[145831, 170842]","[90968, 107100]"
"224","provincia","Melipilla","p135","1994","Hombre",114634,75650,"[102629, 131318]","[74970, 80325]"
"225","provincia","Ñuble","p84","1994","Hombre",70880,49266,"[68005, 74391]","[48195, 51408]"
"226","provincia","Osorno","p103","1994","Hombre",139349,74970,"[117233, 161656]","[64431, 80325]"
"227","provincia","Petorca","p54","1994","Hombre",117421,85680,"[109608, 125392]","[78676, 85680]"
"228","provincia","Quillota","p55","1994","Hombre",125374,78676,"[115117, 138110]","[75650, 83595]"
"229","provincia","Ranco","p142","1994","Hombre",157489,85680,"[116986, 216241]","[75293, 96390]"
"230","provincia","San Antonio","p56","1994","Hombre",139600,90780,"[127231, 155679]","[85813, 92106]"
"231","provincia","San Felipe","p57","1994","Hombre",118928,74970,"[109842, 130617]","[70405, 76699]"
"232","provincia","Santiago","p131","1994","Hombre",295851,128520,"[251031, 353652]","[122312, 128520]"
"233","provincia","Talagante","p136","1994","Hombre",124140,85680,"[116251, 131291]","[85680, 89301]"
"234","provincia","Talca","p71","1994","Hombre",92893,64260,"[87386, 99059]","[60520, 64260]"
"235","provincia","Tamarugal","p12","1994","Hombre",88067,69615,"[79341, 100633]","[64260, 74970]"
"236","provincia","Tierra del Fuego","p123","1994","Hombre",170916,107100,"[143925, 213941]","[90098, 122156]"
"237","provincia","Tocopilla","p23","1994","Hombre",153549,107100,"[138527, 168354]","[107100, 122156]"
