"","geography_level","geography_name","geography_id","year","sexo","mean_income","median_income","ci_mean_income","ci_median_income"
"141","comuna","Toltén","322","1990","Hombre",41124,29700,"[33328, 49918]","[24910, 31408]"
"142","comuna","Tomé","323","1990","Hombre",112669,45904,"[55964, 217366]","[41739, 48320]"
"143","comuna","Traiguén","326","1990","Hombre",68930,40336,"[48904, 92346]","[36240, 48636]"
"144","comuna","Valdivia","329","1990","Hombre",83842,48320,"[75700, 94350]","[46094, 54360]"
"145","comuna","Vallenar","330","1990","Hombre",106371,60400,"[90903, 124154]","[54360, 72480]"
"146","comuna","Valparaíso","331","1990","Hombre",78362,49500,"[68177, 90131]","[42280, 57984]"
"147","comuna","Victoria","333","1990","Hombre",56998,31408,"[35523, 82964]","[31408, 31408]"
"148","comuna","Villa Alegre","336","1990","Hombre",65757,31408,"[47855, 86877]","[31408, 38417]"
"149","comuna","Villa Alemana","337","1990","Hombre",88767,72480,"[68759, 110800]","[61548, 88022]"
"150","comuna","Villarrica","338","1990","Hombre",75975,58692,"[61164, 87406]","[42280, 65156]"
"151","comuna","Viña del Mar","339","1990","Hombre",135887,60400,"[96978, 190506]","[51401, 75500]"
"152","comuna","Alhué","2","1990","Mujer",37302,32616,"[31275, 42497]","[28992, 38493]"
"153","comuna","Andacollo","7","1990","Mujer",34414,34128,"[23226, 48502]","[15487, 43662]"
"154","comuna","Angol","8","1990","Mujer",60601,42280,"[45088, 77806]","[24160, 70702]"
"155","comuna","Antofagasta","9","1990","Mujer",74344,54360,"[65441, 84674]","[48320, 60400]"
"156","comuna","Arica","12","1990","Mujer",62029,36240,"[54179, 69974]","[34255, 42884]"
"157","comuna","Aysén","13","1990","Mujer",58855,44696,"[50660, 67262]","[42280, 52051]"
"158","comuna","Buin","14","1990","Mujer",43332,36240,"[38339, 47780]","[33824, 39376]"
"159","comuna","Bulnes","15","1990","Mujer",30064,31408,"[23077, 39715]","[14496, 48320]"
"160","comuna","Calama","19","1990","Mujer",66331,39600,"[53770, 76578]","[34398, 45330]"
"161","comuna","Calera","22","1990","Mujer",110826,33824,"[28564, 267902]","[24933, 48559]"
"162","comuna","Calera de Tango","23","1990","Mujer",41053,36240,"[36959, 45693]","[36240, 43201]"
"163","comuna","Cartagena","30","1990","Mujer",30818,31408,"[20846, 44941]","[15840, 48702]"
"164","comuna","Casablanca","31","1990","Mujer",28053,30723,"[21198, 35153]","[21744, 35988]"
"165","comuna","Castro","32","1990","Mujer",47981,33824,"[34846, 66865]","[29700, 42280]"
"166","comuna","Cauquenes","34","1990","Mujer",36468,30200,"[26866, 46948]","[21744, 38340]"
"167","comuna","Cerro Navia","36","1990","Mujer",42080,31408,"[35224, 50228]","[30200, 34458]"
"168","comuna","Chañaral","39","1990","Mujer",46949,34732,"[35098, 62786]","[31408, 48320]"
"169","comuna","Chillán","43","1990","Mujer",42652,33378,"[36264, 50316]","[31408, 38802]"
"170","comuna","Chimbarongo","45","1990","Mujer",35450,31408,"[30096, 41881]","[28992, 31408]"
"171","comuna","Chonchi","47","1990","Mujer",44420,31408,"[28756, 63980]","[29700, 36240]"
"172","comuna","Coihueco","55","1990","Mujer",32386,19800,"[22931, 42614]","[14496, 39411]"
"173","comuna","Colina","59","1990","Mujer",40450,31408,"[34247, 45962]","[30683, 36240]"
"174","comuna","Collipulli","60","1990","Mujer",66228,49500,"[39507, 94018]","[34056, 112344]"
"175","comuna","Combarbalá","62","1990","Mujer",29713,28992,"[23708, 35639]","[21744, 36240]"
"176","comuna","Concepción","64","1990","Mujer",57796,36240,"[47320, 70027]","[31408, 39600]"
"177","comuna","Conchalí","65","1990","Mujer",62877,42280,"[49322, 79274]","[36240, 48320]"
"178","comuna","Constitución","66","1990","Mujer",92843,42280,"[47601, 154036]","[32616, 65072]"
"179","comuna","Copiapó","68","1990","Mujer",61536,38656,"[52985, 72049]","[36240, 44696]"
"180","comuna","Coquimbo","69","1990","Mujer",51481,36240,"[40081, 72854]","[31408, 36240]"
"181","comuna","Coronel","70","1990","Mujer",47441,31408,"[31510, 57534]","[25134, 39600]"
"182","comuna","Coyhaique","54","1990","Mujer",63489,36240,"[49189, 82786]","[31408, 43201]"
"183","comuna","Curacautín","73","1990","Mujer",29099,23960,"[20324, 41107]","[14496, 36240]"
"184","comuna","Curacaví","74","1990","Mujer",47220,36240,"[40836, 57861]","[31408, 37419]"
"185","comuna","Curanilahue","76","1990","Mujer",59054,35640,"[41319, 83274]","[29700, 48320]"
"186","comuna","Curicó","79","1990","Mujer",60218,37448,"[48461, 72860]","[36240, 48320]"
"187","comuna","Diego de Almagro","81","1990","Mujer",44562,27180,"[24523, 71693]","[20772, 36240]"
"188","comuna","Doñihue","82","1990","Mujer",33647,28992,"[25598, 41698]","[21744, 33824]"
"189","comuna","El Monte","85","1990","Mujer",34710,28521,"[27960, 46098]","[23954, 34401]"
"190","comuna","Estación Central","90","1990","Mujer",58902,42280,"[48751, 71289]","[36240, 49588]"
"191","comuna","Freirina","93","1990","Mujer",53454,31408,"[30200, 82011]","[27784, 101169]"
"192","comuna","Fresia","94","1990","Mujer",76672,31664,"[31717, 142541]","[22635, 80936]"
"193","comuna","Hualañé","105","1990","Mujer",42889,30200,"[31176, 60436]","[19800, 39600]"
"194","comuna","Hualqui","107","1990","Mujer",38214,39600,"[31516, 45495]","[29700, 49500]"
"195","comuna","Huasco","109","1990","Mujer",28992,13892,"[12663, 50773]","[7944, 29962]"
"196","comuna","Illapel","111","1990","Mujer",36613,31408,"[25015, 49917]","[21744, 60400]"
"197","comuna","Iquique","113","1990","Mujer",118324,51480,"[83279, 164671]","[48320, 61034]"
"198","comuna","Isla de Maipo","114","1990","Mujer",47834,35336,"[39016, 59341]","[31408, 38815]"
"199","comuna","La Cisterna","117","1990","Mujer",41017,31408,"[35399, 46840]","[28992, 36240]"
"200","comuna","La Florida","120","1990","Mujer",58102,36240,"[47773, 73468]","[33824, 48320]"
"201","comuna","La Granja","121","1990","Mujer",38537,36240,"[34374, 42662]","[31408, 36240]"
"202","comuna","La Ligua","123","1990","Mujer",49815,30683,"[31026, 78174]","[19965, 31408]"
"203","comuna","La Pintana","124","1990","Mujer",35906,31408,"[31095, 40449]","[30200, 33780]"
"204","comuna","La Reina","125","1990","Mujer",111933,72480,"[87009, 146887]","[51189, 74896]"
"205","comuna","La Serena","126","1990","Mujer",54683,36240,"[45849, 66234]","[31408, 42280]"
"206","comuna","La Unión","127","1990","Mujer",53975,36240,"[36580, 71329]","[25368, 42280]"
"207","comuna","Lampa","346","1990","Mujer",51322,36240,"[33091, 79267]","[30659, 38644]"
"208","comuna","Las Condes","134","1990","Mujer",111637,72480,"[97161, 126005]","[59400, 84864]"
"209","comuna","Lebu","136","1990","Mujer",37143,33824,"[25973, 48935]","[31408, 39600]"
"210","comuna","Linares","139","1990","Mujer",40937,33824,"[34827, 50922]","[31408, 40246]"
"211","comuna","Llanquihue","141","1990","Mujer",63397,42280,"[39321, 94204]","[33824, 72480]"
"212","comuna","Lo Prado","145","1990","Mujer",54002,36240,"[41373, 68459]","[31408, 42758]"
"213","comuna","Longaví","148","1990","Mujer",58572,45904,"[39974, 84535]","[38052, 51340]"
"214","comuna","Los Álamos","150","1990","Mujer",39768,34900,"[24330, 55660]","[12080, 52470]"
"215","comuna","Los Andes","151","1990","Mujer",34862,24160,"[20150, 57107]","[15840, 33824]"
"216","comuna","Los Ángeles","152","1990","Mujer",54552,31408,"[42694, 75173]","[30069, 34458]"
"217","comuna","Los Vilos","156","1990","Mujer",33604,29700,"[25050, 42589]","[18519, 42014]"
"218","comuna","Lota","157","1990","Mujer",45871,30200,"[33213, 61770]","[21744, 39600]"
"219","comuna","Machalí","159","1990","Mujer",52321,39260,"[39478, 68445]","[31408, 46923]"
"220","comuna","Macul","160","1990","Mujer",68064,54360,"[57112, 79225]","[48320, 59400]"
"221","comuna","Maipú","162","1990","Mujer",68246,51480,"[60249, 80043]","[43580, 66742]"
"222","comuna","María Pinto","166","1990","Mujer",32023,32616,"[28430, 36107]","[28992, 36129]"
"223","comuna","Mariquina","167","1990","Mujer",39037,33824,"[29639, 50159]","[29700, 41007]"
"224","comuna","Maullín","169","1990","Mujer",19883,13860,"[14744, 25947]","[10268, 30200]"
"225","comuna","Mejillones","170","1990","Mujer",81107,60400,"[43735, 127087]","[24160, 85140]"
"226","comuna","Melipilla","172","1990","Mujer",61912,36240,"[36960, 97244]","[32556, 39128]"
"227","comuna","Molina","173","1990","Mujer",34393,28992,"[24811, 46559]","[21744, 36240]"
"228","comuna","Mostazal","175","1990","Mujer",37227,31408,"[30644, 45428]","[30200, 36240]"
"229","comuna","Mulchén","176","1990","Mujer",41901,24160,"[20148, 88490]","[12080, 31408]"
"230","comuna","Natales","179","1990","Mujer",49453,29950,"[32368, 67078]","[21744, 32616]"
"231","comuna","Nogales","183","1990","Mujer",30956,30200,"[25388, 39607]","[25368, 32616]"
"232","comuna","Ñuñoa","186","1990","Mujer",118572,87580,"[104333, 137317]","[77436, 113612]"
"233","comuna","Osorno","191","1990","Mujer",50142,30804,"[40619, 65300]","[29160, 32933]"
"234","comuna","Ovalle","192","1990","Mujer",46090,32616,"[37370, 57513]","[31408, 36240]"
"235","comuna","Paillaco","196","1990","Mujer",39891,33824,"[31004, 51926]","[25476, 36240]"
"236","comuna","Paine","197","1990","Mujer",39611,33824,"[34767, 45789]","[31408, 36240]"
"237","comuna","Paredones","203","1990","Mujer",49377,42763,"[38370, 63781]","[37450, 59422]"
"238","comuna","Parral","204","1990","Mujer",44522,31408,"[34544, 56625]","[29160, 36240]"
"239","comuna","Pelarco","206","1990","Mujer",23806,21744,"[17241, 34246]","[15100, 24160]"
"240","comuna","Pelluhue","207","1990","Mujer",55021,48320,"[34673, 75487]","[42570, 78520]"
"241","comuna","Peñaflor","211","1990","Mujer",68120,41918,"[45222, 96027]","[36240, 42405]"
"242","comuna","Peñalolén","212","1990","Mujer",39706,31408,"[33471, 45306]","[29279, 36240]"
"243","comuna","Penco","210","1990","Mujer",41990,31408,"[33573, 50701]","[31408, 36240]"
"244","comuna","Pica","217","1990","Mujer",49987,32012,"[33726, 64184]","[31408, 42570]"
"245","comuna","Pirque","221","1990","Mujer",79841,42280,"[60144, 98453]","[36556, 42844]"
"246","comuna","Pitrufquén","222","1990","Mujer",68844,38656,"[38665, 112059]","[14496, 78520]"
"247","comuna","Porvenir","225","1990","Mujer",43549,32616,"[29348, 58970]","[24160, 72578]"
"248","comuna","Pozo Almonte","226","1990","Mujer",23120,20434,"[15857, 30946]","[9900, 37448]"
"249","comuna","Providencia","228","1990","Mujer",136114,84560,"[112611, 156874]","[53981, 99000]"
"250","comuna","Pucón","230","1990","Mujer",35706,31408,"[25166, 52619]","[19800, 36240]"
"251","comuna","Pudahuel","231","1990","Mujer",36224,31408,"[32884, 39666]","[30200, 33884]"
"252","comuna","Puente Alto","232","1990","Mujer",65078,48320,"[56969, 75028]","[38313, 56172]"
"253","comuna","Puerto Montt","233","1990","Mujer",49917,32616,"[44706, 56824]","[31408, 38004]"
"254","comuna","Puerto Octay","234","1990","Mujer",40054,32616,"[27851, 52856]","[24160, 54360]"
"255","comuna","Puerto Varas","235","1990","Mujer",49178,36240,"[38778, 66900]","[31408, 49588]"
"256","comuna","Punta Arenas","238","1990","Mujer",65640,39864,"[59271, 75873]","[36240, 50540]"
"257","comuna","Purranque","241","1990","Mujer",25266,21744,"[16907, 32838]","[16217, 31408]"
"258","comuna","Quilicura","249","1990","Mujer",52549,38484,"[40638, 63039]","[34126, 46599]"
"259","comuna","Quillón","251","1990","Mujer",27893,26326,"[21733, 33947]","[15000, 36240]"
