"","geography_level","geography_name","geography_id","sex","icse","year","weighted_mean","weighted_median","ci_weighted_mean","ci_weighted_median"
"126","comuna","Calle Larga","24","Hombre","Asalariado Sector Privado",2015,411128.064094796,324642.592110338,"[333845, 540446]","[287489, 449736]"
"127","comuna","Camarones","25","Hombre","Asalariado Sector Privado",2010,274479.629786803,281795.10191513,"[185907, 364207]","[140602, 435426]"
"128","comuna","Camarones","25","Hombre","Asalariado Sector Privado",2011,250563.38028169,199079.545454545,"[153835, 352876]","[162500, 390000]"
"129","comuna","Camarones","25","Hombre","Asalariado Sector Privado",2012,184470.105434904,152288.939227841,"[80450, 269866]","[80450, 320974]"
"130","comuna","Canela","27","Hombre","Asalariado Sector Privado",2010,388592.89245581,353176.787023551,"[301721, 473356]","[275409, 447774]"
"131","comuna","Canela","27","Hombre","Asalariado Sector Privado",2011,384380.093235941,366671.932459757,"[324715, 451426]","[279105, 400000]"
"132","comuna","Canela","27","Hombre","Asalariado Sector Privado",2012,408425.635671613,367151.418753371,"[304889, 513646]","[222695, 442473]"
"133","comuna","Canela","27","Hombre","Asalariado Sector Privado",2013,510593.766748717,526595.682051403,"[419435, 618389]","[383334, 649359]"
"134","comuna","Canela","27","Hombre","Asalariado Sector Privado",2014,510141.469270829,412877.766347218,"[378148, 704560]","[260455, 815252]"
"135","comuna","Canela","27","Hombre","Asalariado Sector Privado",2015,544118.671736692,436989.44905284,"[384762, 708937]","[270507, 670056]"
"136","comuna","Cañete","28","Hombre","Asalariado Sector Privado",2010,246613.954365861,195379.000632866,"[193363, 284514]","[163580, 251133]"
"137","comuna","Cañete","28","Hombre","Asalariado Sector Privado",2011,286490.07340757,200000,"[214603, 392906]","[175902, 253244]"
"138","comuna","Cañete","28","Hombre","Asalariado Sector Privado",2012,225988.494482235,192471.912602932,"[182439, 288444]","[154484, 204235]"
"139","comuna","Cañete","28","Hombre","Asalariado Sector Privado",2013,275545.019964176,242522.998117427,"[220651, 355460]","[200976, 285519]"
"140","comuna","Cañete","28","Hombre","Asalariado Sector Privado",2014,286667.91075711,232014.492869375,"[232822, 356869]","[221920, 299946]"
"141","comuna","Cañete","28","Hombre","Asalariado Sector Privado",2015,302688.18326004,281070.666443951,"[259885, 344864]","[233913, 368603]"
"142","comuna","Carahue","29","Hombre","Asalariado Sector Privado",2010,132817.420506234,134893.289910127,"[104401, 168285]","[117000, 150147]"
"143","comuna","Carahue","29","Hombre","Asalariado Sector Privado",2011,170538.554670646,155693.311786871,"[111782, 225943]","[77950, 259823]"
"144","comuna","Carahue","29","Hombre","Asalariado Sector Privado",2012,176333.164562342,176088.917675707,"[130516, 240906]","[100451, 217634]"
"145","comuna","Carahue","29","Hombre","Asalariado Sector Privado",2013,235834.729971339,209476.835430606,"[187411, 280758]","[175051, 309000]"
"146","comuna","Carahue","29","Hombre","Asalariado Sector Privado",2014,280782.94636416,303384.113884664,"[213292, 344749]","[200846, 384331]"
"147","comuna","Carahue","29","Hombre","Asalariado Sector Privado",2015,320548.199998402,230967.364918655,"[186859, 479422]","[153280, 368022]"
"148","comuna","Cartagena","30","Hombre","Asalariado Sector Privado",2010,214542.610312895,218941.052425736,"[161857, 262257]","[147916, 220000]"
