"","sexo","oficio_id","provincia","1990","1992","1994","1996","1998","2000","2003","2006","2009","2011","2013","2015"
"114","Hombre","Miembros del Poder Ejecutivo","Choapa",118384,NA,NA,NA,NA,NA,NA,NA,308100,NA,NA,NA
"115","Hombre","Oficiales, Operarios y Artesanos","Choapa",48320,NA,75650,NA,NA,130000,NA,NA,NA,NA,NA,NA
"116","Hombre","Operadores y Montadores","Choapa",54360,53650,85680,NA,NA,182600,NA,NA,NA,NA,NA,NA
"117","Hombre","Profesionales y Científicos","Choapa",49500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","Hombre","Técnicos y Profesionales Nivel Medio","Choapa",30690,96570,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","Hombre","Agricultores y  y Trabajadores Calificados","Colchagua",31408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","Hombre","Comerciantes y Vendedores","Colchagua",37920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","Hombre","Empleados de Oficina","Colchagua",31408,NA,NA,145000,150600,NA,157500,181800,221000,240680,290000,3e+05
"122","Hombre","Ff.aa.","Colchagua",61862,NA,160650,NA,NA,180000,NA,NA,NA,NA,NA,NA
"123","Hombre","Miembros del Poder Ejecutivo","Colchagua",242235,NA,NA,NA,NA,NA,NA,NA,386750,NA,NA,NA
"124","Hombre","Oficiales, Operarios y Artesanos","Colchagua",39600,NA,75650,NA,NA,144110,NA,NA,NA,NA,NA,NA
"125","Hombre","Operadores y Montadores","Colchagua",84560,75110,64260,NA,NA,138500,NA,NA,NA,NA,NA,NA
"126","Hombre","Profesionales y Científicos","Colchagua",50490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","Hombre","Técnicos y Profesionales Nivel Medio","Colchagua",40940,101935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","Hombre","Agricultores y  y Trabajadores Calificados","Concepción",42280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","Hombre","Comerciantes y Vendedores","Concepción",48320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","Hombre","Empleados de Oficina","Concepción",36240,NA,NA,140000,200800,NA,191000,181800,276250,270186,3e+05,4e+05
"131","Hombre","Ff.aa.","Concepción",96640,NA,135054,NA,NA,290000,NA,NA,NA,NA,NA,NA
"132","Hombre","Miembros del Poder Ejecutivo","Concepción",396000,NA,NA,NA,NA,NA,NA,NA,610723,NA,NA,NA
"133","Hombre","Oficiales, Operarios y Artesanos","Concepción",47112,NA,85680,NA,NA,130000,NA,NA,NA,NA,NA,NA
"134","Hombre","Operadores y Montadores","Concepción",88184,64380,85680,NA,NA,150000,NA,NA,NA,NA,NA,NA
"135","Hombre","Profesionales y Científicos","Concepción",84560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","Hombre","Técnicos y Profesionales Nivel Medio","Concepción",51073,128760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","Hombre","Trabajadores No Calificados","Concepción",41072,41794,NA,68500,83332,NA,115000,131300,179563,205400,210000,250000
"138","Hombre","Agricultores y  y Trabajadores Calificados","Copiapó",42280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","Hombre","Comerciantes y Vendedores","Copiapó",60400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","Hombre","Empleados de Oficina","Copiapó",41580,NA,NA,150000,175700,NA,180000,224725,221000,382900,4e+05,410000
"141","Hombre","Ff.aa.","Copiapó",181200,NA,NA,NA,NA,280000,NA,NA,NA,NA,NA,NA
"142","Hombre","Miembros del Poder Ejecutivo","Copiapó",495000,NA,NA,NA,NA,NA,NA,NA,431340,NA,NA,NA
"143","Hombre","Oficiales, Operarios y Artesanos","Copiapó",62816,NA,105910,NA,NA,160000,NA,NA,NA,NA,NA,NA
"144","Hombre","Operadores y Montadores","Copiapó",265760,105154,96390,NA,NA,180000,NA,NA,NA,NA,NA,NA
"145","Hombre","Profesionales y Científicos","Copiapó",72480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","Hombre","Técnicos y Profesionales Nivel Medio","Copiapó",49500,117420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","Hombre","Agricultores y  y Trabajadores Calificados","Cordillera",36240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","Hombre","Comerciantes y Vendedores","Cordillera",60400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","Hombre","Empleados de Oficina","Cordillera",39600,NA,NA,190000,180720,NA,225000,303000,287300,273500,350000,4e+05
"150","Hombre","Ff.aa.","Cordillera",132880,NA,94248,NA,NA,120000,NA,NA,NA,NA,NA,NA
"151","Hombre","Miembros del Poder Ejecutivo","Cordillera",538600,NA,NA,NA,NA,NA,NA,NA,821600,NA,NA,NA
"152","Hombre","Oficiales, Operarios y Artesanos","Cordillera",48320,NA,128520,NA,NA,180000,NA,NA,NA,NA,NA,NA
"153","Hombre","Operadores y Montadores","Cordillera",51340,69745,119425,NA,NA,180000,NA,NA,NA,NA,NA,NA
"154","Hombre","Profesionales y Científicos","Cordillera",79200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","Hombre","Técnicos y Profesionales Nivel Medio","Cordillera",59400,150220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","Hombre","Trabajadores No Calificados","Cordillera",39600,53650,NA,113814,109215,NA,130000,151500,182325,218800,222231,3e+05
"157","Hombre","Agricultores y  y Trabajadores Calificados","Coyhaique",33824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","Hombre","Comerciantes y Vendedores","Coyhaique",59400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","Hombre","Empleados de Oficina","Coyhaique",41978,NA,NA,140000,158130,NA,2e+05,254015,718900,328200,307500,390000
"160","Hombre","Ff.aa.","Coyhaique",161872,NA,267750,NA,NA,380000,NA,NA,NA,NA,NA,NA
"161","Hombre","Miembros del Poder Ejecutivo","Coyhaique",221480,NA,NA,NA,NA,NA,NA,NA,536900,NA,NA,NA
