"","sexo","region","oficio_id","1990","1992","1994","1996","1998","2000","2003","2006","2009","2011","2013","2015"
"120","Hombre","Valparaíso","Profesionales y Científicos",68856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","Hombre","Antofagasta","Técnicos y Profesionales Nivel Medio",59900,160950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","Hombre","Araucanía","Técnicos y Profesionales Nivel Medio",49500,107300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","Hombre","Arica y Parinacota","Técnicos y Profesionales Nivel Medio",56108,214600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","Hombre","Atacama","Técnicos y Profesionales Nivel Medio",59400,127150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","Hombre","Aysén","Técnicos y Profesionales Nivel Medio",76626,158268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","Hombre","Bíobío","Técnicos y Profesionales Nivel Medio",51212,114811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","Hombre","Coquimbo","Técnicos y Profesionales Nivel Medio",48320,128760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","Hombre","Los Lagos","Técnicos y Profesionales Nivel Medio",59400,126983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","Hombre","Los Ríos","Técnicos y Profesionales Nivel Medio",62816,97643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","Hombre","Magallanes","Técnicos y Profesionales Nivel Medio",59400,191038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","Hombre","Maule","Técnicos y Profesionales Nivel Medio",55336,116420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","Hombre","Metropolitana","Técnicos y Profesionales Nivel Medio",59400,160950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","Hombre","O'Higgins","Técnicos y Profesionales Nivel Medio",59400,126227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","Hombre","Tarapacá","Técnicos y Profesionales Nivel Medio",99000,107300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","Hombre","Valparaíso","Técnicos y Profesionales Nivel Medio",59400,160950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","Hombre","Araucanía","Trabajadores No Calificados",36240,42920,NA,60000,80320,NA,98815,121200,165750,196920,210000,241000
"137","Hombre","Aysén","Trabajadores No Calificados",33824,51590,NA,75000,83332,NA,120000,151500,198900,218800,220000,280000
"138","Hombre","Bíobío","Trabajadores No Calificados",41072,40774,NA,61290,80320,NA,95342,121200,165750,196920,210000,241000
