"","sexo","region","oficio","1990","1992","1994","1996","1998","2000","2003","2006","2009","2011","2013","2015"
"92","Hombre","Araucanía","Trabajadores Agropecuarios y Pesqueros",37497,77782,58109,107592,116394,92503,99769,127513,205184,227109,190943,210684
"93","Hombre","Arica y Parinacota","Trabajadores Agropecuarios y Pesqueros",47983,86007,111141,180876,160414,134064,153115,160107,260227,444539,212666,187038
"94","Hombre","Atacama","Trabajadores Agropecuarios y Pesqueros",55433,99063,77414,258962,168695,145458,195639,223433,251202,361427,286160,302637
"95","Hombre","Aysén","Trabajadores Agropecuarios y Pesqueros",43403,137158,124289,226001,168408,155043,205723,279077,334794,457418,273917,326137
"96","Hombre","Bíobío","Trabajadores Agropecuarios y Pesqueros",39621,87711,62218,126484,166972,110149,137948,143423,208932,223200,192412,232896
"97","Hombre","Coquimbo","Trabajadores Agropecuarios y Pesqueros",42060,95733,76840,134009,125489,122737,144406,168950,264531,262592,225746,225453
"98","Hombre","Los Lagos","Trabajadores Agropecuarios y Pesqueros",37514,80526,119701,129035,144232,120662,165320,197168,273318,301242,210757,258836
"99","Hombre","Los Ríos","Trabajadores Agropecuarios y Pesqueros",44167,132937,119847,101040,119157,134335,144211,194071,247445,383079,190755,205647
"100","Hombre","Magallanes","Trabajadores Agropecuarios y Pesqueros",56310,148822,171320,149927,199576,188646,221221,254586,464428,389461,379367,515550
"101","Hombre","Maule","Trabajadores Agropecuarios y Pesqueros",32232,127081,73931,119056,134294,131267,140556,187837,272347,237539,219081,282105
"102","Hombre","Metropolitana","Trabajadores Agropecuarios y Pesqueros",43633,96632,113523,146474,162522,156694,208234,244768,316399,309057,251434,356393
"103","Hombre","O'Higgins","Trabajadores Agropecuarios y Pesqueros",44432,119252,111383,135815,175287,150856,158865,193886,310102,286874,250893,317654
"104","Hombre","Tarapacá","Trabajadores Agropecuarios y Pesqueros",63706,104191,109484,207137,168386,137429,191536,161201,181866,400587,290711,219885
"105","Hombre","Valparaíso","Trabajadores Agropecuarios y Pesqueros",40721,103678,112224,178360,151065,147179,189152,214189,263330,283778,226529,295978
"106","Hombre","Antofagasta","Trabajadores de Artes Mecánicas y Otros",70803,129222,134382,212199,248072,225390,288931,351735,407738,540617,536852,509416
"107","Hombre","Araucanía","Trabajadores de Artes Mecánicas y Otros",49302,75261,150994,114155,138779,145385,151180,194818,267780,280876,256275,277805
"108","Hombre","Arica y Parinacota","Trabajadores de Artes Mecánicas y Otros",59994,111161,139940,146858,181729,129206,168038,205142,341200,453690,322008,358762
"109","Hombre","Atacama","Trabajadores de Artes Mecánicas y Otros",71073,132006,142069,162899,185144,185314,219770,310142,358296,449435,441726,491482
"110","Hombre","Aysén","Trabajadores de Artes Mecánicas y Otros",57583,114225,119975,159577,194240,169490,230080,302236,370160,396768,323729,413274
"111","Hombre","Bíobío","Trabajadores de Artes Mecánicas y Otros",61680,77842,93013,130427,154943,153791,178399,199466,264450,317475,303583,320776
"112","Hombre","Coquimbo","Trabajadores de Artes Mecánicas y Otros",57349,93243,136319,141819,158303,165445,186085,263241,345638,407005,366891,412198
"113","Hombre","Los Lagos","Trabajadores de Artes Mecánicas y Otros",47777,94889,104673,125922,155348,165386,182389,224865,280935,317090,263086,301065
"114","Hombre","Los Ríos","Trabajadores de Artes Mecánicas y Otros",52341,76241,104749,107976,120532,149696,197703,199257,265029,306440,248216,286731
"115","Hombre","Magallanes","Trabajadores de Artes Mecánicas y Otros",65858,105299,159673,154054,209378,234151,254780,294596,422219,460701,368878,448642
"116","Hombre","Maule","Trabajadores de Artes Mecánicas y Otros",56437,79249,93460,131412,156258,153716,179495,213378,287409,306560,298462,297536
"117","Hombre","Metropolitana","Trabajadores de Artes Mecánicas y Otros",62860,102941,141478,178455,205115,201944,234480,280244,329834,378709,335537,387347
"118","Hombre","O'Higgins","Trabajadores de Artes Mecánicas y Otros",69197,108680,117601,142604,188533,180730,216520,242649,313623,350178,313804,365283
"119","Hombre","Tarapacá","Trabajadores de Artes Mecánicas y Otros",77477,115505,134799,220195,222622,213707,230809,276070,342923,438015,429604,393786
"120","Hombre","Valparaíso","Trabajadores de Artes Mecánicas y Otros",54694,93006,122276,173927,185715,189044,214169,243071,331262,373956,346702,356711
"121","Hombre","Antofagasta","Trabajadores de Servicios y Vendedores",88363,104648,109431,157491,265724,221596,203739,321369,346240,446210,447086,455000
"122","Hombre","Araucanía","Trabajadores de Servicios y Vendedores",59685,104977,208320,137166,164753,173278,167134,217265,290118,290035,320513,334577
"123","Hombre","Arica y Parinacota","Trabajadores de Servicios y Vendedores",86533,123376,137095,149426,216576,204631,165600,265415,339236,361967,345177,338287
"124","Hombre","Atacama","Trabajadores de Servicios y Vendedores",74417,81618,113570,169098,195520,145179,165676,216296,344931,414108,387671,462500
"125","Hombre","Aysén","Trabajadores de Servicios y Vendedores",66999,91269,144562,186632,179295,245540,332620,416248,464224,504335,448915,461515
"126","Hombre","Bíobío","Trabajadores de Servicios y Vendedores",79913,95225,90417,145609,144235,161087,165626,226499,269077,288109,298152,354439
"127","Hombre","Coquimbo","Trabajadores de Servicios y Vendedores",63255,112969,122760,175563,140801,156006,180501,191030,329325,356694,331836,357378
"128","Hombre","Los Lagos","Trabajadores de Servicios y Vendedores",58695,101774,129326,130805,213780,212242,190861,257705,357384,375247,296747,376973
"129","Hombre","Los Ríos","Trabajadores de Servicios y Vendedores",53692,94220,98082,271286,120989,149566,160890,206373,261923,315232,285361,346495
"130","Hombre","Magallanes","Trabajadores de Servicios y Vendedores",66455,97765,117502,200969,202532,242607,209721,271162,430768,353286,381777,489409
"131","Hombre","Maule","Trabajadores de Servicios y Vendedores",61480,87465,94341,121528,163018,211915,159302,206080,298496,299072,289978,332519
"132","Hombre","Metropolitana","Trabajadores de Servicios y Vendedores",70709,120791,143313,185885,195292,185345,204299,260529,360836,353305,313938,393583
"133","Hombre","O'Higgins","Trabajadores de Servicios y Vendedores",66490,129960,126757,137755,163560,154243,186261,251210,332673,307020,289623,339193
"134","Hombre","Tarapacá","Trabajadores de Servicios y Vendedores",105251,163890,156172,209488,186668,206161,234884,302423,413456,404671,419792,406896
"135","Hombre","Valparaíso","Trabajadores de Servicios y Vendedores",59942,117815,106617,194602,169286,179070,186990,224998,298532,303366,340793,344884
"136","Hombre","Araucanía","Trabajadores No Calificados",36240,52289,82363,68304,80807,87349,98733,120704,179815,211509,195832,233331
"137","Hombre","Aysén","Trabajadores No Calificados",33824,60389,71128,96107,95736,116792,134237,190446,263877,277685,248332,300420
"138","Hombre","Bíobío","Trabajadores No Calificados",50196,47583,53483,70979,84021,88151,96917,119771,171059,207051,202178,257993
"139","Hombre","Coquimbo","Trabajadores No Calificados",60720,53715,70809,74744,92492,100326,108365,137939,208325,249186,240276,287167
"140","Hombre","Los Lagos","Trabajadores No Calificados",50570,44791,60748,83352,90377,98815,116959,140930,196297,236054,214956,257716
"141","Hombre","Metropolitana","Trabajadores No Calificados",67499,66558,85600,107674,120508,123482,137445,164877,226388,274381,259842,300207
"142","Hombre","O'Higgins","Trabajadores No Calificados",25542,51925,65647,79735,91393,101749,112825,138781,196295,238333,227192,264439
"143","Hombre","Tarapacá","Trabajadores No Calificados",132880,81558,82296,105064,110531,118504,138425,158793,235240,309908,280460,323921
