"","sexo","oficio","provincia","1990","1992","1994","1996","1998","2000","2003","2006","2009","2011","2013","2015"
"125","Hombre","Trabajadores Agropecuarios y Pesqueros","Colchagua",39758,106320,84718,127434,142697,158631,144814,179266,274800,228790,250655,319325
"126","Hombre","Trabajadores de Artes Mecánicas y Otros","Colchagua",49572,84878,77479,120834,171216,185529,207155,200601,328730,307995,257065,297831
"127","Hombre","Trabajadores de Servicios y Vendedores","Colchagua",48399,102660,127803,103991,187273,148054,167414,219065,334147,337351,320894,309315
"128","Hombre","Empleados de Oficina","Concepción",82939,100288,125723,173678,242065,208150,230780,224514,344012,495529,336720,457229
"129","Hombre","Fuerzas Armadas","Concepción",123107,130431,151859,166357,234782,253167,313179,314615,565324,768535,544587,641703
"130","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos","Concepción",560406,714250,327048,557184,881999,463351,936379,978312,1054746,1228668,643186,699848
"131","Hombre","Operadores y Montadores de Instalaciones y Máquinas","Concepción",99526,84872,106677,131506,172056,172858,200449,222652,337110,344516,357069,381062
"132","Hombre","Profesionales, Científicos e Intelectuales","Concepción",126635,208628,326918,467015,570968,590813,678768,752650,753599,1301405,919098,1100223
"133","Hombre","Técnicos y Profesionales de Nivel Medio","Concepción",100821,162806,187077,280524,451697,328863,357311,440799,495522,529164,524322,545255
"134","Hombre","Trabajadores Agropecuarios y Pesqueros","Concepción",47367,87044,90178,133826,121156,110473,129711,184692,196307,220568,221430,246399
"135","Hombre","Trabajadores de Artes Mecánicas y Otros","Concepción",69287,81813,109486,130648,169982,164188,180496,213377,285219,351516,324972,344624
"136","Hombre","Trabajadores de Servicios y Vendedores","Concepción",83878,101279,99661,156880,149189,158495,177075,262890,269315,308670,297264,344089
"137","Hombre","Trabajadores No Calificados","Concepción",50333,51328,63877,79763,93629,103057,114892,141540,192557,235577,220492,281945
"138","Hombre","Empleados de Oficina","Copiapó",44489,149074,180445,219004,219425,222412,246145,235120,280855,453015,461561,519705
"139","Hombre","Fuerzas Armadas","Copiapó",188551,NA,NA,NA,NA,280000,NA,NA,607750,568880,8e+05,1103333
"140","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos","Copiapó",1021427,286469,382569,945871,415013,835933,777379,805868,529620,889357,809757,852293
"141","Hombre","Operadores y Montadores de Instalaciones y Máquinas","Copiapó",265760,123354,120928,202917,194377,238030,258407,305888,424139,592055,504410,566463
"142","Hombre","Profesionales, Científicos e Intelectuales","Copiapó",110266,364163,267854,386968,524082,596223,671233,783893,667052,1094002,1357010,1279439
"143","Hombre","Técnicos y Profesionales de Nivel Medio","Copiapó",81102,142470,210816,623727,330444,411510,345879,513979,538677,619876,707224,784160
"144","Hombre","Trabajadores Agropecuarios y Pesqueros","Copiapó",48673,142284,100942,273392,200747,161201,169477,200828,239544,395771,304273,348988
"145","Hombre","Trabajadores de Artes Mecánicas y Otros","Copiapó",70540,141531,117806,171401,194342,193779,204191,342157,362172,464778,473732,520750
"146","Hombre","Trabajadores de Servicios y Vendedores","Copiapó",76121,80466,100346,234904,134813,133283,163920,181937,309103,429727,425264,452107
"147","Hombre","Empleados de Oficina","Cordillera",42307,100646,155013,190150,191140,212352,285571,333887,380570,302874,371713,462649
"148","Hombre","Fuerzas Armadas","Cordillera",224605,167602,94248,259728,167668,120000,3e+05,NA,1326000,355550,150000,712857
"149","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos","Cordillera",763455,522857,746852,759841,1435751,986447,1557393,1724393,1634950,750716,982353,883574
"150","Hombre","Operadores y Montadores de Instalaciones y Máquinas","Cordillera",51340,125106,190308,163058,204203,203990,237253,296672,356672,373857,361655,417696
"151","Hombre","Profesionales, Científicos e Intelectuales","Cordillera",126266,316284,514251,392143,1272023,999773,790600,758374,1185216,839399,611878,831893
"152","Hombre","Técnicos y Profesionales de Nivel Medio","Cordillera",111297,234648,273562,314545,620389,405131,481084,695026,467435,509468,563701,617275
"153","Hombre","Trabajadores Agropecuarios y Pesqueros","Cordillera",46262,72475,114524,95322,150104,141024,170986,274469,234997,176186,215974,267773
"154","Hombre","Trabajadores de Artes Mecánicas y Otros","Cordillera",55850,106834,138846,203306,229461,192750,300257,279946,353881,391483,336271,379664
"155","Hombre","Trabajadores de Servicios y Vendedores","Cordillera",87462,146979,141346,187661,202883,201847,230956,215360,313728,391079,310396,386755
