"","sexo","oficio","comuna","1990","1992","1994","1996","1998","2000","2003","2006","2009","2011","2013","2015"
"115","Hombre","Técnicos y Profesionales de Nivel Medio","Cauquenes",41109,59730,72292,85000,211468,544500,5e+05,268660,330893,459480,550000,436000
"116","Hombre","Trabajadores Agropecuarios y Pesqueros","Cauquenes",32073,404633,52474,88242,71983,112668,130957,128998,184728,163133,208043,182293
"117","Hombre","Trabajadores de Artes Mecánicas y Otros","Cauquenes",32029,79808,93543,128619,137014,116668,146996,130213,278035,193578,234308,254968
"118","Hombre","Trabajadores de Servicios y Vendedores","Cauquenes",60351,49388,61132,87108,124077,116761,189041,203932,244008,251593,411041,343503
"119","Hombre","Empleados de Oficina","Cerro Navia",58619,83685,104839,155583,201763,169119,182980,204377,273859,248025,380304,344460
"120","Hombre","Fuerzas Armadas","Cerro Navia",72016,85840,NA,130000,NA,NA,NA,404000,NA,NA,NA,NA
"121","Hombre","Profesionales, Científicos e Intelectuales","Cerro Navia",44265,86423,378250,250000,396896,197550,338579,455418,2346904,263107,475358,837856
"122","Hombre","Técnicos y Profesionales de Nivel Medio","Cerro Navia",68685,56084,150818,283557,364452,247635,266807,299175,413777,457020,427409,426444
"123","Hombre","Trabajadores Agropecuarios y Pesqueros","Cerro Navia",60585,33660,83980,107957,200800,164755,216437,234742,244608,295883,280000,10000
"124","Hombre","Trabajadores de Artes Mecánicas y Otros","Cerro Navia",55361,100555,134549,162812,182290,180962,197641,216156,333243,236109,339391,340788
"125","Hombre","Trabajadores de Servicios y Vendedores","Cerro Navia",73911,83581,103815,149396,210262,162109,181575,191899,297235,238456,209573,283343
"126","Hombre","Empleados de Oficina","Chañaral",35481,89917,110972,246612,140560,364633,228163,254520,341169,582946,550000,458571
"127","Hombre","Fuerzas Armadas","Chañaral",67551,79402,133875,NA,215860,NA,NA,NA,NA,601700,NA,NA
"128","Hombre","Operadores y Montadores de Instalaciones y Máquinas","Chañaral",84560,89066,120853,148426,169002,409100,250730,365343,311782,443629,495417,594846
"129","Hombre","Profesionales, Científicos e Intelectuales","Chañaral",278240,151887,152082,183000,301265,253000,264500,486820,484705,1121350,6e+05,1154667
"130","Hombre","Técnicos y Profesionales de Nivel Medio","Chañaral",83185,118030,126346,226900,259595,485000,354067,323200,508056,819477,470000,617517
"131","Hombre","Trabajadores Agropecuarios y Pesqueros","Chañaral",87179,51403,103360,148488,177304,142470,188567,209476,359023,373828,292500,164706
"132","Hombre","Trabajadores de Artes Mecánicas y Otros","Chañaral",62261,120617,101624,140423,183112,178952,213175,303845,374494,490530,326000,437564
"133","Hombre","Trabajadores de Servicios y Vendedores","Chañaral",79583,89836,156206,146402,183752,202924,159568,226559,372835,444115,309333,496786
"134","Hombre","Empleados de Oficina","Chillán",39644,96034,90714,128240,187413,209164,187137,420308,318214,263654,320621,355714
"135","Hombre","Fuerzas Armadas","Chillán",83802,NA,NA,NA,NA,NA,7e+05,NA,384476,492300,970422,425317
"136","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos","Chillán",99000,784504,304277,434258,690206,443184,574371,449604,44200,680754,552835,1344651
"137","Hombre","Operadores y Montadores de Instalaciones y Máquinas","Chillán",64829,139389,123003,124958,185417,147944,191009,189630,363759,295992,307188,354073
"138","Hombre","Profesionales, Científicos e Intelectuales","Chillán",68409,187641,287036,452052,277351,780927,667673,507524,576165,764111,920174,913500
"139","Hombre","Técnicos y Profesionales de Nivel Medio","Chillán",205598,135295,193677,376715,314594,268912,366415,213278,410200,605736,457824,526895
"140","Hombre","Trabajadores Agropecuarios y Pesqueros","Chillán",32725,59592,52766,161719,145175,286161,267559,122695,273081,222940,203786,248338
"141","Hombre","Trabajadores de Artes Mecánicas y Otros","Chillán",41373,71729,89981,136518,170742,163300,206155,225171,271630,329342,276933,321393
"142","Hombre","Trabajadores de Servicios y Vendedores","Chillán",51944,148359,82453,136033,160595,146888,186737,275001,292278,269178,337485,424837
"143","Hombre","Trabajadores No Calificados","Chillán",50639,67807,59764,82945,98717,94550,126062,116388,179980,214135,190127,224839
"144","Hombre","Empleados de Oficina","Chimbarongo",30680,95883,101745,160935,126689,238571,121250,232300,249730,328200,4e+05,467000
"145","Hombre","Fuerzas Armadas","Chimbarongo",101697,NA,160650,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos","Chimbarongo",242235,975101,694535,531180,429641,263010,364662,2049112,401982,1160510,3e+05,597378
"147","Hombre","Operadores y Montadores de Instalaciones y Máquinas","Chimbarongo",66742,86680,105811,100357,171123,123038,174804,182105,286903,329801,412571,368440
"148","Hombre","Profesionales, Científicos e Intelectuales","Chimbarongo",58192,97643,160650,2e+05,124831,210000,550000,454500,423583,382900,1038333,1850000
"149","Hombre","Técnicos y Profesionales de Nivel Medio","Chimbarongo",79082,104618,289170,103073,140560,121408,397024,303000,442000,NA,437500,698380
"150","Hombre","Trabajadores Agropecuarios y Pesqueros","Chimbarongo",45323,88766,76050,119826,177512,148778,175806,197669,301046,208867,253636,262857
"151","Hombre","Trabajadores de Artes Mecánicas y Otros","Chimbarongo",43444,73333,70374,118331,148774,160272,286949,142939,348321,375342,225714,241454
"152","Hombre","Trabajadores de Servicios y Vendedores","Chimbarongo",52060,124138,125625,98750,126263,121123,111429,203061,268764,366809,301529,312781
"153","Hombre","Empleados de Oficina","Chonchi",27169,68495,74970,NA,NA,170000,274074,202000,563550,218800,230000,278409
"154","Hombre","Fuerzas Armadas","Chonchi",84560,NA,NA,NA,NA,NA,230000,NA,NA,NA,75000,750000
"155","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos","Chonchi",396000,NA,143735,NA,NA,414806,714829,482885,860912,404307,396667,1087816
"156","Hombre","Profesionales, Científicos e Intelectuales","Chonchi",74406,NA,NA,NA,NA,3195500,575000,606000,NA,427754,6e+05,772407
"157","Hombre","Técnicos y Profesionales de Nivel Medio","Chonchi",45540,166315,NA,NA,NA,431208,309242,462178,516701,251620,450667,NA
"158","Hombre","Trabajadores Agropecuarios y Pesqueros","Chonchi",36789,75823,68352,NA,NA,92100,154848,173686,257671,189520,190625,230423
"159","Hombre","Trabajadores de Artes Mecánicas y Otros","Chonchi",35860,53087,81321,NA,NA,128394,166843,197299,261213,262041,199579,248453
"160","Hombre","Trabajadores de Servicios y Vendedores","Chonchi",71404,57227,NA,NA,NA,279575,175640,288096,451314,421190,308889,288524
"161","Hombre","Fuerzas Armadas","Coihueco",89898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162","Hombre","Profesionales, Científicos e Intelectuales","Coihueco",184427,107300,177630,210000,50200,338000,396400,NA,674050,426660,1e+07,851000
"163","Hombre","Técnicos y Profesionales de Nivel Medio","Coihueco",47850,195700,113526,129500,266450,NA,2e+05,99900,243100,294286,9e+05,415000
"164","Hombre","Trabajadores Agropecuarios y Pesqueros","Coihueco",23873,92558,60805,165045,56845,102785,161542,171810,316166,194358,214071,182000
"165","Hombre","Trabajadores de Artes Mecánicas y Otros","Coihueco",35954,62899,53525,52736,102713,128348,136313,175125,206038,217538,259709,334444
"166","Hombre","Trabajadores de Servicios y Vendedores","Coihueco",32693,97266,83721,239333,103387,105000,107500,146254,290364,202254,204000,263333
"167","Hombre","Empleados de Oficina","Colina",57526,129833,128118,124857,179421,191070,203720,271930,350443,313978,283889,373750
"168","Hombre","Fuerzas Armadas","Colina",92110,96570,NA,181304,197788,345284,320000,202000,552500,NA,NA,625000
"169","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos","Colina",851400,134533,249645,471685,1920987,558332,2075012,2790510,NA,759980,120000,890005
"170","Hombre","Operadores y Montadores de Instalaciones y Máquinas","Colina",75500,138084,144335,170767,166126,174242,258740,229580,359517,372843,326111,371652
"171","Hombre","Profesionales, Científicos e Intelectuales","Colina",79665,74395,NA,455500,2166400,891684,1283274,1719768,783518,904894,2e+05,570000
"172","Hombre","Técnicos y Profesionales de Nivel Medio","Colina",81247,86752,188624,172420,556019,215000,586527,318870,335919,695376,532500,529417
"173","Hombre","Trabajadores Agropecuarios y Pesqueros","Colina",39330,171222,106364,128886,147046,357987,253977,233162,365736,353291,202000,293951
"174","Hombre","Trabajadores de Artes Mecánicas y Otros","Colina",54786,104321,137114,154462,195983,186094,217043,382481,324112,383500,334762,410778
"175","Hombre","Trabajadores de Servicios y Vendedores","Colina",52271,87240,105504,129229,146708,179382,227178,215862,324180,397263,196909,268572
"176","Hombre","Empleados de Oficina","Collipulli",38656,NA,NA,75000,94728,NA,165000,NA,NA,NA,NA,366600
"177","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos","Collipulli",29700,391400,NA,503940,481040,243932,592800,454480,NA,188100,457500,866783
"178","Hombre","Profesionales, Científicos e Intelectuales","Collipulli",37426,128760,134946,397527,230920,494333,209400,616451,580936,656400,3e+06,704286
"179","Hombre","Técnicos y Profesionales de Nivel Medio","Collipulli",99000,NA,NA,235417,388966,279775,178150,325220,375700,1945036,6e+05,549867
"180","Hombre","Trabajadores Agropecuarios y Pesqueros","Collipulli",27295,102482,55604,88147,159549,81842,86362,172650,531105,208279,185040,251595
"181","Hombre","Trabajadores de Artes Mecánicas y Otros","Collipulli",52770,NA,NA,213658,137549,141631,124629,208665,469239,370722,278000,315667
"182","Hombre","Trabajadores de Servicios y Vendedores","Collipulli",36240,112793,91570,80971,218433,132760,185889,270306,318012,212503,238333,301232
"183","Hombre","Fuerzas Armadas","Combarbalá",221064,NA,160650,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos","Combarbalá",65340,NA,338912,190000,271242,223685,237998,1320956,332475,287560,1e+05,NA
"185","Hombre","Profesionales, Científicos e Intelectuales","Combarbalá",32555,42920,212594,273000,271532,318333,559314,646400,629850,601700,837500,733333
"186","Hombre","Técnicos y Profesionales de Nivel Medio","Combarbalá",59400,78329,97189,290000,105420,134560,204766,606000,353600,201543,315000,255000
"187","Hombre","Trabajadores Agropecuarios y Pesqueros","Combarbalá",29704,106701,54669,243117,85909,101707,117693,148487,152271,202195,NA,196667
"188","Hombre","Trabajadores de Artes Mecánicas y Otros","Combarbalá",24590,67060,66517,133500,138302,143536,155030,238446,287503,517906,353344,182143
"189","Hombre","Trabajadores de Servicios y Vendedores","Combarbalá",45168,43521,90910,184064,NA,97919,143429,134318,407364,237369,170934,430570
"190","Hombre","Empleados de Oficina","Concepción",44850,131132,162420,252775,315680,248753,259267,239976,413506,238054,398267,437276
"191","Hombre","Fuerzas Armadas","Concepción",122186,176274,195046,155000,180720,140000,355776,360233,NA,793150,750000,1366667
"192","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos","Concepción",572558,882257,555247,1099627,784084,440854,798587,1687883,971084,1606473,692855,480081
"193","Hombre","Operadores y Montadores de Instalaciones y Máquinas","Concepción",84560,102972,149352,118663,242664,164470,204704,223831,319002,313489,402145,386470
"194","Hombre","Profesionales, Científicos e Intelectuales","Concepción",158415,291306,415450,593555,537469,652544,821317,707254,928485,1528897,907874,1034962
"195","Hombre","Técnicos y Profesionales de Nivel Medio","Concepción",152830,141053,239981,463988,601432,631528,351423,386550,372462,611231,456230,594327
"196","Hombre","Trabajadores Agropecuarios y Pesqueros","Concepción",37029,93351,63084,73682,234600,141769,185240,600822,281715,214706,199218,243997
"197","Hombre","Trabajadores de Artes Mecánicas y Otros","Concepción",55960,98004,105138,144957,192326,175108,209863,237151,254749,323273,320338,364759
"198","Hombre","Trabajadores de Servicios y Vendedores","Concepción",75738,133570,106516,263668,282944,171496,153379,255382,311801,210278,302833,316305
"199","Hombre","Trabajadores No Calificados","Concepción",39864,58917,66880,78429,92766,110423,126763,166189,199840,217570,226643,298630
"200","Hombre","Empleados de Oficina","Conchalí",51519,80632,180444,176017,190212,304533,231955,264030,365329,362739,334500,406799
"201","Hombre","Fuerzas Armadas","Conchalí",109212,160950,189299,162500,220880,269482,273325,242400,325975,495641,NA,568750
