"","sexo","oficio","comuna","1990","1992","1994","1996","1998","2000","2003","2006","2009","2011","2013","2015"
"119","Hombre","Empleados de Oficina","Cerro Navia",42280,64380,103887,150000,152194,150000,150000,171700,273910,218800,315000,350000
"120","Hombre","Fuerzas Armadas","Cerro Navia",54360,85840,NA,130000,NA,NA,NA,404000,NA,NA,NA,NA
"121","Hombre","Profesionales, Científicos e Intelectuales","Cerro Navia",39864,64380,378250,250000,375042,160000,3e+05,455035,2346904,208954,551443,775000
"122","Hombre","Técnicos y Profesionales de Nivel Medio","Cerro Navia",50292,50968,124780,192580,291160,209214,224000,262600,295455,289910,380636,390000
"123","Hombre","Trabajadores Agropecuarios y Pesqueros","Cerro Navia",48320,33660,83980,80000,200800,151060,158080,237120,244608,199108,215000,10000
"124","Hombre","Trabajadores de Artes Mecánicas y Otros","Cerro Navia",42425,82313,107100,140000,160357,150000,170000,202000,268912,218800,3e+05,3e+05
"125","Hombre","Trabajadores de Servicios y Vendedores","Cerro Navia",66440,78280,88230,110000,163851,140000,140000,181800,224863,218800,250000,255000
"126","Hombre","Empleados de Oficina","Chañaral",33824,69208,69615,243225,140560,336950,2e+05,242400,292825,382900,550000,375000
"127","Hombre","Fuerzas Armadas","Chañaral",72480,79402,107100,NA,215860,NA,NA,NA,NA,601700,NA,NA
"128","Hombre","Operadores y Montadores de Instalaciones y Máquinas","Chañaral",84560,70282,121040,141505,156400,234560,2e+05,313100,292825,413260,462500,5e+05
"129","Hombre","Profesionales, Científicos e Intelectuales","Chañaral",118800,98180,137624,160000,351400,220000,294000,479640,416910,929900,5e+05,8e+05
"130","Hombre","Técnicos y Profesionales de Nivel Medio","Chañaral",84150,125541,107100,210000,190760,485000,309500,318150,325975,754860,5e+05,450000
"131","Hombre","Trabajadores Agropecuarios y Pesqueros","Chañaral",59400,58710,90780,112365,151512,127820,158080,158080,377001,373828,280000,150000
"132","Hombre","Trabajadores de Artes Mecánicas y Otros","Chañaral",51224,75110,85680,119000,180720,164340,188396,229660,331500,437600,3e+05,4e+05
"133","Hombre","Trabajadores de Servicios y Vendedores","Chañaral",59900,66526,101745,150000,175700,182600,126500,232300,246480,364302,205000,335000
"134","Hombre","Empleados de Oficina","Chillán",36240,85840,85680,110000,150600,2e+05,120000,190250,276250,262560,250000,350000
"135","Hombre","Fuerzas Armadas","Chillán",71272,NA,NA,NA,NA,NA,7e+05,NA,384476,492300,970422,425000
"136","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos","Chillán",99000,258056,204255,230000,391000,547800,592800,247000,44200,513500,450000,655570
"137","Hombre","Operadores y Montadores de Instalaciones y Máquinas","Chillán",78520,96570,74970,1e+05,150600,130000,150000,145886,298350,208954,250000,3e+05
"138","Hombre","Profesionales, Científicos e Intelectuales","Chillán",36240,155585,186354,3e+05,225900,320000,465000,366550,542638,513086,8e+05,735000
"139","Hombre","Técnicos y Profesionales de Nivel Medio","Chillán",60400,89864,160650,2e+05,301200,240000,335920,151500,401627,451550,4e+05,417033
"140","Hombre","Trabajadores Agropecuarios y Pesqueros","Chillán",31408,42920,47282,81720,81770,175206,138320,125940,287560,209365,180000,226000
"141","Hombre","Trabajadores de Artes Mecánicas y Otros","Chillán",33940,52040,64660,101075,150600,110000,120000,152207,221000,240496,210000,250000
"142","Hombre","Trabajadores de Servicios y Vendedores","Chillán",36240,107300,64260,128222,120480,120000,140000,181800,186192,202390,218000,274436
