"","sex","geography_name","geography_id","year","lb_weighted_median"
"232","Hombre","Quillota","p55",2014,301975
"233","Hombre","Quillota","p55",2015,281576
"234","Hombre","Ranco","p142",2010,172000
"235","Hombre","Ranco","p142",2011,170167
"236","Hombre","Ranco","p142",2012,201124
"237","Hombre","Ranco","p142",2013,213052
"238","Hombre","Ranco","p142",2014,220176
"239","Hombre","Ranco","p142",2015,240065
"240","Hombre","San Antonio","p56",2010,199988
"241","Hombre","San Antonio","p56",2011,220864
"242","Hombre","San Antonio","p56",2012,240404
"243","Hombre","San Antonio","p56",2013,259930
"244","Hombre","San Antonio","p56",2014,272375
"245","Hombre","San Antonio","p56",2015,319192
"246","Hombre","San Felipe","p57",2010,200000
"247","Hombre","San Felipe","p57",2011,237952
"248","Hombre","San Felipe","p57",2012,257218
"249","Hombre","San Felipe","p57",2013,299180
"250","Hombre","San Felipe","p57",2014,304638
"251","Hombre","San Felipe","p57",2015,300839
"252","Hombre","Santiago","p131",2010,299795
"253","Hombre","Santiago","p131",2011,301450
"254","Hombre","Santiago","p131",2012,351967
"255","Hombre","Santiago","p131",2013,400000
"256","Hombre","Santiago","p131",2014,399925
"257","Hombre","Santiago","p131",2015,401630
"258","Hombre","Talagante","p136",2010,200000
"259","Hombre","Talagante","p136",2011,233121
"260","Hombre","Talagante","p136",2012,267712
"261","Hombre","Talagante","p136",2013,289578
"262","Hombre","Talagante","p136",2014,321553
"263","Hombre","Talagante","p136",2015,349871
"264","Hombre","Talca","p71",2010,199863
"265","Hombre","Talca","p71",2011,199453
"266","Hombre","Talca","p71",2012,232594
"267","Hombre","Talca","p71",2013,258255
"268","Hombre","Talca","p71",2014,281345
"269","Hombre","Talca","p71",2015,291589
"270","Hombre","Tamarugal","p12",2010,130000
"271","Hombre","Tamarugal","p12",2011,150725
"272","Hombre","Tamarugal","p12",2012,240988
"273","Hombre","Tamarugal","p12",2013,268690
"274","Hombre","Tamarugal","p12",2014,280401
"275","Hombre","Tamarugal","p12",2015,312260
"276","Hombre","Tierra del Fuego","p123",2010,300000
"277","Hombre","Tierra del Fuego","p123",2011,223200
"278","Hombre","Tierra del Fuego","p123",2012,290000
"279","Hombre","Tierra del Fuego","p123",2013,533250
"280","Hombre","Tierra del Fuego","p123",2014,399153
"281","Hombre","Tierra del Fuego","p123",2015,350000
"282","Hombre","Tocopilla","p23",2010,353285
"283","Hombre","Tocopilla","p23",2011,267106
"284","Hombre","Tocopilla","p23",2012,360699
"285","Hombre","Tocopilla","p23",2013,343468
"286","Hombre","Tocopilla","p23",2014,354632
"287","Hombre","Tocopilla","p23",2015,300623
"288","Hombre","Última Esperanza","p124",2010,220215
"289","Hombre","Última Esperanza","p124",2011,200456
"290","Hombre","Última Esperanza","p124",2012,300000
"291","Hombre","Última Esperanza","p124",2013,298600
"292","Hombre","Última Esperanza","p124",2014,313503
"293","Hombre","Última Esperanza","p124",2015,386332
"294","Hombre","Valdivia","p141",2010,184597
"295","Hombre","Valdivia","p141",2011,210856
"296","Hombre","Valdivia","p141",2012,239785
"297","Hombre","Valdivia","p141",2013,250355
"298","Hombre","Valdivia","p141",2014,297008
"299","Hombre","Valdivia","p141",2015,301222
"300","Hombre","Valparaíso","p51",2010,219850
"301","Hombre","Valparaíso","p51",2011,279105
"302","Hombre","Valparaíso","p51",2012,280600
"303","Hombre","Valparaíso","p51",2013,350000
"304","Hombre","Valparaíso","p51",2014,399944
"305","Hombre","Valparaíso","p51",2015,393752
"306","Hombre",NA,NA,2010,100098
"307","Hombre",NA,NA,2011,180642
