"","geography_level","geography_name","geography_id","sex","isco","year","weighted_mean","weighted_median","ci_weighted_mean","ci_weighted_median"
"125","comuna","Cañete","28","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2011,144816.796961707,89880.6530603266,"[110681, 191555]","[65067, 126639]"
"126","comuna","Cañete","28","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2012,311809.061318193,150777.258687224,"[147907, 659481]","[100451, 180487]"
"127","comuna","Cañete","28","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2013,240257.814591334,116125.233028516,"[112615, 496365]","[90000, 154883]"
"128","comuna","Cañete","28","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2014,131427.133003034,83956.3925206355,"[105357, 157602]","[62306, 148779]"
"129","comuna","Cañete","28","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2015,245933.168500528,153961.437994664,"[146026, 398712]","[100011, 222759]"
"130","comuna","Carahue","29","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2010,119008.679196898,80000,"[88442, 155824]","[60735, 107575]"
"131","comuna","Carahue","29","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2011,89543.6797745528,64426.8520805204,"[67334, 125131]","[52516, 87244]"
"132","comuna","Carahue","29","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2012,109149.49678706,82158.471263559,"[83144, 151674]","[63883, 100459]"
"133","comuna","Carahue","29","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2013,112594.871803589,74474.3189377318,"[74250, 149547]","[42034, 114985]"
"134","comuna","Carahue","29","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2014,129433.220641051,101858.689832986,"[97396, 168656]","[62957, 153390]"
"135","comuna","Carahue","29","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2015,130287.040349607,88703.1313368678,"[95426, 171791]","[51347, 187566]"
"136","comuna","Cartagena","30","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2010,101087.531160214,88665.9203187181,"[39134, 180732]","[27983, 212613]"
"137","comuna","Casablanca","31","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2014,262709.87303392,262709.87303392,"[262710, 262710]","[262710, 262710]"
"138","comuna","Castro","32","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2010,147136.015907469,89775.5568574784,"[100528, 213904]","[74545, 200196]"
"139","comuna","Castro","32","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2011,183034.019601776,158725.796067049,"[118833, 245326]","[80062, 311505]"
"140","comuna","Castro","32","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2012,112442.498881944,77860.3565428269,"[77210, 160584]","[41766, 200765]"
