"","geography_level","geography_name","geography_id","sex","isco","year","weighted_mean","weighted_median","ci_weighted_mean","ci_weighted_median"
"98","region","Antofagasta",2,"Hombre","Empleados de oficina",2014,580139.672694223,500000,"[478527, 725491]","[433132, 672941]"
"99","region","Antofagasta",2,"Hombre","Empleados de oficina",2015,575584.557389644,502037.30532416,"[455432, 696950]","[369464, 627023]"
"100","region","Araucanía",9,"Hombre","Empleados de oficina",2010,286254.60859897,230992.581563494,"[218008, 367667]","[189014, 256918]"
"101","region","Araucanía",9,"Hombre","Empleados de oficina",2011,375495.123168611,300000,"[278567, 465788]","[206051, 357014]"
"102","region","Araucanía",9,"Hombre","Empleados de oficina",2012,388379.546444975,363572.781205051,"[330697, 489149]","[264348, 442058]"
"103","region","Araucanía",9,"Hombre","Empleados de oficina",2013,349875.705721522,292042.267905353,"[293962, 430694]","[237977, 368548]"
"104","region","Araucanía",9,"Hombre","Empleados de oficina",2014,369020.048662887,351336.044574659,"[312045, 437476]","[239955, 486179]"
"105","region","Araucanía",9,"Hombre","Empleados de oficina",2015,381297.566051115,316371.457259108,"[313301, 472045]","[261071, 397951]"
"106","region","Arica y Parinacota",15,"Hombre","Empleados de oficina",2010,385058.521255431,353266.16379945,"[301873, 483860]","[237054, 409755]"
"107","region","Arica y Parinacota",15,"Hombre","Empleados de oficina",2011,337069.698446416,342849.571690231,"[287048, 382149]","[249201, 398721]"
"108","region","Arica y Parinacota",15,"Hombre","Empleados de oficina",2012,316321.4441382,301686.325101363,"[274242, 375148]","[280000, 353714]"
"109","region","Arica y Parinacota",15,"Hombre","Empleados de oficina",2013,482927.757745571,420271.056150665,"[396053, 591412]","[368965, 498112]"
"110","region","Arica y Parinacota",15,"Hombre","Empleados de oficina",2014,444838.151948346,346908.924690077,"[350160, 594658]","[299968, 459742]"
"111","region","Arica y Parinacota",15,"Hombre","Empleados de oficina",2015,504188.643116247,400857.778837424,"[409669, 655576]","[360137, 500135]"
"112","region","Atacama",3,"Hombre","Empleados de oficina",2010,348887.572717149,334903.301708479,"[268124, 448528]","[236101, 382374]"
"113","region","Atacama",3,"Hombre","Empleados de oficina",2011,433682.248808559,335519.969129896,"[348367, 586075]","[296202, 420880]"
"114","region","Atacama",3,"Hombre","Empleados de oficina",2012,506845.174106293,468108.759472841,"[410948, 717219]","[404109, 536540]"
"115","region","Atacama",3,"Hombre","Empleados de oficina",2013,491047.981261957,431848.517916998,"[392917, 610076]","[299765, 597734]"
"116","region","Atacama",3,"Hombre","Empleados de oficina",2014,445777.748877834,381844.69243008,"[342194, 553556]","[293961, 520321]"
"117","region","Atacama",3,"Hombre","Empleados de oficina",2015,646544.748667953,424763.241049746,"[475104, 952660]","[356262, 592853]"
"118","region","Aysén",11,"Hombre","Empleados de oficina",2010,473700.267208337,361326.096959389,"[379119, 603321]","[277224, 499730]"
"119","region","Aysén",11,"Hombre","Empleados de oficina",2011,415323.997619291,421905.387235408,"[334635, 482645]","[254503, 485440]"
"120","region","Aysén",11,"Hombre","Empleados de oficina",2012,497320.249042413,500000,"[420540, 584106]","[340784, 600000]"
"121","region","Aysén",11,"Hombre","Empleados de oficina",2013,478834.108699891,446119.368684762,"[394761, 594196]","[261409, 540643]"
"122","region","Aysén",11,"Hombre","Empleados de oficina",2014,567174.11801635,568749.647692215,"[466661, 684014]","[350065, 617418]"
"123","region","Aysén",11,"Hombre","Empleados de oficina",2015,624964.765213271,500000,"[446392, 795094]","[351426, 629105]"
"124","region","Bíobío",8,"Hombre","Empleados de oficina",2010,360423.731295882,301029.550281039,"[313260, 425901]","[240235, 341751]"
"125","region","Bíobío",8,"Hombre","Empleados de oficina",2011,320902.19730996,291401.630022744,"[280479, 362244]","[251208, 335739]"
