"","sex","work_day","geography_name","geography_id","year","weighted_median"
"235","Hombre","Completa","Ranco","p142",2011,199414.907886082
"236","Hombre","Completa","Ranco","p142",2012,261070.748229052
"237","Hombre","Completa","Ranco","p142",2013,253458.488048422
"238","Hombre","Completa","Ranco","p142",2014,242493.000095562
"239","Hombre","Completa","Ranco","p142",2015,301083.314228084
"240","Hombre","Completa","San Antonio","p56",2010,220000
"241","Hombre","Completa","San Antonio","p56",2011,250000
"242","Hombre","Completa","San Antonio","p56",2012,278177.361760061
"243","Hombre","Completa","San Antonio","p56",2013,312967.48133162
"244","Hombre","Completa","San Antonio","p56",2014,313377.419563237
"245","Hombre","Completa","San Antonio","p56",2015,361466.859833395
"246","Hombre","Completa","San Felipe","p57",2010,212053.034802403
"247","Hombre","Completa","San Felipe","p57",2011,251208.301743745
"248","Hombre","Completa","San Felipe","p57",2012,301353.092783505
"249","Hombre","Completa","San Felipe","p57",2013,320000
"250","Hombre","Completa","San Felipe","p57",2014,353393.861877855
"251","Hombre","Completa","San Felipe","p57",2015,351065.53695413
"252","Hombre","Completa","Santiago","p131",2010,302295.556860442
"253","Hombre","Completa","Santiago","p131",2011,349139.792265881
"254","Hombre","Completa","Santiago","p131",2012,400000
"255","Hombre","Completa","Santiago","p131",2013,443319.546844093
"256","Hombre","Completa","Santiago","p131",2014,404169.0354368
"257","Hombre","Completa","Santiago","p131",2015,450064.694019919
"258","Hombre","Completa","Talagante","p136",2010,219940.094092955
"259","Hombre","Completa","Talagante","p136",2011,261512.940860111
"260","Hombre","Completa","Talagante","p136",2012,291535.773154411
"261","Hombre","Completa","Talagante","p136",2013,320617.099848898
"262","Hombre","Completa","Talagante","p136",2014,355073.408993805
"263","Hombre","Completa","Talagante","p136",2015,369623.771881777
"264","Hombre","Completa","Talca","p71",2010,210003.547695702
"265","Hombre","Completa","Talca","p71",2011,229264.830309298
"266","Hombre","Completa","Talca","p71",2012,260000
"267","Hombre","Completa","Talca","p71",2013,300000
"268","Hombre","Completa","Talca","p71",2014,308092.994511948
"269","Hombre","Completa","Talca","p71",2015,300081.183474654
"270","Hombre","Completa","Tamarugal","p12",2010,220284.272275745
"271","Hombre","Completa","Tamarugal","p12",2011,218569.104794943
"272","Hombre","Completa","Tamarugal","p12",2012,301686.325101363
"273","Hombre","Completa","Tamarugal","p12",2013,313797.179986353
"274","Hombre","Completa","Tamarugal","p12",2014,364254.992678425
"275","Hombre","Completa","Tamarugal","p12",2015,401607.951769653
"276","Hombre","Completa","Tierra del Fuego","p123",2010,396554.371002132
"277","Hombre","Completa","Tierra del Fuego","p123",2011,300000
"278","Hombre","Completa","Tierra del Fuego","p123",2012,400000
"279","Hombre","Completa","Tierra del Fuego","p123",2013,800000
"280","Hombre","Completa","Tierra del Fuego","p123",2014,612910.33935118
"281","Hombre","Completa","Tierra del Fuego","p123",2015,369939.442722792
"282","Hombre","Completa","Tocopilla","p23",2010,400000
"283","Hombre","Completa","Tocopilla","p23",2011,400215.873015873
"284","Hombre","Completa","Tocopilla","p23",2012,472847.368421053
"285","Hombre","Completa","Tocopilla","p23",2013,428352.341372136
"286","Hombre","Completa","Tocopilla","p23",2014,526580.039949477
