"","sex","company_size","geography_name","geography_id","year","weighted_mean"
"867","Hombre","Entre 11 y 49","Talca","p71",2014,370064.694994224
"868","Hombre","Entre 11 y 49","Talca","p71",2015,438061.328585256
"869","Hombre","Entre 11 y 49","Tamarugal","p12",2010,355625.570080718
"870","Hombre","Entre 11 y 49","Tamarugal","p12",2011,386740.016978986
"871","Hombre","Entre 11 y 49","Tamarugal","p12",2012,383255.720940157
"872","Hombre","Entre 11 y 49","Tamarugal","p12",2013,353135.887119538
"873","Hombre","Entre 11 y 49","Tamarugal","p12",2014,439319.724270721
"874","Hombre","Entre 11 y 49","Tamarugal","p12",2015,377046.081295509
"875","Hombre","Entre 11 y 49","Tierra del Fuego","p123",2010,415000
"876","Hombre","Entre 11 y 49","Tierra del Fuego","p123",2011,332500
"877","Hombre","Entre 11 y 49","Tierra del Fuego","p123",2012,368000
"878","Hombre","Entre 11 y 49","Tierra del Fuego","p123",2013,862500
"879","Hombre","Entre 11 y 49","Tierra del Fuego","p123",2014,1236000
"880","Hombre","Entre 11 y 49","Tierra del Fuego","p123",2015,400000
"881","Hombre","Entre 11 y 49","Tocopilla","p23",2010,431898.144777935
"882","Hombre","Entre 11 y 49","Tocopilla","p23",2011,522907.201346567
"883","Hombre","Entre 11 y 49","Tocopilla","p23",2012,335063.345619946
"884","Hombre","Entre 11 y 49","Tocopilla","p23",2013,1020419.19346277
"885","Hombre","Entre 11 y 49","Tocopilla","p23",2014,1799712.46952935
"886","Hombre","Entre 11 y 49","Última Esperanza","p124",2010,393079.861258328
"887","Hombre","Entre 11 y 49","Última Esperanza","p124",2011,262964.589937294
"888","Hombre","Entre 11 y 49","Última Esperanza","p124",2012,300674.696084084
"889","Hombre","Entre 11 y 49","Última Esperanza","p124",2013,436198.197552102
"890","Hombre","Entre 11 y 49","Última Esperanza","p124",2014,493039.477226235
"891","Hombre","Entre 11 y 49","Última Esperanza","p124",2015,1510253.94738276
"892","Hombre","Entre 11 y 49","Valdivia","p141",2010,329321.095894081
"893","Hombre","Entre 11 y 49","Valdivia","p141",2011,331234.039610174
"894","Hombre","Entre 11 y 49","Valdivia","p141",2012,381240.835715642
"895","Hombre","Entre 11 y 49","Valdivia","p141",2013,372203.146478246
"896","Hombre","Entre 11 y 49","Valdivia","p141",2014,397347.243243772
"897","Hombre","Entre 11 y 49","Valdivia","p141",2015,417979.721223919
"898","Hombre","Entre 11 y 49","Valparaíso","p51",2010,285490.304061909
"899","Hombre","Entre 11 y 49","Valparaíso","p51",2011,403990.957987113
"900","Hombre","Entre 11 y 49","Valparaíso","p51",2012,575340.365730112
"901","Hombre","Entre 11 y 49","Valparaíso","p51",2013,500107.239014816
"902","Hombre","Entre 11 y 49","Valparaíso","p51",2014,561182.572605523
"903","Hombre","Entre 11 y 49","Valparaíso","p51",2015,586769.655717812
"904","Hombre","Entre 11 y 49",NA,NA,2010,373778.033964978
"905","Hombre","Entre 11 y 49",NA,NA,2011,255265.233735585
"906","Hombre","Entre 11 y 49",NA,NA,2012,336752.108307384
"907","Hombre","Entre 50 y 199","Antofagasta","p21",2010,629563.051670958
"908","Hombre","Entre 50 y 199","Antofagasta","p21",2011,600246.529846499
"909","Hombre","Entre 50 y 199","Antofagasta","p21",2012,514078.728675681
"910","Hombre","Entre 50 y 199","Antofagasta","p21",2013,738277.996601363
"911","Hombre","Entre 50 y 199","Antofagasta","p21",2014,646475.287219474
"912","Hombre","Entre 50 y 199","Antofagasta","p21",2015,778606.353526984
"913","Hombre","Entre 50 y 199","Arauco","p82",2010,301984.366944407
"914","Hombre","Entre 50 y 199","Arauco","p82",2011,306344.394356063
"915","Hombre","Entre 50 y 199","Arauco","p82",2012,288777.30914199
"916","Hombre","Entre 50 y 199","Arauco","p82",2013,343243.250062599
"917","Hombre","Entre 50 y 199","Arauco","p82",2014,322098.850969985
"918","Hombre","Entre 50 y 199","Arauco","p82",2015,402901.080738028
"919","Hombre","Entre 50 y 199","Arica","p151",2010,367246.685757147
"920","Hombre","Entre 50 y 199","Arica","p151",2011,287645.18065459
"921","Hombre","Entre 50 y 199","Arica","p151",2012,469036.005523088
"922","Hombre","Entre 50 y 199","Arica","p151",2013,424420.436390376
"923","Hombre","Entre 50 y 199","Arica","p151",2014,475185.876379284
"924","Hombre","Entre 50 y 199","Arica","p151",2015,513567.803836091
"925","Hombre","Entre 50 y 199","Aysén","p112",2010,338910.121953366
"926","Hombre","Entre 50 y 199","Aysén","p112",2011,560764.982721307
"927","Hombre","Entre 50 y 199","Aysén","p112",2012,568669.338410728
"928","Hombre","Entre 50 y 199","Aysén","p112",2013,417301.526336973
"929","Hombre","Entre 50 y 199","Aysén","p112",2014,515568.66899772
"930","Hombre","Entre 50 y 199","Aysén","p112",2015,557392.540522627
"931","Hombre","Entre 50 y 199","Bíobío","p83",2010,342438.457677083
"932","Hombre","Entre 50 y 199","Bíobío","p83",2011,363234.752311152
"933","Hombre","Entre 50 y 199","Bíobío","p83",2012,394862.458522532
"934","Hombre","Entre 50 y 199","Bíobío","p83",2013,416969.482663208
"935","Hombre","Entre 50 y 199","Bíobío","p83",2014,394260.485244293
"936","Hombre","Entre 50 y 199","Bíobío","p83",2015,495504.035264251
"937","Hombre","Entre 50 y 199","Cachapoal","p61",2010,310457.812380403
"938","Hombre","Entre 50 y 199","Cachapoal","p61",2011,358854.706121393
"939","Hombre","Entre 50 y 199","Cachapoal","p61",2012,338672.380222744
"940","Hombre","Entre 50 y 199","Cachapoal","p61",2013,414720.836071884
"941","Hombre","Entre 50 y 199","Cachapoal","p61",2014,567715.635866688
"942","Hombre","Entre 50 y 199","Cachapoal","p61",2015,519438.495538295
"943","Hombre","Entre 50 y 199","Capitán Prat","p113",2010,750733.9988256
"944","Hombre","Entre 50 y 199","Capitán Prat","p113",2011,524318.698881263
"945","Hombre","Entre 50 y 199","Cardenal Caro","p62",2010,311259.954207297
"946","Hombre","Entre 50 y 199","Cardenal Caro","p62",2011,262149.122153273
"947","Hombre","Entre 50 y 199","Cardenal Caro","p62",2012,368414.306407458
"948","Hombre","Entre 50 y 199","Cardenal Caro","p62",2013,371999.791823141
"949","Hombre","Entre 50 y 199","Cardenal Caro","p62",2014,360665.306337001
"950","Hombre","Entre 50 y 199","Cardenal Caro","p62",2015,441885.497656395
"951","Hombre","Entre 50 y 199","Cauquenes","p72",2010,241315.144091187
"952","Hombre","Entre 50 y 199","Cauquenes","p72",2011,296067.268766111
"953","Hombre","Entre 50 y 199","Cauquenes","p72",2012,231730.691915962
"954","Hombre","Entre 50 y 199","Cauquenes","p72",2013,280567.338636376
"955","Hombre","Entre 50 y 199","Cauquenes","p72",2014,401562.69483122
"956","Hombre","Entre 50 y 199","Cauquenes","p72",2015,362180.889649634
"957","Hombre","Entre 50 y 199","Cautín","p91",2010,399702.446646478
"958","Hombre","Entre 50 y 199","Cautín","p91",2011,364867.996551688
"959","Hombre","Entre 50 y 199","Cautín","p91",2012,408359.059112496
"960","Hombre","Entre 50 y 199","Cautín","p91",2013,407703.475797156
"961","Hombre","Entre 50 y 199","Cautín","p91",2014,398129.537205865
"962","Hombre","Entre 50 y 199","Cautín","p91",2015,468154.522870179
"963","Hombre","Entre 50 y 199","Chacabuco","p133",2010,568034.245247424
"964","Hombre","Entre 50 y 199","Chacabuco","p133",2011,612547.659779794
"965","Hombre","Entre 50 y 199","Chacabuco","p133",2012,1145131.01957161
"966","Hombre","Entre 50 y 199","Chacabuco","p133",2013,643080.207384629
"967","Hombre","Entre 50 y 199","Chacabuco","p133",2014,789494.251284857
"968","Hombre","Entre 50 y 199","Chacabuco","p133",2015,540537.199823755
"969","Hombre","Entre 50 y 199","Chañaral","p32",2010,359349.54304747
"970","Hombre","Entre 50 y 199","Chañaral","p32",2011,429689.942844898
"971","Hombre","Entre 50 y 199","Chañaral","p32",2012,428427.943647059
"972","Hombre","Entre 50 y 199","Chañaral","p32",2013,368498.870311795
"973","Hombre","Entre 50 y 199","Chañaral","p32",2014,365885.79995302
"974","Hombre","Entre 50 y 199","Chañaral","p32",2015,479825.429208197
"975","Hombre","Entre 50 y 199","Chiloé","p102",2010,259128.213772107
"976","Hombre","Entre 50 y 199","Chiloé","p102",2011,303306.808871881
"977","Hombre","Entre 50 y 199","Chiloé","p102",2012,525026.634638169
"978","Hombre","Entre 50 y 199","Chiloé","p102",2013,976274.40546667
"979","Hombre","Entre 50 y 199","Chiloé","p102",2014,395179.923890705
"980","Hombre","Entre 50 y 199","Chiloé","p102",2015,583047.690258371
"981","Hombre","Entre 50 y 199","Choapa","p42",2010,426665.261640258
"982","Hombre","Entre 50 y 199","Choapa","p42",2011,278270.48887551
"983","Hombre","Entre 50 y 199","Choapa","p42",2012,360715.196389934
"984","Hombre","Entre 50 y 199","Choapa","p42",2013,519938.323873767
"985","Hombre","Entre 50 y 199","Choapa","p42",2014,396659.688367797
"986","Hombre","Entre 50 y 199","Choapa","p42",2015,463424.292032796
"987","Hombre","Entre 50 y 199","Colchagua","p63",2010,235700.427393307
"988","Hombre","Entre 50 y 199","Colchagua","p63",2011,245581.232471889
"989","Hombre","Entre 50 y 199","Colchagua","p63",2012,338197.639244622
"990","Hombre","Entre 50 y 199","Colchagua","p63",2013,372763.785904691
"991","Hombre","Entre 50 y 199","Colchagua","p63",2014,328448.400424166
"992","Hombre","Entre 50 y 199","Colchagua","p63",2015,346148.365016105
"993","Hombre","Entre 50 y 199","Concepción","p81",2010,388134.610289544
"994","Hombre","Entre 50 y 199","Concepción","p81",2011,460434.265858301
"995","Hombre","Entre 50 y 199","Concepción","p81",2012,387534.636712188
"996","Hombre","Entre 50 y 199","Concepción","p81",2013,483880.720868848
"997","Hombre","Entre 50 y 199","Concepción","p81",2014,438560.552704584
"998","Hombre","Entre 50 y 199","Concepción","p81",2015,479407.470337126
"999","Hombre","Entre 50 y 199","Copiapó","p31",2010,533877.425257378
"1000","Hombre","Entre 50 y 199","Copiapó","p31",2011,419499.928677313
"1001","Hombre","Entre 50 y 199","Copiapó","p31",2012,384696.8192748
"1002","Hombre","Entre 50 y 199","Copiapó","p31",2013,464761.689117188
"1003","Hombre","Entre 50 y 199","Copiapó","p31",2014,767950.910797574
"1004","Hombre","Entre 50 y 199","Copiapó","p31",2015,738600.88921775
"1005","Hombre","Entre 50 y 199","Cordillera","p152",2010,384094.067982403
"1006","Hombre","Entre 50 y 199","Cordillera","p152",2011,384513.454419496
"1007","Hombre","Entre 50 y 199","Cordillera","p152",2012,445092.42770245
"1008","Hombre","Entre 50 y 199","Cordillera","p152",2013,407582.669433132
"1009","Hombre","Entre 50 y 199","Cordillera","p152",2014,444031.058102319
