"","geography_level","geography_name","geography_id","sex","work_day","year","weighted_mean","weighted_median","lb_weighted_mean","ub_weighted_mean","lb_weighted_median","ub_weighted_median","ci_weighted_mean","ci_weighted_median"
"105","provincia","Cordillera","p152","Hombre","Completa",2013,489443.865394915,372595.777941992,436596,538709,322341,400542,"[436596, 538709]","[322341, 400542]"
"106","provincia","Cordillera","p152","Hombre","Completa",2014,530158.408297989,401583.483280691,484938,590040,399925,449960,"[484938, 590040]","[399925, 449960]"
"107","provincia","Cordillera","p152","Hombre","Completa",2015,606041.957547831,492408.190629967,547634,666206,454344,512078,"[547634, 666206]","[454344, 512078]"
"108","provincia","Coyhaique","p111","Hombre","Completa",2010,486552.053541424,321370.542783822,437825,531626,279809,366176,"[437825, 531626]","[279809, 366176]"
"109","provincia","Coyhaique","p111","Hombre","Completa",2011,522811.096675197,343901.050241726,471505,581405,299239,401933,"[471505, 581405]","[299239, 401933]"
"110","provincia","Coyhaique","p111","Hombre","Completa",2012,514549.267121055,331854.957611499,446950,580930,300013,373648,"[446950, 580930]","[300013, 373648]"
"111","provincia","Coyhaique","p111","Hombre","Completa",2013,535441.751857782,350474.469046544,489953,597367,320434,391136,"[489953, 597367]","[320434, 391136]"
"112","provincia","Coyhaique","p111","Hombre","Completa",2014,606472.836031589,397340.110662082,542832,697740,350000,421565,"[542832, 697740]","[350000, 421565]"
"113","provincia","Coyhaique","p111","Hombre","Completa",2015,779213.216182651,500135.30579109,700690,894763,450000,600644,"[700690, 894763]","[450000, 600644]"
"114","provincia","Curicó","p73","Hombre","Completa",2010,329394.528856763,202202.572034132,298009,374463,199871,220015,"[298009, 374463]","[199871, 220015]"
"115","provincia","Curicó","p73","Hombre","Completa",2011,327808.342323425,200966.641394996,289959,391800,199664,217078,"[289959, 391800]","[199664, 217078]"
"116","provincia","Curicó","p73","Hombre","Completa",2012,343206.155176586,251127.577319588,315996,376534,232047,271381,"[315996, 376534]","[232047, 271381]"
"117","provincia","Curicó","p73","Hombre","Completa",2013,364039.214526938,285000,332985,400829,257456,300000,"[332985, 400829]","[257456, 300000]"
"118","provincia","Curicó","p73","Hombre","Completa",2014,393072.407640155,282227.609405179,354295,441961,269966,300000,"[354295, 441961]","[269966, 300000]"
"119","provincia","Curicó","p73","Hombre","Completa",2015,468278.788090435,334602.263701765,414385,540040,305560,350812,"[414385, 540040]","[305560, 350812]"
"120","provincia","El Loa","p22","Hombre","Completa",2010,718223.565002878,500000,621962,787901,449767,545308,"[621962, 787901]","[449767, 545308]"
"121","provincia","El Loa","p22","Hombre","Completa",2011,824325.342205897,520214.449751219,736418,923791,470908,625535,"[736418, 923791]","[470908, 625535]"
"122","provincia","El Loa","p22","Hombre","Completa",2012,828867.79102213,650000,742590,934914,602706,721929,"[742590, 934914]","[602706, 721929]"
