"","geography_level","geography_name","geography_id","sex","isco","year","weighted_mean","weighted_median","ci_weighted_mean","ci_weighted_median"
"91","provincia","Copiapó","p31","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2010,245391.818321744,206584.348345638,"[137850, 362458]","[114759, 413432]"
"92","provincia","Copiapó","p31","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2011,274395.90946549,207894.043493032,"[146756, 467256]","[140000, 538274]"
"93","provincia","Copiapó","p31","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2012,207536.73822534,200177.554355175,"[149669, 280241]","[100520, 201124]"
"94","provincia","Copiapó","p31","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2013,306483.78107235,300406.687754181,"[230459, 382968]","[230000, 398489]"
"95","provincia","Copiapó","p31","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2014,310063.79056155,294983.735614221,"[230055, 392468]","[217765, 375205]"
"96","provincia","Copiapó","p31","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2015,324650.946683961,264107.151432265,"[239652, 439919]","[230062, 539146]"
"97","provincia","Cordillera","p152","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2010,156944.578226953,150350.626420193,"[78791, 250367]","[20020, 214182]"
"98","provincia","Cordillera","p152","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2011,179270.301575318,181461.991181972,"[116461, 243827]","[40000, 253857]"
"99","provincia","Cordillera","p152","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2012,209383.800221512,196713.150249476,"[130613, 279159]","[152657, 321443]"
"100","provincia","Cordillera","p152","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2013,194383.445631044,206665.502432361,"[97447, 284313]","[82507, 291088]"
"101","provincia","Cordillera","p152","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2014,375316.574037787,231474.634397111,"[190833, 616140]","[200000, 725000]"
"102","provincia","Cordillera","p152","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2015,433274.033443012,318959.623009514,"[310459, 726815]","[300000, 600000]"
"103","provincia","Coyhaique","p111","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2010,303502.779999787,277981.795580943,"[216760, 394993]","[198702, 319781]"
"104","provincia","Coyhaique","p111","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2011,338641.446639453,237091.878413801,"[259887, 441205]","[182130, 348636]"
"105","provincia","Coyhaique","p111","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2012,321596.19842563,225451.410896509,"[232682, 451806]","[165728, 291119]"
"106","provincia","Coyhaique","p111","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2013,246782.07440863,223507.452806634,"[209910, 282486]","[188037, 288486]"
"107","provincia","Coyhaique","p111","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2014,431335.45796276,266128.885123122,"[313943, 591383]","[227345, 315704]"
"108","provincia","Coyhaique","p111","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2015,398188.104599441,330579.639468383,"[293101, 506864]","[262825, 400000]"
"109","provincia","Curicó","p73","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2010,281735.664286119,160090.940119981,"[187097, 447451]","[150000, 206040]"
"110","provincia","Curicó","p73","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2011,284508.680133706,182879.643669446,"[217152, 399065]","[163279, 200539]"
