"","sex","work_day","geography_name","geography_id","year","weighted_mean"
"158","Hombre","Parcial","Maule","7",2014,261080.659180784
"159","Hombre","Parcial","Maule","7",2015,207255.850539747
"160","Hombre","Parcial","Metropolitana","13",2010,220082.245536276
"161","Hombre","Parcial","Metropolitana","13",2011,231394.464971398
"162","Hombre","Parcial","Metropolitana","13",2012,298545.965180371
"163","Hombre","Parcial","Metropolitana","13",2013,280539.396941638
"164","Hombre","Parcial","Metropolitana","13",2014,296713.930515194
"165","Hombre","Parcial","Metropolitana","13",2015,267634.12435936
"166","Hombre","Parcial","O'Higgins","6",2010,147341.371832566
"167","Hombre","Parcial","O'Higgins","6",2011,209709.522560332
"168","Hombre","Parcial","O'Higgins","6",2012,219093.489701529
"169","Hombre","Parcial","O'Higgins","6",2013,284159.145983553
"170","Hombre","Parcial","O'Higgins","6",2014,275910.11548361
"171","Hombre","Parcial","O'Higgins","6",2015,250651.755377094
"172","Hombre","Parcial","Tarapacá","1",2010,224361.004413934
"173","Hombre","Parcial","Tarapacá","1",2011,277916.116057538
"174","Hombre","Parcial","Tarapacá","1",2012,316284.385689986
"175","Hombre","Parcial","Tarapacá","1",2013,296456.892624881
"176","Hombre","Parcial","Tarapacá","1",2014,217273.13360294
"177","Hombre","Parcial","Tarapacá","1",2015,292364.681122359
"178","Hombre","Parcial","Valparaíso","5",2010,208361.713775649
"179","Hombre","Parcial","Valparaíso","5",2011,195713.9357359
"180","Hombre","Parcial","Valparaíso","5",2012,218017.777543361
"181","Hombre","Parcial","Valparaíso","5",2013,235421.276224436
"182","Hombre","Parcial","Valparaíso","5",2014,266010.774259163
"183","Hombre","Parcial","Valparaíso","5",2015,272532.392708332
"184","Hombre","Parcial",NA,NA,2010,84283.6141804956
"185","Hombre","Parcial",NA,NA,2011,206350.41573129
"186","Hombre","Parcial",NA,NA,2012,69424.2804928781
"187","Mujer","Completa","Antofagasta","2",2010,378206.643082312
"188","Mujer","Completa","Antofagasta","2",2011,417633.674162349
"189","Mujer","Completa","Antofagasta","2",2012,468159.773301302
"190","Mujer","Completa","Antofagasta","2",2013,463649.400534286
"191","Mujer","Completa","Antofagasta","2",2014,517405.010685973
"192","Mujer","Completa","Antofagasta","2",2015,562191.259180566
"193","Mujer","Completa","Araucanía","9",2010,282012.309387458
"194","Mujer","Completa","Araucanía","9",2011,274820.237935823
"195","Mujer","Completa","Araucanía","9",2012,343098.685706193
"196","Mujer","Completa","Araucanía","9",2013,351236.81082951
"197","Mujer","Completa","Araucanía","9",2014,384948.036365254
"198","Mujer","Completa","Araucanía","9",2015,420455.996026009
"199","Mujer","Completa","Arica y Parinacota","15",2010,289053.483788309
"200","Mujer","Completa","Arica y Parinacota","15",2011,280727.702068818
"201","Mujer","Completa","Arica y Parinacota","15",2012,339268.262720528
"202","Mujer","Completa","Arica y Parinacota","15",2013,407411.16991466
"203","Mujer","Completa","Arica y Parinacota","15",2014,390605.874183202
"204","Mujer","Completa","Arica y Parinacota","15",2015,432373.206425006
"205","Mujer","Completa","Atacama","3",2010,325748.565534004
"206","Mujer","Completa","Atacama","3",2011,383219.550004034
"207","Mujer","Completa","Atacama","3",2012,351305.435977708
"208","Mujer","Completa","Atacama","3",2013,419163.032354321
"209","Mujer","Completa","Atacama","3",2014,449602.98206553
"210","Mujer","Completa","Atacama","3",2015,460156.19204031
"211","Mujer","Completa","Aysén","11",2010,383897.55134238
"212","Mujer","Completa","Aysén","11",2011,413881.83162846
"213","Mujer","Completa","Aysén","11",2012,418561.005029467
"214","Mujer","Completa","Aysén","11",2013,419050.164117338
"215","Mujer","Completa","Aysén","11",2014,470371.083662875
"216","Mujer","Completa","Aysén","11",2015,592239.492216898
"217","Mujer","Completa","Bíobío","8",2010,303519.024459929
"218","Mujer","Completa","Bíobío","8",2011,305370.788622471
"219","Mujer","Completa","Bíobío","8",2012,346491.322741291
"220","Mujer","Completa","Bíobío","8",2013,347113.578269459
"221","Mujer","Completa","Bíobío","8",2014,373064.562885821
"222","Mujer","Completa","Bíobío","8",2015,417467.026026792
"223","Mujer","Completa","Coquimbo","4",2010,339167.263138215
"224","Mujer","Completa","Coquimbo","4",2011,302257.168121384
"225","Mujer","Completa","Coquimbo","4",2012,363060.695561413
"226","Mujer","Completa","Coquimbo","4",2013,357841.899203547
"227","Mujer","Completa","Coquimbo","4",2014,406585.93584966
"228","Mujer","Completa","Coquimbo","4",2015,417293.065923125
"229","Mujer","Completa","Los Lagos","10",2010,283907.795726438
"230","Mujer","Completa","Los Lagos","10",2011,348140.887891949
"231","Mujer","Completa","Los Lagos","10",2012,377522.9156298
"232","Mujer","Completa","Los Lagos","10",2013,393443.011128615
"233","Mujer","Completa","Los Lagos","10",2014,409123.161451291
"234","Mujer","Completa","Los Lagos","10",2015,445432.43412238
"235","Mujer","Completa","Los Ríos","14",2010,288149.548059473
"236","Mujer","Completa","Los Ríos","14",2011,332046.7095634
"237","Mujer","Completa","Los Ríos","14",2012,377030.486543148
"238","Mujer","Completa","Los Ríos","14",2013,374026.336444193
"239","Mujer","Completa","Los Ríos","14",2014,424278.992858885
"240","Mujer","Completa","Los Ríos","14",2015,467518.919073059
"241","Mujer","Completa","Magallanes","12",2010,414104.002293727
"242","Mujer","Completa","Magallanes","12",2011,456213.065333791
"243","Mujer","Completa","Magallanes","12",2012,606677.743150562
"244","Mujer","Completa","Magallanes","12",2013,615888.421241116
"245","Mujer","Completa","Magallanes","12",2014,614954.918997503
"246","Mujer","Completa","Magallanes","12",2015,682075.429452417
"247","Mujer","Completa","Maule","7",2010,244161.118851599
"248","Mujer","Completa","Maule","7",2011,277895.295365041
"249","Mujer","Completa","Maule","7",2012,281378.080306988
"250","Mujer","Completa","Maule","7",2013,315437.36243111
"251","Mujer","Completa","Maule","7",2014,325687.91134026
"252","Mujer","Completa","Maule","7",2015,365148.590683048
"253","Mujer","Completa","Metropolitana","13",2010,375244.39328518
"254","Mujer","Completa","Metropolitana","13",2011,397269.734042234
"255","Mujer","Completa","Metropolitana","13",2012,459906.754767783
"256","Mujer","Completa","Metropolitana","13",2013,472893.593514996
"257","Mujer","Completa","Metropolitana","13",2014,502275.779118011
"258","Mujer","Completa","Metropolitana","13",2015,519590.663321582
"259","Mujer","Completa","O'Higgins","6",2010,273012.318265217
"260","Mujer","Completa","O'Higgins","6",2011,303819.383586582
"261","Mujer","Completa","O'Higgins","6",2012,332612.988384346
"262","Mujer","Completa","O'Higgins","6",2013,344896.818796247
"263","Mujer","Completa","O'Higgins","6",2014,358127.632291267
"264","Mujer","Completa","O'Higgins","6",2015,373977.494392654
"265","Mujer","Completa","Tarapacá","1",2010,350729.873660002
"266","Mujer","Completa","Tarapacá","1",2011,398872.255436698
"267","Mujer","Completa","Tarapacá","1",2012,411391.790677767
"268","Mujer","Completa","Tarapacá","1",2013,470079.299700371
