"","geography_level","geography_name","geography_id","sex","icse","year","weighted_mean","weighted_median","ci_weighted_mean","ci_weighted_median"
"102","region","Araucanía","9","Hombre","Asalariado Sector Público",2012,635764.586455507,605485.621113344,"[562407, 708767]","[546874, 703157]"
"103","region","Araucanía","9","Hombre","Asalariado Sector Público",2013,618167.42975721,503501.341072998,"[495627, 766245]","[397637, 600000]"
"104","region","Araucanía","9","Hombre","Asalariado Sector Público",2014,850059.825887643,633115.481032008,"[681773, 1093909]","[469505, 831284]"
"105","region","Araucanía","9","Hombre","Asalariado Sector Público",2015,923002.943289119,627244.010670889,"[696508, 1140563]","[460033, 843440]"
"106","region","Arica y Parinacota","15","Hombre","Asalariado Sector Público",2010,590460.91387417,420411.039342336,"[469200, 745725]","[358944, 495456]"
"107","region","Arica y Parinacota","15","Hombre","Asalariado Sector Público",2011,537265.461679351,446959.253109059,"[462235, 647474]","[390241, 477531]"
"108","region","Arica y Parinacota","15","Hombre","Asalariado Sector Público",2012,895318.703386028,485801.995543575,"[697019, 1094189]","[406868, 605698]"
"109","region","Arica y Parinacota","15","Hombre","Asalariado Sector Público",2013,619326.779057062,597734.220463945,"[542893, 716392]","[498112, 631321]"
"110","region","Arica y Parinacota","15","Hombre","Asalariado Sector Público",2014,673780.602297696,589271.316804506,"[568573, 793435]","[424917, 648552]"
"111","region","Arica y Parinacota","15","Hombre","Asalariado Sector Público",2015,737771.787337935,600162.366949308,"[644782, 849832]","[550149, 699137]"
"112","region","Atacama","3","Hombre","Asalariado Sector Público",2010,572477.666601548,487028.714070534,"[483201, 667841]","[382374, 563853]"
"113","region","Atacama","3","Hombre","Asalariado Sector Público",2011,485680.335401337,401432.786972727,"[401333, 578479]","[352083, 507897]"
"114","region","Atacama","3","Hombre","Asalariado Sector Público",2012,640094.177198288,502414.555938386,"[527858, 803234]","[464185, 590414]"
"115","region","Atacama","3","Hombre","Asalariado Sector Público",2013,801968.513788961,644968.023726424,"[655232, 1000637]","[413917, 863285]"
"116","region","Atacama","3","Hombre","Asalariado Sector Público",2014,823736.169615298,600119.870626111,"[655231, 990100]","[396087, 889172]"
"117","region","Atacama","3","Hombre","Asalariado Sector Público",2015,824164.396042575,654980.886256061,"[668752, 1040789]","[549902, 852150]"
"118","region","Aysén","11","Hombre","Asalariado Sector Público",2010,849983.866031629,697268.832267132,"[737305, 974092]","[540430, 800101]"
"119","region","Aysén","11","Hombre","Asalariado Sector Público",2011,1048310.2685967,911061.442818363,"[938739, 1195607]","[753625, 1100000]"
"120","region","Aysén","11","Hombre","Asalariado Sector Público",2012,847697.911608305,761924.306259154,"[759890, 968368]","[685878, 804497]"
"121","region","Aysén","11","Hombre","Asalariado Sector Público",2013,1049933.31557719,925257.400570007,"[924587, 1193519]","[746563, 1200217]"
"122","region","Aysén","11","Hombre","Asalariado Sector Público",2014,958255.625299011,799849.990624414,"[820814, 1108135]","[627274, 912075]"
"123","region","Aysén","11","Hombre","Asalariado Sector Público",2015,1223371.32639722,980546.861344446,"[1016440, 1488454]","[716622, 1102574]"
"124","region","Bíobío","8","Hombre","Asalariado Sector Público",2010,473686.964844361,363691.395411874,"[404520, 531993]","[313324, 419755]"
"125","region","Bíobío","8","Hombre","Asalariado Sector Público",2011,627246.313886812,403655.77593008,"[525888, 748088]","[371922, 474928]"
"126","region","Bíobío","8","Hombre","Asalariado Sector Público",2012,623860.234674708,468252.601965569,"[548652, 710222]","[400857, 583850]"
"127","region","Bíobío","8","Hombre","Asalariado Sector Público",2013,574557.73265383,441691.563012998,"[512484, 647982]","[380737, 498112]"
"128","region","Bíobío","8","Hombre","Asalariado Sector Público",2014,787443.966144676,505211.294296,"[664054, 895733]","[444401, 600000]"
"129","region","Bíobío","8","Hombre","Asalariado Sector Público",2015,873586.817952756,600158.356048923,"[748003, 1027960]","[523788, 663355]"
"130","region","Coquimbo","4","Hombre","Asalariado Sector Público",2010,568861.806397372,499693.562343984,"[494041, 664422]","[400305, 608192]"
"131","region","Coquimbo","4","Hombre","Asalariado Sector Público",2011,630413.20674692,401835.637360569,"[510677, 803498]","[323750, 543349]"
"132","region","Coquimbo","4","Hombre","Asalariado Sector Público",2012,713770.640188211,598682.675172177,"[588550, 860383]","[490061, 643362]"
"133","region","Coquimbo","4","Hombre","Asalariado Sector Público",2013,713176.142628904,498496.952427593,"[543563, 938875]","[372560, 677432]"
"134","region","Coquimbo","4","Hombre","Asalariado Sector Público",2014,774923.785171346,605717.917954198,"[637573, 943999]","[552161, 754258]"
"135","region","Coquimbo","4","Hombre","Asalariado Sector Público",2015,702260.902073662,585166.130386425,"[593215, 815773]","[465489, 750000]"
"136","region","Los Lagos","10","Hombre","Asalariado Sector Público",2010,567935.441674164,439572.251257278,"[463588, 699413]","[351712, 536170]"
"137","region","Los Lagos","10","Hombre","Asalariado Sector Público",2011,576050.827833357,502416.60348749,"[499880, 680673]","[466962, 599089]"
"138","region","Los Lagos","10","Hombre","Asalariado Sector Público",2012,718262.573059299,640298.242552607,"[604356, 830576]","[502811, 708906]"
"139","region","Los Lagos","10","Hombre","Asalariado Sector Público",2013,739832.633585622,597734.220463945,"[629603, 858190]","[478648, 700949]"
"140","region","Los Lagos","10","Hombre","Asalariado Sector Público",2014,770014.801605728,617673.041865176,"[675501, 914408]","[547388, 823629]"
"141","region","Los Lagos","10","Hombre","Asalariado Sector Público",2015,841399.322281047,675990.349766763,"[724559, 991957]","[540426, 873126]"
"142","region","Los Ríos","14","Hombre","Asalariado Sector Público",2010,437205.887703062,321049.027384926,"[371794, 528185]","[300000, 488305]"
"143","region","Los Ríos","14","Hombre","Asalariado Sector Público",2011,545033.743111732,420942.160974699,"[438434, 695068]","[368961, 598082]"
"144","region","Los Ríos","14","Hombre","Asalariado Sector Público",2012,643049.68984382,548445.314822025,"[532152, 803096]","[391363, 700000]"
"145","region","Los Ríos","14","Hombre","Asalariado Sector Público",2013,647532.197816974,545820.62492516,"[564430, 799146]","[435303, 745425]"
"146","region","Los Ríos","14","Hombre","Asalariado Sector Público",2014,737599.960657077,599887.492968311,"[602089, 858647]","[518172, 800000]"
"147","region","Los Ríos","14","Hombre","Asalariado Sector Público",2015,807698.776654083,550775.864205917,"[646323, 1006980]","[456553, 694226]"
"148","region","Magallanes","12","Hombre","Asalariado Sector Público",2010,1174420.96807055,870547.383339765,"[908112, 1436293]","[699954, 1099248]"
"149","region","Magallanes","12","Hombre","Asalariado Sector Público",2011,1124895.25986871,884189.490975278,"[868253, 1498993]","[600000, 999875]"
"150","region","Magallanes","12","Hombre","Asalariado Sector Público",2012,1038351.16016621,824267.008234327,"[895032, 1238503]","[703157, 918811]"
"151","region","Magallanes","12","Hombre","Asalariado Sector Público",2013,1203604.12455832,897798.926966113,"[948601, 1559607]","[700000, 1029102]"
"152","region","Magallanes","12","Hombre","Asalariado Sector Público",2014,1191263.94699061,1006175.52804516,"[1033810, 1416432]","[788937, 1302485]"
"153","region","Magallanes","12","Hombre","Asalariado Sector Público",2015,1405309.10701303,1300000,"[1227363, 1592958]","[1035674, 1514234]"
"154","region","Maule","7","Hombre","Asalariado Sector Público",2010,502716.898550662,398821.29544874,"[426537, 593008]","[300190, 499658]"
"155","region","Maule","7","Hombre","Asalariado Sector Público",2011,551428.116087901,482319.93934799,"[461651, 617858]","[303303, 502417]"
"156","region","Maule","7","Hombre","Asalariado Sector Público",2012,495298.078875764,364395.419005497,"[419951, 558404]","[300643, 435917]"
"157","region","Maule","7","Hombre","Asalariado Sector Público",2013,572582.701079219,449065.554330317,"[490660, 670796]","[400131, 537581]"
"158","region","Maule","7","Hombre","Asalariado Sector Público",2014,587555.673368007,499906.244140259,"[502536, 671438]","[425000, 523399]"
"159","region","Maule","7","Hombre","Asalariado Sector Público",2015,731635.719407865,536890.235762848,"[612501, 862669]","[481980, 617179]"
"160","region","Metropolitana","13","Hombre","Asalariado Sector Público",2010,686167.510574874,439869.677707253,"[610012, 789276]","[399841, 516124]"
"161","region","Metropolitana","13","Hombre","Asalariado Sector Público",2011,757042.103206701,492899.071048995,"[673271, 861292]","[436214, 504617]"
"162","region","Metropolitana","13","Hombre","Asalariado Sector Público",2012,669200.34844286,476565.30750974,"[585270, 816935]","[402248, 559741]"
"163","region","Metropolitana","13","Hombre","Asalariado Sector Público",2013,847211.083804471,597734.220463945,"[741106, 958465]","[500678, 657833]"
