"","geography_level","geography_name","geography_id","sex","isced","year","weighted_mean","weighted_median","ci_weighted_mean","ci_weighted_median"
"186","comuna","Angol","8","Hombre","Educación Preescolar",2011,200000,200000,"[200000, 200000]","[200000, 200000]"
"187","comuna","Angol","8","Hombre","Educación Preescolar",2014,56247.6405221503,56247.6405221503,"[20099, 94000]","[20099, 94000]"
"188","comuna","Antofagasta","9","Hombre","Educación Preescolar",2011,250000,250000,"[250000, 250000]","[250000, 250000]"
"189","comuna","Antofagasta","9","Hombre","Educación Preescolar",2012,353461.538461538,353461.538461538,"[290000, 400000]","[290000, 400000]"
"190","comuna","Antofagasta","9","Hombre","Educación Preescolar",2013,300000,300000,"[300000, 300000]","[300000, 300000]"
"191","comuna","Antofagasta","9","Hombre","Educación Preescolar",2014,80833.80708736,80833.80708736,"[80834, 80834]","[80834, 80834]"
"192","comuna","Arica","12","Hombre","Educación Preescolar",2010,404395.380700723,404395.380700723,"[404395, 404395]","[404395, 404395]"
"193","comuna","Arica","12","Hombre","Educación Preescolar",2011,398918.783169067,398918.783169067,"[398919, 398919]","[398919, 398919]"
"194","comuna","Arica","12","Hombre","Educación Preescolar",2013,60000,60000,"[60000, 60000]","[60000, 60000]"
"195","comuna","Arica","12","Hombre","Educación Preescolar",2015,71786.5857739646,78476.4938218314,"[30000, 100148]","[30000, 100266]"
"196","comuna","Aysén","13","Hombre","Educación Preescolar",2011,166036.663752301,166036.663752301,"[100483, 200967]","[100483, 200967]"
"197","comuna","Bulnes","15","Hombre","Educación Preescolar",2011,120000,120000,"[120000, 120000]","[120000, 120000]"
"198","comuna","Calama","19","Hombre","Educación Preescolar",2010,110000,110000,"[110000, 110000]","[110000, 110000]"
"199","comuna","Calama","19","Hombre","Educación Preescolar",2011,70338.3244882486,70338.3244882486,"[70338, 70338]","[70338, 70338]"
"200","comuna","Calama","19","Hombre","Educación Preescolar",2015,125635.818563455,125635.818563456,"[60194, 200054]","[60194, 200054]"
"201","comuna","Calera","22","Hombre","Educación Preescolar",2015,130419.678168201,130419.678168201,"[130420, 130420]","[130420, 130420]"
"202","comuna","Calera de Tango","23","Hombre","Educación Preescolar",2011,185894.143290371,185894.143290371,"[185894, 185894]","[185894, 185894]"
