"","geography_level","geography_name","geography_id","sex","company_size","year","weighted_mean","weighted_median","ci_weighted_mean","ci_weighted_median"
"113","region","Atacama","3","Hombre","De 5 a 10 personas",2011,464519.852418456,253199.877876911,"[245101, 1084468]","[208567, 315700]"
"114","region","Atacama","3","Hombre","De 5 a 10 personas",2012,361593.188545705,274107.600371131,"[281606, 590246]","[200000, 433231]"
"115","region","Atacama","3","Hombre","De 5 a 10 personas",2013,810902.596213928,399991.870815065,"[450990, 1548877]","[295658, 561592]"
"116","region","Atacama","3","Hombre","De 5 a 10 personas",2014,618560.984778339,450000,"[391144, 958731]","[275690, 874292]"
"117","region","Atacama","3","Hombre","De 5 a 10 personas",2015,746169.586190994,444223.798550319,"[451288, 1185908]","[330735, 450122]"
"118","region","Aysén","11","Hombre","De 5 a 10 personas",2010,660255.915378988,250216.922947086,"[301545, 1484728]","[214212, 376368]"
"119","region","Aysén","11","Hombre","De 5 a 10 personas",2011,530890.830235146,300381.10606275,"[382853, 731603]","[252423, 600000]"
"120","region","Aysén","11","Hombre","De 5 a 10 personas",2012,514688.909389801,350000,"[345261, 845965]","[278096, 402797]"
"121","region","Aysén","11","Hombre","De 5 a 10 personas",2013,485397.308498567,301800.080138799,"[351344, 623370]","[265646, 448776]"
"122","region","Aysén","11","Hombre","De 5 a 10 personas",2014,529122.54925903,348009.588737884,"[352615, 759257]","[238551, 620692]"
"123","region","Aysén","11","Hombre","De 5 a 10 personas",2015,932487.787223643,507953.633250626,"[628738, 1464405]","[400371, 802547]"
"124","region","Bíobío","8","Hombre","De 5 a 10 personas",2010,292079.170728642,194199.568217836,"[237399, 349182]","[176928, 201117]"
"125","region","Bíobío","8","Hombre","De 5 a 10 personas",2011,362619.660338192,204093.809974063,"[298616, 445608]","[199361, 231841]"
"126","region","Bíobío","8","Hombre","De 5 a 10 personas",2012,403430.623291554,239575.436480271,"[343460, 492712]","[215227, 295230]"
"127","region","Bíobío","8","Hombre","De 5 a 10 personas",2013,439146.995103477,225305.015815636,"[336528, 633158]","[209609, 248707]"
"128","region","Bíobío","8","Hombre","De 5 a 10 personas",2014,504316.025143633,275834.030238295,"[412855, 620368]","[241102, 299944]"
"129","region","Bíobío","8","Hombre","De 5 a 10 personas",2015,672862.140845734,289694.70871264,"[500510, 887700]","[258097, 347995]"
"130","region","Coquimbo","4","Hombre","De 5 a 10 personas",2010,361448.978234533,252058.321105284,"[279782, 501499]","[220199, 299795]"
"131","region","Coquimbo","4","Hombre","De 5 a 10 personas",2011,339624.354965756,249841.720246446,"[268337, 459801]","[200384, 300000]"
"132","region","Coquimbo","4","Hombre","De 5 a 10 personas",2012,374045.543199902,291432.633922296,"[302157, 529166]","[250929, 331855]"
"133","region","Coquimbo","4","Hombre","De 5 a 10 personas",2013,376271.345002493,300000,"[308418, 462552]","[247871, 350000]"
"134","region","Coquimbo","4","Hombre","De 5 a 10 personas",2014,427328.937518489,252605.647148,"[329713, 543149]","[227345, 303127]"
"135","region","Coquimbo","4","Hombre","De 5 a 10 personas",2015,360063.72386416,300081.183474654,"[302792, 423078]","[250032, 354823]"
"136","region","Los Lagos","10","Hombre","De 5 a 10 personas",2010,328252.332997461,228767.962679319,"[265273, 414861]","[200000, 250103]"
"137","region","Los Lagos","10","Hombre","De 5 a 10 personas",2011,375053.259425265,248940.33562202,"[308204, 535529]","[219511, 330000]"
"138","region","Los Lagos","10","Hombre","De 5 a 10 personas",2012,843059.167447219,221110.702396937,"[349479, 1927012]","[196164, 251379]"
"139","region","Los Lagos","10","Hombre","De 5 a 10 personas",2013,376642.36694315,298226.837575071,"[321704, 488494]","[266880, 342148]"
"140","region","Los Lagos","10","Hombre","De 5 a 10 personas",2014,498510.196186903,300000,"[403861, 656295]","[252606, 351915]"
"141","region","Los Lagos","10","Hombre","De 5 a 10 personas",2015,1194483.21052964,393668.547814509,"[627222, 1791174]","[342814, 446336]"
"142","region","Los Ríos","14","Hombre","De 5 a 10 personas",2010,369248.130847279,199863.214460186,"[226316, 652792]","[181552, 228153]"
"143","region","Los Ríos","14","Hombre","De 5 a 10 personas",2011,300867.874562813,206906.450307322,"[223596, 439242]","[169731, 244899]"
"144","region","Los Ríos","14","Hombre","De 5 a 10 personas",2012,385966.052824843,259315.022584604,"[303485, 509635]","[200902, 294000]"
"145","region","Los Ríos","14","Hombre","De 5 a 10 personas",2013,391238.99643125,265960.242011403,"[299818, 479333]","[216677, 307759]"
"146","region","Los Ríos","14","Hombre","De 5 a 10 personas",2014,357311.496642865,249953.122070129,"[264428, 473281]","[207784, 319488]"
"147","region","Los Ríos","14","Hombre","De 5 a 10 personas",2015,377419.472155118,290084.456949904,"[300092, 469944]","[241538, 301222]"
"148","region","Magallanes","12","Hombre","De 5 a 10 personas",2010,790347.295122055,350098.539770663,"[368237, 1474980]","[275015, 630575]"
"149","region","Magallanes","12","Hombre","De 5 a 10 personas",2011,823147.436509326,347868.235270075,"[346816, 1806945]","[212480, 450047]"
"150","region","Magallanes","12","Hombre","De 5 a 10 personas",2012,430408.571958881,303136.299886141,"[301123, 629745]","[230477, 510556]"
"151","region","Magallanes","12","Hombre","De 5 a 10 personas",2013,908011.127304107,600318.148401268,"[604600, 1329725]","[399000, 784661]"
"152","region","Magallanes","12","Hombre","De 5 a 10 personas",2014,687160.742764647,410318.547652079,"[486047, 924369]","[349939, 607128]"
"153","region","Magallanes","12","Hombre","De 5 a 10 personas",2015,599635.149823063,502052.379682592,"[475855, 717874]","[431752, 573577]"
"154","region","Maule","7","Hombre","De 5 a 10 personas",2010,285023.54121249,180176.159718144,"[229994, 347447]","[173873, 202496]"
"155","region","Maule","7","Hombre","De 5 a 10 personas",2011,347139.949034584,197182.772562998,"[256739, 523164]","[182000, 224781]"
"156","region","Maule","7","Hombre","De 5 a 10 personas",2012,322956.407701589,230035.82043429,"[270785, 375002]","[200288, 271548]"
"157","region","Maule","7","Hombre","De 5 a 10 personas",2013,366076.492195535,250338.906461818,"[293819, 454930]","[236544, 259534]"
"158","region","Maule","7","Hombre","De 5 a 10 personas",2014,460089.849013927,249953.12207013,"[367667, 577283]","[225000, 266502]"
"159","region","Maule","7","Hombre","De 5 a 10 personas",2015,500682.632599762,271014.292357517,"[396122, 639475]","[248810, 302724]"
