"","sex","geography_name","geography_id","year","weighted_mean"
"149","Mujer","Magallanes","12",2011,413277.295596556
"150","Mujer","Magallanes","12",2012,544582.585887602
"151","Mujer","Magallanes","12",2013,565125.69874756
"152","Mujer","Magallanes","12",2014,552184.420200876
"153","Mujer","Magallanes","12",2015,644856.488799748
"154","Mujer","Maule","7",2010,213920.210581831
"155","Mujer","Maule","7",2011,239992.095229667
"156","Mujer","Maule","7",2012,248177.118992263
"157","Mujer","Maule","7",2013,280559.058979293
"158","Mujer","Maule","7",2014,292018.898885208
"159","Mujer","Maule","7",2015,328305.587196372
"160","Mujer","Metropolitana","13",2010,332757.760318133
"161","Mujer","Metropolitana","13",2011,353565.707689016
"162","Mujer","Metropolitana","13",2012,403149.048035019
"163","Mujer","Metropolitana","13",2013,414720.539386084
"164","Mujer","Metropolitana","13",2014,442530.539050744
"165","Mujer","Metropolitana","13",2015,460607.605746332
"166","Mujer","O'Higgins","6",2010,244832.753873672
"167","Mujer","O'Higgins","6",2011,271774.907871609
"168","Mujer","O'Higgins","6",2012,294498.691885963
"169","Mujer","O'Higgins","6",2013,293100.283579385
"170","Mujer","O'Higgins","6",2014,311240.032604026
"171","Mujer","O'Higgins","6",2015,332559.651432953
"172","Mujer","Tarapacá","1",2010,283863.606690047
"173","Mujer","Tarapacá","1",2011,359464.380190871
"174","Mujer","Tarapacá","1",2012,366519.58105672
"175","Mujer","Tarapacá","1",2013,408651.306183017
"176","Mujer","Tarapacá","1",2014,415538.023102393
"177","Mujer","Tarapacá","1",2015,454939.357511617
"178","Mujer","Valparaíso","5",2010,235530.478307323
"179","Mujer","Valparaíso","5",2011,250575.005886558
"180","Mujer","Valparaíso","5",2012,301522.578565803
"181","Mujer","Valparaíso","5",2013,348701.013624679
"182","Mujer","Valparaíso","5",2014,409143.4951111
"183","Mujer","Valparaíso","5",2015,378660.960880338
"184","Mujer",NA,NA,2010,133880.475690424
"185","Mujer",NA,NA,2011,124326.330603654
"186","Mujer",NA,NA,2012,182511.13069576
