"","geography_level","geography_name","geography_id","sex","isic","year","weighted_mean","weighted_median","ci_weighted_mean","ci_weighted_median"
"111","provincia","Cauquenes","p72","Hombre","10",2012,395352.271258786,395352.271258786,"[251405, 603373]","[251405, 603373]"
"112","provincia","Cautín","p91","Hombre","10",2010,1201174.39812096,1201174.39812096,"[1201174, 1201174]","[1201174, 1201174]"
"113","provincia","Cautín","p91","Hombre","10",2012,1820326.23789349,932667.9955088,"[729568, 3204804]","[333866, 4695550]"
"114","provincia","Chacabuco","p133","Hombre","10",2010,2340151.82860216,2083651.87279315,"[902387, 3622606]","[829363, 4304208]"
"115","provincia","Chacabuco","p133","Hombre","10",2012,3715978.01466877,3714311.54150562,"[1964076, 5028105]","[1922852, 5028105]"
"116","provincia","Chiloé","p102","Hombre","10",2010,599589.643380557,599589.643380557,"[599590, 599590]","[599590, 599590]"
"117","provincia","Chiloé","p102","Hombre","10",2012,1112089.96372364,1395274.14940474,"[200902, 1695316]","[200902, 1707668]"
"118","provincia","Choapa","p42","Hombre","10",2010,839377.533561309,839377.533561309,"[839378, 839378]","[839378, 839378]"
"119","provincia","Colchagua","p63","Hombre","10",2010,266823.14709569,266823.14709569,"[230000, 290284]","[230000, 290284]"
"120","provincia","Colchagua","p63","Hombre","10",2012,669622.487752104,761553.669621353,"[320875, 908083]","[210947, 973418]"
"121","provincia","Concepción","p81","Hombre","10",2010,1026374.57807969,380801.393810028,"[452405, 1931966]","[298731, 1798769]"
"122","provincia","Concepción","p81","Hombre","10",2012,417948.292738786,353785.358459042,"[271602, 631994]","[200902, 799483]"
"123","provincia","Copiapó","p31","Hombre","10",2010,412876.989047971,366941.176470588,"[176344, 700000]","[154894, 700000]"
"124","provincia","Copiapó","p31","Hombre","10",2012,748912.163069993,440685.036680708,"[415794, 1727466]","[396782, 1722749]"
"125","provincia","Cordillera","p152","Hombre","10",2010,639690.347467138,500000,"[408133, 972327]","[382374, 1029491]"
"126","provincia","Cordillera","p152","Hombre","10",2012,786033.086196896,1100707.28638264,"[366496, 1052796]","[200000, 1106183]"
"127","provincia","Coyhaique","p111","Hombre","10",2010,661587.425835034,680238.572752668,"[525353, 829838]","[456067, 977331]"
"128","provincia","Coyhaique","p111","Hombre","10",2012,653089.474774046,634021.326901357,"[481676, 961811]","[452330, 1014801]"
"129","provincia","Curicó","p73","Hombre","10",2010,290283.812879232,290283.812879232,"[290284, 290284]","[290284, 290284]"
"130","provincia","Curicó","p73","Hombre","10",2012,754215.812753408,754215.812753408,"[754216, 754216]","[754216, 754216]"
"131","provincia","El Loa","p22","Hombre","10",2012,313782.146246715,313782.146246715,"[301353, 343922]","[301353, 343922]"
"132","provincia","Elqui","p41","Hombre","10",2010,264016.073272315,232648.318962143,"[136013, 492701]","[136013, 482005]"
"133","provincia","Elqui","p41","Hombre","10",2012,692906.96048483,649671.484344769,"[544589, 889244]","[509551, 905059]"
"134","provincia","Huasco","p33","Hombre","10",2010,599589.643380557,599589.643380557,"[599590, 599590]","[599590, 599590]"
"135","provincia","Huasco","p33","Hombre","10",2012,250000,250000,"[250000, 250000]","[250000, 250000]"
"136","provincia","Iquique","p11","Hombre","10",2010,1021432.08240976,749869.606250038,"[606133, 1574850]","[515000, 1571784]"
"137","provincia","Iquique","p11","Hombre","10",2012,485622.957575584,403720.522014677,"[272282, 1208321]","[259802, 1261754]"
"138","provincia","Limarí","p43","Hombre","10",2012,452529.487652045,452529.487652045,"[452529, 452529]","[452529, 452529]"
"139","provincia","Linares","p74","Hombre","10",2010,489664.875427455,249829.018075232,"[219850, 999316]","[219850, 999316]"
"140","provincia","Linares","p74","Hombre","10",2012,788933.349282026,476218.688471478,"[387684, 1535599]","[381714, 1810118]"
"141","provincia","Llanquihue","p101","Hombre","10",2010,635124.220342133,681307.125116946,"[365367, 800783]","[250245, 800783]"
"142","provincia","Llanquihue","p101","Hombre","10",2012,657887.963525009,547465.406558104,"[301558, 1330114]","[301650, 1196907]"
"143","provincia","Los Andes","p53","Hombre","10",2010,841394.158117885,536721.378482834,"[313978, 1311865]","[240000, 1861092]"
"144","provincia","Los Andes","p53","Hombre","10",2012,512879.776167342,500644.590943367,"[300000, 729767]","[300000, 763428]"
"145","provincia","Magallanes","p121","Hombre","10",2010,1624656.25348271,1823535.09957851,"[829450, 2378981]","[299795, 2498290]"
"146","provincia","Magallanes","p121","Hombre","10",2012,1464054.23458079,1084642.84490771,"[911558, 2120575]","[980481, 2464478]"
"147","provincia","Maipo","p134","Hombre","10",2010,473585.500911215,290760.375003128,"[245757, 841483]","[224846, 800783]"
"148","provincia","Maipo","p134","Hombre","10",2012,399503.495833629,432163.778465961,"[302875, 495689]","[251128, 532979]"
"149","provincia","Malleco","p92","Hombre","10",2010,521722.742569749,545854.367441083,"[222602, 640000]","[149897, 640000]"
"150","provincia","Malleco","p92","Hombre","10",2012,425193.465176268,425193.465176268,"[300000, 500000]","[300000, 500000]"
"151","provincia","Marga Marga","p58","Hombre","10",2010,240624.090227368,240624.090227368,"[75000, 299795]","[75000, 299795]"
"152","provincia","Marga Marga","p58","Hombre","10",2012,658660.561369345,784837.539537423,"[293335, 1051193]","[30169, 1095914]"
"153","provincia","Melipilla","p135","Hombre","10",2010,500489.3325504,500489.3325504,"[500489, 500489]","[500489, 500489]"
"154","provincia","Melipilla","p135","Hombre","10",2012,614321.707932423,620512.635006889,"[548590, 629254]","[552191, 629207]"
"155","provincia","Ñuble","p84","Hombre","10",2010,520718.928515726,400391.46604032,"[354661, 748388]","[321368, 818522]"
"156","provincia","Ñuble","p84","Hombre","10",2012,781284.621513532,704471.75457152,"[703157, 996248]","[703157, 1213785]"
"157","provincia","Osorno","p103","Hombre","10",2010,577621.306770942,493852.600549731,"[399476, 946722]","[400000, 589670]"
"158","provincia","Osorno","p103","Hombre","10",2012,502810.541835605,502810.541835605,"[502811, 502811]","[502811, 502811]"
"159","provincia","Petorca","p54","Hombre","10",2010,934414.845907913,934414.845907913,"[757482, 1084060]","[757482, 1084060]"
"160","provincia","Petorca","p54","Hombre","10",2012,1106183.19203833,1106183.19203833,"[1106183, 1106183]","[1106183, 1106183]"
"161","provincia","Quillota","p55","Hombre","10",2010,875759.688679962,729873.468757506,"[481683, 1711487]","[533254, 2009161]"
"162","provincia","Quillota","p55","Hombre","10",2012,942589.590437073,812815.140999353,"[524529, 1476392]","[245020, 1528120]"
"163","provincia","San Antonio","p56","Hombre","10",2010,268753.723751788,290283.812879232,"[217559, 300000]","[206000, 300000]"
"164","provincia","San Antonio","p56","Hombre","10",2012,1580893.33492286,1376835.22366371,"[516640, 2715177]","[250000, 2715177]"
"165","provincia","San Felipe","p57","Hombre","10",2010,604160.445715144,604160.445715144,"[499658, 700000]","[499658, 700000]"
"166","provincia","San Felipe","p57","Hombre","10",2012,310725.289405479,310725.289405479,"[251128, 350000]","[251128, 350000]"
"167","provincia","Santiago","p131","Hombre","10",2010,1059799.64684703,850417.839080159,"[884606, 1299144]","[500489, 988218]"
"168","provincia","Santiago","p131","Hombre","10",2012,1179797.85108938,684524.221014708,"[930111, 1574827]","[502787, 900000]"
"169","provincia","Talagante","p136","Hombre","10",2010,680130.650625843,802795.439512512,"[389808, 941312]","[300000, 948567]"
"170","provincia","Talagante","p136","Hombre","10",2012,857162.918360331,379699.836427752,"[347585, 1758821]","[335606, 1775289]"
"171","provincia","Talca","p71","Hombre","10",2012,595027.624309393,595027.624309393,"[100000, 1500000]","[100000, 1500000]"
"172","provincia","Última Esperanza","p124","Hombre","10",2010,1199179.28676111,1199179.28676111,"[1199179, 1199179]","[1199179, 1199179]"
"173","provincia","Valdivia","p141","Hombre","10",2010,1009380.401192,930504.278783938,"[344928, 1612252]","[120117, 1810362]"
"174","provincia","Valdivia","p141","Hombre","10",2012,464524.79814676,458050.806289943,"[320122, 662678]","[351967, 612318]"
"175","provincia","Valparaíso","p51","Hombre","10",2010,641214.251812656,409833.961726235,"[365046, 1893202]","[314566, 939859]"
"176","provincia","Valparaíso","p51","Hombre","10",2012,1657187.70463095,703157.216494845,"[734787, 2781659]","[546000, 4341040]"
"177","provincia","Antofagasta","p21","Hombre","11",2010,538128.113426684,410939.521962086,"[360629, 911601]","[303582, 500489]"
"178","provincia","Antofagasta","p21","Hombre","11",2012,692607.71323498,553768.521094993,"[481706, 841768]","[394703, 836615]"
"179","provincia","Arauco","p82","Hombre","11",2010,396951.562028566,222706.103012587,"[188942, 698204]","[139904, 440622]"
"180","provincia","Arauco","p82","Hombre","11",2012,350441.140406365,350441.140406365,"[80000, 650000]","[80000, 650000]"
"181","provincia","Arica","p151","Hombre","11",2010,444332.756758489,300000,"[291564, 710546]","[201808, 424630]"
"182","provincia","Arica","p151","Hombre","11",2012,345494.314255443,284787.028220691,"[270586, 448333]","[239594, 381714]"
"183","provincia","Aysén","p112","Hombre","11",2010,1741438.3672406,962563.342126495,"[337092, 3103034]","[80078, 3103034]"
"184","provincia","Aysén","p112","Hombre","11",2012,314234.202701104,279931.071446231,"[222650, 469674]","[200902, 463964]"
"185","provincia","Bíobío","p83","Hombre","11",2010,330850.43969616,241262.436531704,"[180158, 473916]","[102831, 581142]"
"186","provincia","Bíobío","p83","Hombre","11",2012,694366.62213819,496078.843723406,"[336855, 1428601]","[234855, 1241124]"
"187","provincia","Cachapoal","p61","Hombre","11",2010,370796.149827592,212935.544593696,"[245093, 623984]","[166633, 463959]"
"188","provincia","Cachapoal","p61","Hombre","11",2012,428900.199792065,395039.785892357,"[340265, 564831]","[300000, 435011]"
"189","provincia","Cardenal Caro","p62","Hombre","11",2010,278224.236780223,243023.196634367,"[196977, 442102]","[159891, 500000]"
"190","provincia","Cardenal Caro","p62","Hombre","11",2012,1767176.19492872,313450.825607003,"[224313, 4522528]","[120000, 1508432]"
"191","provincia","Cauquenes","p72","Hombre","11",2010,171882.36443576,171882.36443576,"[171882, 171882]","[171882, 171882]"
"192","provincia","Cauquenes","p72","Hombre","11",2012,757699.759349838,757699.759349838,"[582616, 902108]","[582616, 902108]"
"193","provincia","Cautín","p91","Hombre","11",2010,360543.727455668,228880.733812293,"[224989, 631778]","[179048, 450236]"
"194","provincia","Cautín","p91","Hombre","11",2012,389591.018997979,329287.187517109,"[277747, 615572]","[227081, 502255]"
"195","provincia","Chacabuco","p133","Hombre","11",2010,904154.294028831,666226.259605175,"[510870, 1593754]","[197133, 1800000]"
"196","provincia","Chacabuco","p133","Hombre","11",2012,2129824.27672167,2668384.18314761,"[1087427, 3112487]","[211413, 3246054]"
"197","provincia","Chañaral","p32","Hombre","11",2012,381267.518293439,381267.518293439,"[320000, 450000]","[320000, 450000]"
"198","provincia","Chiloé","p102","Hombre","11",2010,251703.800861716,277011.229617511,"[164617, 336919]","[119918, 349761]"
"199","provincia","Chiloé","p102","Hombre","11",2012,954441.145992218,431459.992034193,"[223696, 2157989]","[153746, 3483747]"
"200","provincia","Choapa","p42","Hombre","11",2010,425817.75857321,499745.518790181,"[224443, 602318]","[119918, 700000]"
"201","provincia","Choapa","p42","Hombre","11",2012,406502.319300911,301353.092783505,"[213973, 603638]","[228163, 645478]"
"202","provincia","Colchagua","p63","Hombre","11",2010,824885.361307423,611161.216075023,"[448315, 1501454]","[260707, 887928]"
"203","provincia","Colchagua","p63","Hombre","11",2012,700193.261042625,502073.909090897,"[444567, 1022560]","[309425, 1005621]"
"204","provincia","Concepción","p81","Hombre","11",2010,481520.934720695,279828.39002206,"[352484, 647568]","[191604, 500000]"
"205","provincia","Concepción","p81","Hombre","11",2012,501272.041621431,350019.520659871,"[359569, 727776]","[300801, 447468]"
"206","provincia","Copiapó","p31","Hombre","11",2010,518887.823465571,527533.986014378,"[293746, 865070]","[74546, 1031008]"
"207","provincia","Copiapó","p31","Hombre","11",2012,504755.998290638,388745.489690721,"[319924, 906793]","[197582, 600000]"
"208","provincia","Cordillera","p152","Hombre","11",2010,525145.282727093,552545.254023338,"[359326, 705328]","[200158, 800783]"
"209","provincia","Cordillera","p152","Hombre","11",2012,718332.45787585,401975.226874959,"[467089, 1058185]","[300000, 904059]"
"210","provincia","Coyhaique","p111","Hombre","11",2010,874658.428800949,897830.746983653,"[507557, 1192001]","[360352, 1501468]"
"211","provincia","Coyhaique","p111","Hombre","11",2012,430161.704145284,355987.028402261,"[279119, 603031]","[166659, 663499]"
"212","provincia","Curicó","p73","Hombre","11",2010,482857.818193137,249979.537940413,"[252062, 814472]","[191627, 311962]"
"213","provincia","Curicó","p73","Hombre","11",2012,401778.947442507,284978.564957024,"[273373, 615011]","[257339, 380887]"
"214","provincia","El Loa","p22","Hombre","11",2010,357351.174355001,300187.607197335,"[241072, 447696]","[212049, 500489]"
"215","provincia","El Loa","p22","Hombre","11",2012,623458.768919478,498980.410494012,"[375183, 986050]","[333279, 796504]"
"216","provincia","Elqui","p41","Hombre","11",2010,651803.138048414,349896.20154886,"[356215, 984387]","[220813, 880861]"
"217","provincia","Elqui","p41","Hombre","11",2012,711118.549675801,473700.881175144,"[494520, 1010898]","[401804, 763746]"
