"","geography_level","geography_name","geography_id","sex","work_day","year","weighted_mean","weighted_median","lb_weighted_mean","ub_weighted_mean","lb_weighted_median","ub_weighted_median","ci_weighted_mean","ci_weighted_median"
"174","region","Tarapacá","1","Hombre","Parcial",2012,316284.385689986,195457.826877478,221393,424285,138999,251405,"[221393, 424285]","[138999, 251405]"
"175","region","Tarapacá","1","Hombre","Parcial",2013,296456.892624881,180000,222739,383407,150203,211288,"[222739, 383407]","[150203, 211288]"
"176","region","Tarapacá","1","Hombre","Parcial",2014,217273.13360294,151592.158759005,178001,271544,129750,202085,"[178001, 271544]","[129750, 202085]"
"177","region","Tarapacá","1","Hombre","Parcial",2015,292364.681122359,204072.533877994,189454,427697,120000,297396,"[189454, 427697]","[120000, 297396]"
"178","region","Valparaíso","5","Hombre","Parcial",2010,208361.713775649,119917.928676111,156657,301153,98057,149959,"[156657, 301153]","[98057, 149959]"
"179","region","Valparaíso","5","Hombre","Parcial",2011,195713.9357359,115555.818802123,163470,238964,99794,137644,"[163470, 238964]","[99794, 137644]"
"180","region","Valparaíso","5","Hombre","Parcial",2012,218017.777543361,120000,165646,323990,100451,148967,"[165646, 323990]","[100451, 148967]"
"181","region","Valparaíso","5","Hombre","Parcial",2013,235421.276224436,150000,191877,290656,120203,161322,"[191877, 290656]","[120203, 161322]"
"182","region","Valparaíso","5","Hombre","Parcial",2014,266010.774259163,155002.144517418,212020,357080,120594,200000,"[212020, 357080]","[120594, 200000]"
"183","region","Valparaíso","5","Hombre","Parcial",2015,272532.392708332,200759.093107006,234788,305928,152174,232501,"[234788, 305928]","[152174, 232501]"
"184","region",NA,NA,"Hombre","Parcial",2010,84283.6141804956,66180.8941662198,55692,122366,41230,100098,"[55692, 122366]","[41230, 100098]"
"185","region",NA,NA,"Hombre","Parcial",2011,206350.41573129,179490.536593116,112868,306560,93700,320000,"[112868, 306560]","[93700, 320000]"
"186","region",NA,NA,"Hombre","Parcial",2012,69424.2804928781,44240.3265736623,39300,107794,24042,75768,"[39300, 107794]","[24042, 75768]"
"187","region","Antofagasta","2","Mujer","Completa",2010,378206.643082312,279883.872865124,340318,415928,250219,300000,"[340318, 415928]","[250219, 300000]"
"188","region","Antofagasta","2","Mujer","Completa",2011,417633.674162349,299041.083012127,372525,468552,270000,301450,"[372525, 468552]","[270000, 301450]"
"189","region","Antofagasta","2","Mujer","Completa",2012,468159.773301302,312661.024589379,420321,520739,295028,383969,"[420321, 520739]","[295028, 383969]"
"190","region","Antofagasta","2","Mujer","Completa",2013,463649.400534286,360000,425050,511347,347990,400000,"[425050, 511347]","[347990, 400000]"
