comuna_datachile_id,age,sex_id,age_group_id
192,3617,2,7
192,3326,2,8
192,3513,2,9
192,3296,2,10
192,3410,2,11
192,3141,2,12
192,2536,2,13
192,1921,2,14
192,1523,2,15
192,1129,2,16
192,757,2,17
192,487,2,18
192,120,2,19
192,45,2,20
192,15,2,21
62,396,2,1
62,429,2,2
62,419,2,3
62,338,2,4
62,326,2,5
62,399,2,6
62,378,2,7
62,403,2,8
62,507,2,9
62,506,2,10
62,532,2,11
62,460,2,12
62,415,2,13
62,326,2,14
62,292,2,15
62,256,2,16
62,147,2,17
62,94,2,18
62,24,2,19
62,8,2,20
62,1,2,21
174,1223,2,1
174,1177,2,2
174,1123,2,3
174,1087,2,4
174,1019,2,5
174,1028,2,6
174,917,2,7
174,917,2,8
174,953,2,9
174,1079,2,10
174,1092,2,11
174,932,2,12
174,773,2,13
174,592,2,14
174,520,2,15
174,396,2,16
174,245,2,17
174,147,2,18
174,33,2,19
174,13,2,20
174,4,2,21
237,399,2,1
237,458,2,2
237,415,2,3
237,348,2,4
237,316,2,5
237,350,2,6
237,348,2,7
237,336,2,8
237,325,2,9
237,344,2,10
237,365,2,11
237,326,2,12
237,298,2,13
237,268,2,14
237,218,2,15
237,163,2,16
237,112,2,17
237,41,2,18
237,18,2,19
237,3,2,20
237,1,2,21
271,92,2,1
271,123,2,2
271,154,2,3
271,110,2,4
271,117,2,5
271,132,2,6
271,140,2,7
271,119,2,8
271,128,2,9
271,142,2,10
271,162,2,11
271,165,2,12
271,166,2,13
271,105,2,14
271,108,2,15
271,81,2,16
271,37,2,17
271,36,2,18
271,13,2,19
271,7,2,20
271,1,2,21
331,9129,2,1
331,9118,2,2
331,8738,2,3
331,11291,2,4
331,14799,2,5
331,13507,2,6
331,10597,2,7
331,9520,2,8
331,8866,2,9
331,8561,2,10
331,9204,2,11
331,8434,2,12
331,6993,2,13
331,5572,2,14
331,4482,2,15
331,2823,2,16
331,1794,2,17
331,1059,2,18
331,353,2,19
331,72,2,20
331,33,2,21
31,940,2,1
31,900,2,2
31,875,2,3
31,934,2,4
31,1060,2,5
31,1082,2,6
31,882,2,7
31,878,2,8
31,934,2,9
31,930,2,10
31,967,2,11
31,852,2,12
31,605,2,13
31,495,2,14
31,368,2,15
31,304,2,16
31,189,2,17
31,101,2,18
31,36,2,19
31,13,2,20
31,1,2,21
63,1329,2,1
63,1473,2,2
63,1439,2,3
63,1621,2,4
63,1825,2,5
63,1608,2,6
63,1343,2,7
63,1270,2,8
63,1307,2,9
63,1354,2,10
63,1438,2,11
63,1249,2,12
63,991,2,13
63,718,2,14
63,600,2,15
63,355,2,16
63,239,2,17
63,117,2,18
63,37,2,19
63,8,2,20
63,0,2,21
116,34,2,1
116,37,2,2
116,28,2,3
116,20,2,4
116,20,2,5
116,54,2,6
116,52,2,7
116,45,2,8
116,37,2,9
116,38,2,10
116,34,2,11
116,25,2,12
116,30,2,13
116,23,2,14
116,9,2,15
116,5,2,16
116,4,2,17
116,3,2,18
116,0,2,19
116,0,2,20
116,1,2,21
229,622,2,1
229,665,2,2
229,636,2,3
229,599,2,4
229,651,2,5
229,650,2,6
229,670,2,7
229,566,2,8
229,627,2,9
229,632,2,10
229,657,2,11
229,625,2,12
229,506,2,13
229,421,2,14
229,336,2,15
229,237,2,16
229,154,2,17
229,81,2,18
229,20,2,19
229,2,2,20
229,1,2,21
257,1122,2,1
257,1221,2,2
257,1081,2,3
257,1149,2,4
257,1204,2,5
257,1193,2,6
257,1066,2,7
257,967,2,8
257,1012,2,9
257,1049,2,10
257,1082,2,11
257,961,2,12
257,796,2,13
257,635,2,14
257,517,2,15
257,407,2,16
257,205,2,17
257,125,2,18
257,32,2,19
257,10,2,20
257,0,2,21
339,9415,2,1
339,9469,2,2
339,9205,2,3
339,12677,2,4
339,16945,2,5
339,14602,2,6
339,11544,2,7
339,10049,2,8
339,9270,2,9
339,8862,2,10
339,9829,2,11
339,9247,2,12
339,7841,2,13
339,6256,2,14
339,5171,2,15
339,3637,2,16
339,2556,2,17
339,1509,2,18
339,453,2,19
339,106,2,20
339,26,2,21
115,272,2,1
115,295,2,2
115,260,2,3
115,235,2,4
115,242,2,5
115,404,2,6
115,400,2,7
115,340,2,8
115,308,2,9
115,242,2,10
115,251,2,11
115,181,2,12
115,160,2,13
115,113,2,14
115,68,2,15
115,33,2,16
115,12,2,17
115,2,2,18
115,0,2,19
115,1,2,20
115,0,2,21
151,2208,2,1
151,2255,2,2
151,2196,2,3
151,2617,2,4
151,2450,2,5
151,2779,2,6
151,2417,2,7
151,2569,2,8
151,2397,2,9
151,2157,2,10
151,2209,2,11
151,1891,2,12
151,1590,2,13
151,1286,2,14
151,1026,2,15
151,584,2,16
151,339,2,17
151,229,2,18
151,64,2,19
151,17,2,20
151,9,2,21
24,579,2,1
