year,region_id,cie_10_id,sex_id,casualities_count,casualities_rate_per_100_inhabitants
2011,5,C00-D48,2,1545,1.7649000000000001
2011,5,C00-D48,1,1376,1.5253999999999999
2011,5,E00-E90,2,247,0.2822
2011,5,E00-E90,1,229,0.2539
2011,5,I00-I99,2,1678,1.9168
2011,5,I00-I99,1,1659,1.8391
2011,5,J00-J99,2,517,0.5906
2011,5,J00-J99,1,538,0.5964
2011,5,K00-K93,2,393,0.4489
2011,5,K00-K93,1,326,0.3614
2011,5,V01-Y98,2,556,0.6351
2011,5,V01-Y98,1,203,0.225
2011,5,B20-B24,2,43,0.049100000000000005
2011,5,B20-B24,1,7,0.0078000000000000005
2011,5,V01-V99,2,141,0.1611
2011,5,V01-V99,1,39,0.0432
2011,5,X60-X84,2,173,0.19760000000000003
2011,5,X60-X84,1,37,0.040999999999999995
2012,5,C00-D48,2,1519,1.7176
2012,5,C00-D48,1,1446,1.5866
2012,5,E00-E90,2,267,0.3019
2012,5,E00-E90,1,310,0.34009999999999996
2012,5,I00-I99,2,1800,2.0353
2012,5,I00-I99,1,1773,1.9454
2012,5,J00-J99,2,588,0.6648999999999999
2012,5,J00-J99,1,554,0.6079
2012,5,K00-K93,2,439,0.4964
2012,5,K00-K93,1,392,0.4301
2012,5,V01-Y98,2,488,0.5518
2012,5,V01-Y98,1,201,0.2205
2012,5,B20-B24,2,30,0.0339
2012,5,B20-B24,1,10,0.011000000000000001
2012,5,V01-V99,2,126,0.1425
2012,5,V01-V99,1,33,0.0362
2012,5,X60-X84,2,143,0.1617
2012,5,X60-X84,1,42,0.0461
2013,5,C00-D48,2,1574,1.7899
2013,5,C00-D48,1,1461,1.6034
2013,5,E00-E90,2,254,0.2888
2013,5,E00-E90,1,317,0.3479
2013,5,I00-I99,2,1845,2.0980000000000003
2013,5,I00-I99,1,1772,1.9447999999999999
2013,5,J00-J99,2,562,0.6391
2013,5,J00-J99,1,560,0.6146
2013,5,K00-K93,2,481,0.547
2013,5,K00-K93,1,352,0.38630000000000003
2013,5,V01-Y98,2,494,0.5617
2013,5,V01-Y98,1,185,0.203
2013,5,B20-B24,2,52,0.0591
2013,5,B20-B24,1,5,0.0055000000000000005
2013,5,V01-V99,2,116,0.1319
2013,5,V01-V99,1,38,0.0417
2013,5,X60-X84,2,152,0.1728
2013,5,X60-X84,1,27,0.0296
