"","provincia","sex","occupation","2011","2013","2015"
"424","Arica","Hombre","3415",206612,342857,NA
"425","Arica","Hombre","3422",196920,500000,NA
"426","Arica","Hombre","3423",984600,698765,NA
"427","Arica","Hombre","3431",452730,401264,674157
"428","Arica","Hombre","3433",457042,415000,400000
"429","Arica","Hombre","3439",598482,400000,800000
"430","Arica","Hombre","3441",547000,700000,1400000
"431","Arica","Hombre","3442",2735000,561013,NA
"432","Arica","Hombre","3449",1110207,NA,NA
"433","Arica","Hombre","3450",936958,1181984,NA
"434","Arica","Hombre","3471",1232400,260606,150000
"435","Arica","Hombre","3473",287560,76596,120000
"436","Arica","Hombre","3480",379990,NA,253226
"437","Arica","Hombre","4113",421590,NA,NA
"438","Arica","Hombre","4115",275403,290002,800000
"439","Arica","Hombre","4121",875200,301923,500000
"440","Arica","Hombre","4122",339140,296129,400000
"441","Arica","Hombre","4131",202390,250000,450000
"442","Arica","Hombre","4132",153160,NA,450000
"443","Arica","Hombre","4133",1027000,696667,746000
"444","Arica","Hombre","4142",229740,NA,NA
"445","Arica","Hombre","4190",432319,414719,120000
"446","Arica","Hombre","4211",218800,213226,244000
"447","Arica","Hombre","4212",87520,NA,NA
"448","Arica","Hombre","4213",382900,380000,NA
"449","Arica","Hombre","4222",328200,265161,NA
"450","Arica","Hombre","4223",328200,306250,NA
"451","Arica","Hombre","5111",227917,298000,NA
"452","Arica","Hombre","5112",273500,192632,154000
"453","Arica","Hombre","5113",175040,300000,50000
"454","Arica","Hombre","5121",328200,450000,NA
"455","Arica","Hombre","5122",273500,299000,290667
"456","Arica","Hombre","5123",162190,190000,172113
"457","Arica","Hombre","5131",875200,262368,250000
"458","Arica","Hombre","5132",255617,290000,NA
"459","Arica","Hombre","5141",642472,300000,150000
"460","Arica","Hombre","5161",765800,250000,NA
"461","Arica","Hombre","5162",656400,754872,624302
"462","Arica","Hombre","5163",363188,568571,350000
"463","Arica","Hombre","5169",229455,272145,160000
"464","Arica","Hombre","5220",218800,210000,230781
"465","Arica","Hombre","5230",343514,184314,250000
"466","Arica","Hombre","6111",326515,210000,243136
"467","Arica","Hombre","6113",289178,202808,250000
"468","Arica","Hombre","6114",459943,NA,NA
"469","Arica","Hombre","6121",201271,NA,300000
"470","Arica","Hombre","6129",218800,NA,NA
"471","Arica","Hombre","6151",353206,398182,NA
"472","Arica","Hombre","6152",328200,200000,200000
"473","Arica","Hombre","6153",218800,300000,NA
"474","Arica","Hombre","7111",578081,430000,269767
"475","Arica","Hombre","7112",1273416,350000,NA
"476","Arica","Hombre","7121",207860,209412,NA
"477","Arica","Hombre","7122",218800,210000,250000
"478","Arica","Hombre","7123",192401,150806,NA
"479","Arica","Hombre","7124",350080,200000,241168
"480","Arica","Hombre","7129",318476,294839,580000
"481","Arica","Hombre","7131",437287,NA,NA
"482","Arica","Hombre","7136",225127,200000,368156
"483","Arica","Hombre","7137",382900,313462,449278
"484","Arica","Hombre","7141",273500,97273,291795
"485","Arica","Hombre","7142",821600,195283,169341
"486","Arica","Hombre","7143",199108,NA,NA
"487","Arica","Hombre","7212",350080,300000,268735
"488","Arica","Hombre","7213",821600,250000,280000
"489","Arica","Hombre","7214",201913,203929,548075
"490","Arica","Hombre","7221",156583,NA,NA
"491","Arica","Hombre","7223",547000,NA,200000
"492","Arica","Hombre","7231",328200,318889,300000
"493","Arica","Hombre","7232",1094000,NA,NA
"494","Arica","Hombre","7233",407223,500000,443721
"495","Arica","Hombre","7241",393362,452672,NA
"496","Arica","Hombre","7245",262560,223750,NA
"497","Arica","Hombre","7311",218800,NA,NA
"498","Arica","Hombre","7313",143780,600000,NA
"499","Arica","Hombre","7331",191450,300000,NA
"500","Arica","Hombre","7332",218800,100000,150000
"501","Arica","Hombre","7344",205400,NA,NA
"502","Arica","Hombre","7345",302035,207665,NA
"503","Arica","Hombre","7411",218800,210000,280000
"504","Arica","Hombre","7412",252304,198303,344565
