"","occupation","sex","2011","2013","2015"
"419","7129","Mujer",283233,323551,338840
"420","7131","Hombre",353277,296195,266961
"421","7132","Hombre",410981,290297,322078
"422","7132","Mujer",157943,211836,208358
"423","7133","Hombre",263648,241582,418508
"424","7134","Hombre",247269,283535,498593
"425","7135","Hombre",268194,258221,329752
"426","7136","Hombre",345449,303491,329526
"427","7136","Mujer",222237,238807,185524
"428","7137","Hombre",407676,358647,421849
"429","7137","Mujer",314758,238575,257603
"430","7141","Hombre",347693,273135,319590
"431","7141","Mujer",214121,257412,247982
"432","7142","Hombre",345809,320831,307007
"433","7142","Mujer",246150,246728,100000
"434","7143","Hombre",481974,150000,268354
"435","7211","Hombre",263647,429010,261441
"436","7212","Hombre",360512,338624,376267
"437","7212","Mujer",316550,263955,290422
"438","7213","Hombre",317718,293653,321980
"439","7214","Hombre",328905,424259,422618
"440","7214","Mujer",393249,105973,281177
"441","7216","Hombre",555789,366104,374947
"442","7216","Mujer",1027000,200000,NA
"443","7221","Hombre",433093,337458,293461
"444","7222","Hombre",343572,302492,371767
"445","7222","Mujer",109400,300000,300000
"446","7223","Hombre",570790,472442,414675
"447","7223","Mujer",302701,NA,205737
"448","7224","Hombre",328200,199897,712506
"449","7231","Hombre",411630,341044,399565
"450","7231","Mujer",315309,250487,302993
"451","7232","Hombre",671600,588612,563068
"452","7232","Mujer",415720,NA,147169
"453","7233","Hombre",521890,475080,584789
"454","7233","Mujer",396112,245620,394714
"455","7241","Hombre",394130,458003,498473
"456","7241","Mujer",523081,466617,333865
"457","7242","Hombre",403829,399159,365593
"458","7243","Hombre",378453,397371,446622
"459","7243","Mujer",254135,241854,330168
"460","7244","Hombre",394295,414176,400069
"461","7244","Mujer",273500,286683,300000
"462","7245","Hombre",418540,419979,362858
"463","7311","Hombre",392187,286568,450809
"464","7311","Mujer",435454,191594,354172
"465","7312","Hombre",613899,217305,396000
"466","7313","Hombre",589271,385798,423954
"467","7313","Mujer",568389,227811,237851
"468","7321","Hombre",323567,210920,253042
"469","7321","Mujer",324462,267560,548225
"470","7322",NA,NA,NA,NA
"471","7324","Hombre",311683,250352,266419
"472","7324","Mujer",187767,109734,210429
"473","7331","Hombre",272576,213830,167833
"474","7331","Mujer",232096,124225,154982
"475","7332","Hombre",321645,184960,259019
"476","7332","Mujer",128162,108988,98599
"477","7341","Hombre",460806,292442,372889
"478","7341","Mujer",196920,210000,188829
"479","7342",NA,NA,NA,NA
"480","7343","Hombre",475193,352751,249715
"481","7343","Mujer",211977,205190,243691
"482","7344","Hombre",491952,193900,275014
"483","7345","Hombre",338368,219945,428873
"484","7345","Mujer",197102,121726,336487
"485","7346","Hombre",300857,672520,494705
"486","7346","Mujer",210025,229053,138562
"487","7411","Hombre",232282,244574,303954
"488","7411","Mujer",173151,213974,279259
"489","7412","Hombre",280012,257254,313208
"490","7412","Mujer",238916,164768,215598
"491","7413","Hombre",238265,183534,346093
