"","region","sex","occupation","2011","2013","2015"
"236","Antofagasta","Mujer","0110",1203400,480000,NA
"237","Antofagasta","Mujer","1120",1083060,NA,750000
"238","Antofagasta","Mujer","1229",1285149,1131818,1178689
"239","Antofagasta","Mujer","1239",1643200,1000000,NA
"240","Antofagasta","Mujer","1313",3081000,NA,400000
"241","Antofagasta","Mujer","1314",210560,329140,280000
"242","Antofagasta","Mujer","1315",1414115,400000,275312
"243","Antofagasta","Mujer","1316",308100,1000000,NA
"244","Antofagasta","Mujer","1317",754111,823077,NA
"245","Antofagasta","Mujer","1318",16432000,380984,NA
"246","Antofagasta","Mujer","1319",2238672,349432,NA
"247","Antofagasta","Mujer","2113",539593,1382022,NA
"248","Antofagasta","Mujer","2122",164100,NA,NA
"249","Antofagasta","Mujer","2131",470945,850000,NA
"250","Antofagasta","Mujer","2132",416762,600000,NA
"251","Antofagasta","Mujer","2141",933319,1200000,NA
"252","Antofagasta","Mujer","2142",999384,1073504,1100000
"253","Antofagasta","Mujer","2146",274454,NA,NA
"254","Antofagasta","Mujer","2147",402791,1000000,NA
"255","Antofagasta","Mujer","2148",1520484,NA,NA
"256","Antofagasta","Mujer","2149",1101633,1000000,824852
"257","Antofagasta","Mujer","2211",301246,500000,NA
"258","Antofagasta","Mujer","2213",638896,NA,NA
"259","Antofagasta","Mujer","2221",635979,3355172,1600000
"260","Antofagasta","Mujer","2222",2188000,587186,660092
"261","Antofagasta","Mujer","2223",732980,1600000,1200000
"262","Antofagasta","Mujer","2229",539657,NA,767391
"263","Antofagasta","Mujer","2230",768426,1035890,900000
"264","Antofagasta","Mujer","2310",767118,570981,397442
"265","Antofagasta","Mujer","2320",754018,607781,774976
"266","Antofagasta","Mujer","2331",535925,600000,600000
"267","Antofagasta","Mujer","2332",412529,650000,505081
"268","Antofagasta","Mujer","2340",603437,592426,587859
"269","Antofagasta","Mujer","2351",699175,NA,NA
"270","Antofagasta","Mujer","2352",251620,1000000,NA
"271","Antofagasta","Mujer","2359",410800,893000,NA
"272","Antofagasta","Mujer","2411",515312,800000,1022222
"273","Antofagasta","Mujer","2412",984600,741538,600000
"274","Antofagasta","Mujer","2419",606258,871419,575111
"275","Antofagasta","Mujer","2421",1017293,1200000,1009417
"276","Antofagasta","Mujer","2429",328200,NA,550000
"277","Antofagasta","Mujer","2432",213385,NA,320000
"278","Antofagasta","Mujer","2441",1094000,NA,NA
"279","Antofagasta","Mujer","2442",496714,511075,NA
"280","Antofagasta","Mujer","2445",547000,1003604,600000
"281","Antofagasta","Mujer","2446",602017,650000,687791
"282","Antofagasta","Mujer","2451",765800,397087,864189
"283","Antofagasta","Mujer","2452",875200,NA,NA
"284","Antofagasta","Mujer","2453",205400,NA,NA
"285","Antofagasta","Mujer","2455",656400,NA,NA
"286","Antofagasta","Mujer","3116",437600,622018,NA
"287","Antofagasta","Mujer","3117",747567,600000,NA
"288","Antofagasta","Mujer","3121",240680,NA,NA
"289","Antofagasta","Mujer","3131",780520,80000,NA
"290","Antofagasta","Mujer","3151",437600,582813,712879
"291","Antofagasta","Mujer","3152",692145,1240000,700000
"292","Antofagasta","Mujer","3221",474231,1186341,400000
"293","Antofagasta","Mujer","3223",629150,159735,700000
"294","Antofagasta","Mujer","3225",321806,286591,467120
"295","Antofagasta","Mujer","3226",703888,597332,605916
"296","Antofagasta","Mujer","3229",289910,588824,NA
"297","Antofagasta","Mujer","3231",328200,327384,460000
"298","Antofagasta","Mujer","3310",254244,192594,300000
"299","Antofagasta","Mujer","3320",271559,233684,319483
"300","Antofagasta","Mujer","3330",218800,NA,366667
"301","Antofagasta","Mujer","3411",531236,485220,547326
"302","Antofagasta","Mujer","3412",598482,544022,314000
"303","Antofagasta","Mujer","3413",951547,605504,313842
"304","Antofagasta","Mujer","3415",308965,565057,529230
"305","Antofagasta","Mujer","3419",328200,553862,NA
"306","Antofagasta","Mujer","3421",940840,NA,NA
"307","Antofagasta","Mujer","3422",415720,NA,NA
"308","Antofagasta","Mujer","3429",109400,NA,804823
"309","Antofagasta","Mujer","3431",430252,443818,450000
