"","region","sex","occupation","2011","2013","2015"
"406","Araucanía","Hombre","1311",411769,1691632,890093
"407","Araucanía","Hombre","1313",282425,1424664,601099
"408","Araucanía","Hombre","1314",377517,411211,564804
"409","Araucanía","Hombre","1315",1581359,439816,462513
"410","Araucanía","Hombre","1316",1412247,352096,741739
"411","Araucanía","Hombre","1317",3747322,NA,2620000
"412","Araucanía","Hombre","1318",2054000,NA,648148
"413","Araucanía","Hombre","1319",682842,913973,1363013
"414","Araucanía","Hombre","2131",701053,882599,663592
"415","Araucanía","Hombre","2141",1635282,850221,1084984
"416","Araucanía","Hombre","2142",1508512,1003647,1154213
"417","Araucanía","Hombre","2143",1408402,1009750,629592
"418","Araucanía","Hombre","2144",311848,NA,NA
"419","Araucanía","Hombre","2145",1275831,705492,790064
"420","Araucanía","Hombre","2149",1500675,929315,1131414
"421","Araucanía","Hombre","2213",1016609,938394,881788
"422","Araucanía","Hombre","2221",1772651,2281452,3166252
"423","Araucanía","Hombre","2223",984600,680357,614920
"424","Araucanía","Hombre","2229",875200,200000,946630
"425","Araucanía","Hombre","2230",853320,512849,NA
"426","Araucanía","Hombre","2310",1045912,793274,1116155
"427","Araucanía","Hombre","2320",819942,557625,641936
"428","Araucanía","Hombre","2331",636440,695886,685703
"429","Araucanía","Hombre","2352",439725,NA,1200000
"430","Araucanía","Hombre","2411",901274,696743,761472
"431","Araucanía","Hombre","2419",739132,943585,424022
"432","Araucanía","Hombre","2421",1616098,1116578,3651149
"433","Araucanía","Hombre","2422",1437800,NA,NA
"434","Araucanía","Hombre","2441",555334,NA,NA
"435","Araucanía","Hombre","2446",617844,587267,1015509
"436","Araucanía","Hombre","2452",1094000,220000,216231
"437","Araucanía","Hombre","2453",593231,NA,300000
"438","Araucanía","Hombre","2455",1531600,1000000,NA
"439","Araucanía","Hombre","2460",295366,306971,250000
"440","Araucanía","Hombre","3113",718900,435385,500000
"441","Araucanía","Hombre","3114",904448,394167,241000
"442","Araucanía","Hombre","3118",288847,821750,241000
"443","Araucanía","Hombre","3121",424331,335453,459324
"444","Araucanía","Hombre","3122",459480,400000,382807
"445","Araucanía","Hombre","3131",499074,385609,445197
"446","Araucanía","Hombre","3151",328200,361691,682193
"447","Araucanía","Hombre","3152",273500,524213,607569
"448","Araucanía","Hombre","3212",436894,318735,379949
"449","Araucanía","Hombre","3213",1094000,272024,1000000
"450","Araucanía","Hombre","3221",382900,1500000,331542
"451","Araucanía","Hombre","3226",747597,570450,678367
"452","Araucanía","Hombre","3229",415720,350000,NA
"453","Araucanía","Hombre","3231",424113,337576,437106
"454","Araucanía","Hombre","3310",302759,498020,237874
"455","Araucanía","Hombre","3340",820500,418017,320134
"456","Araucanía","Hombre","3411",382900,961191,584684
"457","Araucanía","Hombre","3413",508605,300179,243333
"458","Araucanía","Hombre","3419",1641000,NA,NA
"459","Araucanía","Hombre","3431",261090,531047,404155
"460","Araucanía","Hombre","3432",763271,420000,630675
"461","Araucanía","Hombre","3433",541343,700000,576098
"462","Araucanía","Hombre","3439",444634,247059,563919
"463","Araucanía","Hombre","3444",867542,NA,450000
"464","Araucanía","Hombre","3449",1244215,868889,400000
"465","Araucanía","Hombre","3450",1066650,675000,1861326
"466","Araucanía","Hombre","3460",437600,NA,329042
"467","Araucanía","Hombre","3471",852350,303576,691731
"468","Araucanía","Hombre","3472",281942,247930,445902
"469","Araucanía","Hombre","3473",2948484,490753,169572
"470","Araucanía","Hombre","3474",718900,173409,NA
"471","Araucanía","Hombre","3475",273500,504808,280000
"472","Araucanía","Hombre","3480",443133,NA,358046
"473","Araucanía","Hombre","4115",308100,449682,323431
"474","Araucanía","Hombre","4121",1127985,397305,309887
"475","Araucanía","Hombre","4122",328200,303770,320706
"476","Araucanía","Hombre","4131",298859,283254,309340
"477","Araucanía","Hombre","4133",340192,318032,442458
"478","Araucanía","Hombre","4142",266570,254634,303164
"479","Araucanía","Hombre","4190",383011,386878,374185
"480","Araucanía","Hombre","4211",326373,404644,295244
"481","Araucanía","Hombre","4213",209423,200000,400000
"482","Araucanía","Hombre","4215",415720,247358,397727
"483","Araucanía","Hombre","4221",273500,260000,250000
"484","Araucanía","Hombre","4222",179089,250897,284351
"485","Araucanía","Hombre","4223",680875,230000,534093
"486","Araucanía","Hombre","5112",257458,228284,280601
"487","Araucanía","Hombre","5113",476671,320739,291681
"488","Araucanía","Hombre","5121",210702,210000,250000
"489","Araucanía","Hombre","5122",315468,431972,263016
"490","Araucanía","Hombre","5123",182449,194289,173989
"491","Araucanía","Hombre","5131",209829,224897,385679
"492","Araucanía","Hombre","5132",520117,390755,373556
"493","Araucanía","Hombre","5133",718900,NA,40000
"494","Araucanía","Hombre","5141",303396,127483,243176
"495","Araucanía","Hombre","5162",542367,670458,678891
"496","Araucanía","Hombre","5163",696166,505623,768901
"497","Araucanía","Hombre","5169",248294,289715,291932
"498","Araucanía","Hombre","5220",253712,266850,348236
"499","Araucanía","Hombre","5230",304579,199221,246149
"500","Araucanía","Hombre","6111",226630,385519,190638
"501","Araucanía","Hombre","6112",230413,266941,298281
"502","Araucanía","Hombre","6113",226312,185977,189323
"503","Araucanía","Hombre","6114",250661,NA,NA
"504","Araucanía","Hombre","6121",283472,224847,268146
"505","Araucanía","Hombre","6122",159724,NA,200000
"506","Araucanía","Hombre","6123",388581,186399,255914
"507","Araucanía","Hombre","6129",175040,250000,302185
"508","Araucanía","Hombre","6130",513500,129148,251280
"509","Araucanía","Hombre","6141",184829,171924,181926
"510","Araucanía","Hombre","6142",174172,76341,140138
"511","Araucanía","Hombre","6151",388329,236572,267076
"512","Araucanía","Hombre","6152",197632,85552,NA
"513","Araucanía","Hombre","6154",251620,NA,NA
