"","provincia","sex","occupation","2011","2013","2015"
"281","Antofagasta","Mujer","3422",415720,NA,NA
"282","Antofagasta","Mujer","3429",109400,NA,804823
"283","Antofagasta","Mujer","3431",420070,440864,NA
"284","Antofagasta","Mujer","3432",438113,600000,325000
"285","Antofagasta","Mujer","3433",454933,284809,1231868
"286","Antofagasta","Mujer","3439",522883,724396,NA
"287","Antofagasta","Mujer","3442",2188000,NA,NA
"288","Antofagasta","Mujer","3449",470420,337615,386130
"289","Antofagasta","Mujer","3460",185980,469811,NA
"290","Antofagasta","Mujer","3471",205615,278409,7126500
"291","Antofagasta","Mujer","3473",305823,NA,NA
"292","Antofagasta","Mujer","3475",291276,NA,NA
"293","Antofagasta","Mujer","4112",240680,NA,NA
"294","Antofagasta","Mujer","4115",407063,360252,370379
"295","Antofagasta","Mujer","4121",455894,343134,719759
"296","Antofagasta","Mujer","4122",237504,500000,682062
"297","Antofagasta","Mujer","4131",462050,336165,442387
"298","Antofagasta","Mujer","4132",464902,230000,NA
"299","Antofagasta","Mujer","4133",492300,233869,235275
"300","Antofagasta","Mujer","4144",251620,NA,3000000
"301","Antofagasta","Mujer","4190",344459,337997,553361
"302","Antofagasta","Mujer","4211",222040,262157,314205
"303","Antofagasta","Mujer","4212",61620,NA,NA
"304","Antofagasta","Mujer","4213",482565,342000,332353
"305","Antofagasta","Mujer","4215",256077,NA,NA
"306","Antofagasta","Mujer","4222",290832,371463,322779
"307","Antofagasta","Mujer","4223",354560,373744,257134
"308","Antofagasta","Mujer","5111",366761,350000,NA
"309","Antofagasta","Mujer","5121",1149067,323404,NA
"310","Antofagasta","Mujer","5122",273902,262224,245568
"311","Antofagasta","Mujer","5123",255497,272436,179111
"312","Antofagasta","Mujer","5131",212520,240861,214519
"313","Antofagasta","Mujer","5132",333451,269722,290000
"314","Antofagasta","Mujer","5133",191854,199561,NA
"315","Antofagasta","Mujer","5139",170664,NA,221982
"316","Antofagasta","Mujer","5141",640339,236522,285953
"317","Antofagasta","Mujer","5143",382900,NA,NA
"318","Antofagasta","Mujer","5151",251620,NA,NA
"319","Antofagasta","Mujer","5220",298454,249952,348702
"320","Antofagasta","Mujer","5230",242762,245443,188506
"321","Antofagasta","Mujer","6113",245895,210976,350000
"322","Antofagasta","Mujer","6141",718900,NA,NA
"323","Antofagasta","Mujer","7111",1002226,1184375,NA
"324","Antofagasta","Mujer","7212",199108,NA,NA
"325","Antofagasta","Mujer","7222",109400,NA,NA
"326","Antofagasta","Mujer","7231",588500,NA,350000
"327","Antofagasta","Mujer","7233",436085,NA,NA
"328","Antofagasta","Mujer","7331",445302,NA,200000
"329","Antofagasta","Mujer","7345",201296,NA,NA
"330","Antofagasta","Mujer","7411",230601,208911,NA
"331","Antofagasta","Mujer","7412",414755,225994,246748
"332","Antofagasta","Mujer","7433",317069,169176,219467
"333","Antofagasta","Mujer","7435",164100,NA,NA
"334","Antofagasta","Mujer","7436",212373,173062,530465
"335","Antofagasta","Mujer","7437",924300,NA,NA
"336","Antofagasta","Mujer","8111",175040,NA,NA
"337","Antofagasta","Mujer","8163",328200,320000,NA
"338","Antofagasta","Mujer","8251",88778,NA,NA
"339","Antofagasta","Mujer","8262",196920,NA,NA
"340","Antofagasta","Mujer","8322",540868,316279,427000
"341","Antofagasta","Mujer","8323",287976,416927,443464
"342","Antofagasta","Mujer","8324",731456,620679,NA
"343","Antofagasta","Mujer","8331",979130,NA,NA
"344","Antofagasta","Mujer","8332",109400,800000,800000
"345","Antofagasta","Mujer","8333",538461,NA,615000
"346","Antofagasta","Mujer","9111",224209,174912,43946
"347","Antofagasta","Mujer","9112",177929,100519,124682
"348","Antofagasta","Mujer","9113",492588,144662,NA
"349","Antofagasta","Mujer","9120",205400,NA,NA
"350","Antofagasta","Mujer","9131",180117,166219,225099
"351","Antofagasta","Mujer","9132",206334,261475,252318
"352","Antofagasta","Mujer","9133",207050,127909,240000
"353","Antofagasta","Mujer","9141",239524,293006,350000
"354","Antofagasta","Mujer","9142",218800,250000,NA
"355","Antofagasta","Mujer","9151",187083,209677,285006
"356","Antofagasta","Mujer","9152",305209,330859,NA
"357","Antofagasta","Mujer","9161",199971,NA,NA
"358","Antofagasta","Mujer","9162",295284,137000,263132
"359","Antofagasta","Mujer","9211",199108,NA,NA
"360","Antofagasta","Mujer","9313",231065,NA,350000
"361","Antofagasta","Mujer","9322",178905,120853,202329
"362","Antofagasta","Mujer","9333",350080,280000,400000
"363","Antofagasta","Mujer","9999",381619,100000,NA
"364","Arica","Hombre","0110",579076,753688,594747
"365","Arica","Hombre","1120",503240,NA,NA
"366","Arica","Hombre","1210",2188000,NA,NA
"367","Arica","Hombre","1232",765800,1340000,NA
"368","Arica","Hombre","1311",1004178,445571,NA
"369","Arica","Hombre","1313",1232400,NA,900000
"370","Arica","Hombre","1314",595259,315518,454602
"371","Arica","Hombre","1315",415079,290321,300000
"372","Arica","Hombre","1316",1408381,348000,1886357
"373","Arica","Hombre","1318",4108000,3000000,NA
"374","Arica","Hombre","1319",4108000,913953,NA
"375","Arica","Hombre","2113",773309,625000,1251739
"376","Arica","Hombre","2122",601700,NA,NA
"377","Arica","Hombre","2131",960536,586735,NA
"378","Arica","Hombre","2132",487742,400000,NA
"379","Arica","Hombre","2141",652844,NA,800000
"380","Arica","Hombre","2142",999794,1329450,1648098
"381","Arica","Hombre","2143",1677467,779787,3000000
"382","Arica","Hombre","2146",1094000,650000,NA
"383","Arica","Hombre","2147",1591770,926271,NA
"384","Arica","Hombre","2148",765800,NA,NA
"385","Arica","Hombre","2149",724380,797993,1381861
"386","Arica","Hombre","2221",1193554,2724528,2309333
"387","Arica","Hombre","2229",382900,NA,NA
"388","Arica","Hombre","2230",1422200,467414,NA
"389","Arica","Hombre","2310",706561,464583,1131527
"390","Arica","Hombre","2320",479432,554865,483720
