"","comuna","sex","occupation","2011","2013","2015"
"490","Antofagasta","Hombre","8159",892361,NA,NA
"491","Antofagasta","Hombre","8162",1020155,250000,NA
"492","Antofagasta","Hombre","8163",547000,700000,600000
"493","Antofagasta","Hombre","8211",493452,670386,NA
"494","Antofagasta","Hombre","8212",329678,380769,500000
"495","Antofagasta","Hombre","8222",538381,625214,600000
"496","Antofagasta","Hombre","8223",350080,NA,NA
"497","Antofagasta","Hombre","8229",465474,786824,260000
"498","Antofagasta","Hombre","8231",829405,452790,350000
"499","Antofagasta","Hombre","8264",415720,NA,525000
"500","Antofagasta","Hombre","8271",568880,NA,NA
"501","Antofagasta","Hombre","8281",765800,NA,NA
"502","Antofagasta","Hombre","8290",678280,455556,815335
"503","Antofagasta","Hombre","8311",302265,562185,373206
"504","Antofagasta","Hombre","8312",229740,350000,NA
"505","Antofagasta","Hombre","8321",258913,NA,NA
"506","Antofagasta","Hombre","8322",328200,379259,500000
