"","geography_level","geography_name","geography_id","year","sex","branch","weighted_mean_income","weighted_median_income","ci_weighted_mean_income","ci_weighted_median_income"
"100","provincia","Aysén","p112","2011","Hombre","Agricultura, Ganadería, Caza y Silvicultura",307342,218800,"[236985, 387233]","[202352, 273500]"
"101","provincia","Aysén","p112","2011","Hombre","Pesca",418951,308100,"[359022, 482952]","[273500, 377936]"
"102","provincia","Aysén","p112","2011","Hombre","Explotación de Minas y Canteras",423013,333173,"[294099, 525485]","[254928, 656400]"
"103","provincia","Aysén","p112","2011","Hombre","Industrias Manufactureras",386461,305369,"[309866, 513332]","[218800, 349180]"
"104","provincia","Aysén","p112","2011","Hombre","Electricidad, Gas y Agua",297890,284440,"[284440, 378313]","[284440, 350695]"
"105","provincia","Aysén","p112","2011","Hombre","Construcción",464080,291731,"[357066, 612426]","[222040, 379624]"
"106","provincia","Aysén","p112","2011","Hombre","Comercio",459289,288648,"[380251, 573816]","[256816, 366529]"
"107","provincia","Aysén","p112","2011","Hombre","Hoteles y Restaurantes",535074,452290,"[407954, 694328]","[394428, 699102]"
"108","provincia","Aysén","p112","2011","Hombre","Transporte, Almacenamiento y Comunicaciones",484159,328200,"[363153, 629990]","[295380, 407431]"
"109","provincia","Aysén","p112","2011","Hombre","Intermediación Financiera",328200,328200,"[328200, 328200]","[328200, 328200]"
"110","provincia","Aysén","p112","2011","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",738607,325866,"[346286, 1675372]","[199108, 1051943]"
"111","provincia","Aysén","p112","2011","Hombre","Administración Pública y Defensa",775613,656400,"[620382, 974083]","[536701, 875200]"
"112","provincia","Aysén","p112","2011","Hombre","Enseñanza",664949,382900,"[420010, 1079646]","[328200, 875200]"
"113","provincia","Aysén","p112","2011","Hombre","Servicios Sociales y de Salud",2209160,1863852,"[704385, 3282000]","[300850, 3282000]"
"114","provincia","Aysén","p112","2011","Hombre","Otras Actividades de Servicios",458234,315697,"[281896, 631867]","[205400, 722172]"
"115","provincia","Aysén","p112","2011","Hombre","Servicio Doméstico",260858,260858,"[246480, 267020]","[246480, 267020]"
"116","provincia","Aysén","p112","2011","Mujer","Agricultura, Ganadería, Caza y Silvicultura",346916,214014,"[192949, 471319]","[202878, 619047]"
"117","provincia","Aysén","p112","2011","Mujer","Pesca",273463,218800,"[224702, 360027]","[208292, 248874]"
"118","provincia","Aysén","p112","2011","Mujer","Industrias Manufactureras",320503,207157,"[252549, 487137]","[200012, 297907]"
"119","provincia","Aysén","p112","2011","Mujer","Electricidad, Gas y Agua",382900,382900,"[382900, 382900]","[382900, 382900]"
"120","provincia","Aysén","p112","2011","Mujer","Construcción",383119,298896,"[259486, 577331]","[242540, 656400]"
"121","provincia","Aysén","p112","2011","Mujer","Comercio",283558,202239,"[233750, 355703]","[197676, 206696]"
"122","provincia","Aysén","p112","2011","Mujer","Hoteles y Restaurantes",655531,292254,"[399677, 934640]","[201552, 759684]"
"123","provincia","Aysén","p112","2011","Mujer","Transporte, Almacenamiento y Comunicaciones",625217,443163,"[306474, 1420670]","[192544, 795925]"
"124","provincia","Aysén","p112","2011","Mujer","Intermediación Financiera",1312800,1312800,"[1312800, 1312800]","[1312800, 1312800]"
"125","provincia","Aysén","p112","2011","Mujer","Actividades Inmobiliarias, Empresariales y de Alquiler",386341,218800,"[213268, 817425]","[182004, 656400]"
"126","provincia","Aysén","p112","2011","Mujer","Administración Pública y Defensa",399133,350577,"[277207, 585367]","[199108, 393840]"
"127","provincia","Aysén","p112","2011","Mujer","Enseñanza",367523,252093,"[296950, 466766]","[218800, 328200]"
"128","provincia","Aysén","p112","2011","Mujer","Servicios Sociales y de Salud",586847,652192,"[492105, 722206]","[383636, 875200]"
"129","provincia","Aysén","p112","2011","Mujer","Otras Actividades de Servicios",715237,616200,"[479838, 916819]","[513500, 980785]"
"130","provincia","Aysén","p112","2011","Mujer","Servicio Doméstico",128506,111364,"[106822, 147505]","[108580, 164284]"
"131","provincia","Bíobío","p83","2011","Hombre","Agricultura, Ganadería, Caza y Silvicultura",250184,199108,"[216050, 286045]","[196920, 199108]"
"132","provincia","Bíobío","p83","2011","Hombre","Pesca",224241,224241,"[218800, 229740]","[218800, 229740]"
"133","provincia","Bíobío","p83","2011","Hombre","Explotación de Minas y Canteras",536106,527863,"[382730, 699239]","[361216, 547000]"
"134","provincia","Bíobío","p83","2011","Hombre","Industrias Manufactureras",339450,251620,"[286976, 433185]","[207860, 273500]"
"135","provincia","Bíobío","p83","2011","Hombre","Electricidad, Gas y Agua",311085,218800,"[237118, 440833]","[211968, 275544]"
"136","provincia","Bíobío","p83","2011","Hombre","Construcción",294309,210036,"[249139, 355239]","[199108, 218800]"
"137","provincia","Bíobío","p83","2011","Hombre","Comercio",340035,218800,"[277226, 414569]","[216261, 271316]"
"138","provincia","Bíobío","p83","2011","Hombre","Hoteles y Restaurantes",284834,213018,"[186684, 1019786]","[196920, 266460]"
"139","provincia","Bíobío","p83","2011","Hombre","Transporte, Almacenamiento y Comunicaciones",414361,318028,"[324365, 551923]","[273500, 382900]"
"140","provincia","Bíobío","p83","2011","Hombre","Intermediación Financiera",358974,346372,"[281594, 437600]","[273500, 437600]"
