carrera_id,area_id,region_id,institution_id,program,degree,specialization_or_observations
22055,9,15,111,Nutrición y Dietética,NA,NA
22102,9,1,111,Nutrición y Dietética,NA,NA
33072,9,12,107,Nutrición y Dietética,NA,NA
24065,9,2,92,Nutrición y Dietética,NA,NA
34027,9,7,110,Nutrición y Dietética,NA,NA
44020,9,13,102,Nutrición y Dietética,NA,NA
44035,9,8,102,Nutrición y Dietética,NA,NA
27051,9,3,95,Nutrición y Dietética,NA,NA
30029,9,9,98,Nutrición y Dietética,NA,NA
36051,9,8,85,Nutrición y Dietética,NA,NA
32029,9,10,105,Nutrición y Dietética,NA,NA
12060,9,13,72,Nutrición y Dietética,NA,NA
13050,9,8,97,Nutrición y Dietética,NA,NA
18091,9,4,87,Nutrición y Dietética,NA,NA
19091,9,5,112,Nutrición y Dietética,NA,NA
35007,9,7,86,Nutrición y Dietética,NA,NA
37067,9,9,88,Nutrición y Dietética,NA,NA
39120,9,13,120,Nutrición y Dietética,NA,NA
39413,9,9,120,Nutrición y Dietética,NA,NA
40072,9,13,115,Nutrición y Dietética,NA,NA
41057,9,13,78,Nutrición y Dietética,NA,NA
41096,9,5,78,Nutrición y Dietética,NA,NA
41125,9,8,78,Nutrición y Dietética,NA,NA
43017,9,13,104,Nutrición y Dietética,NA,NA
41159,9,8,78,Obstetricia,NA,NA
38323,9,13,114,Obstetricia y Neonatología,NA,NA
17015,9,14,80,Obstetricia y Puericultura,Licenciatura en Obstetricia y Puericultura,NA
11085,9,13,96,Obstetricia y Puericultura,Licenciatura en Obstetricia y Puericultura,NA
16093,9,13,109,Obstetricia y Puericultura,NA,NA
24013,9,2,92,Obstetricia y Puericultura,NA,NA
27052,9,3,95,Obstetricia y Puericultura,NA,NA
30032,9,9,98,Obstetricia y Puericultura,NA,NA
13088,9,8,97,Obstetricia y Puericultura,NA,NA
19036,9,5,112,Obstetricia y Puericultura,NA,NA
19047,9,5,112,Obstetricia y Puericultura,NA,NA
22040,NA,NA,111,Obstetricia y Puericultura,NA,NA
39121,9,13,120,Obstetricia y Puericultura,NA,NA
39414,9,9,120,Obstetricia y Puericultura,NA,NA
43032,9,13,104,Obstetricia y Puericultura,NA,NA
14080,1,5,73,Oceanografía,NA,NA
17089,9,14,80,Odontología,Licenciatura en Odontología,NA
11095,9,13,96,Odontología,Licenciatura en Odontología,NA
23077,9,1,79,Odontología,NA,NA
44021,9,13,102,Odontología,NA,NA
44036,9,8,102,Odontología,NA,NA
