"","geography_level","geography_name","geography_id","year","sexo","oficio","mean_income","median_income","ci_mean_income","ci_median_income"
"98","pais","País","pais","1998","Mujer","Trabajadores de Artes Mecánicas y Otros",121398,96006,"[114634, 128309]","[87975, 97750]"
"99","pais","País","pais","1998","Mujer","Trabajadores de Servicios y Vendedores",126060,95380,"[122475, 129501]","[90360, 97750]"
"100","pais","País","pais","1998","Mujer","Trabajadores No Calificados",81583,77308,"[80643, 82663]","[75300, 78285]"
"101","pais","País","pais","2000","Hombre","Empleados de Oficina",222313,180000,"[215286, 228882]","[180000, 188762]"
"102","pais","País","pais","2000","Hombre","Fuerzas Armadas",280323,280000,"[265456, 296562]","[250000, 3e+05]"
"103","pais","País","pais","2000","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos",658940,328680,"[613106, 696521]","[322134, 365200]"
"104","pais","País","pais","2000","Hombre","Operadores y Montadores de Instalaciones y Máquinas",194000,150000,"[190298, 197728]","[150000, 150000]"
"105","pais","País","pais","2000","Hombre","Profesionales, Científicos e Intelectuales",699763,450000,"[671848, 733696]","[423800, 472625]"
"106","pais","País","pais","2000","Hombre","Técnicos y Profesionales de Nivel Medio",350138,253000,"[340738, 364598]","[250000, 265250]"
"107","pais","País","pais","2000","Hombre","Trabajadores Agropecuarios y Pesqueros",128451,1e+05,"[125186, 131740]","[1e+05, 1e+05]"
"108","pais","País","pais","2000","Hombre","Trabajadores de Artes Mecánicas y Otros",179705,146080,"[176830, 181997]","[146080, 146080]"
"109","pais","País","pais","2000","Hombre","Trabajadores de Servicios y Vendedores",181757,140000,"[176403, 187765]","[135000, 144288]"
"110","pais","País","pais","2000","Hombre","Trabajadores No Calificados",103629,1e+05,"[102686, 104588]","[1e+05, 1e+05]"
"111","pais","País","pais","2000","Mujer","Empleados de Oficina",163613,140000,"[160402, 166780]","[140000, 150000]"
"112","pais","País","pais","2000","Mujer","Fuerzas Armadas",215909,225000,"[176534, 256216]","[130000, 280000]"
