"","geography_level","geography_name","geography_id","year","occupation","sex","weighted_mean_income","weighted_median_income","ci_weighted_mean_income","ci_weighted_median_income"
"140","pais","País","pais","2011","2445","Hombre",1086577,765800,"[743343, 1525096]","[601700, 982917]"
"141","pais","País","pais","2011","2445","Mujer",1148758,820500,"[917565, 1362355]","[617034, 975521]"
"142","pais","País","pais","2011","2446","Hombre",605187,494963,"[456911, 775235]","[344610, 732585]"
"143","pais","País","pais","2011","2446","Mujer",619442,560572,"[548933, 682030]","[534052, 635733]"
"144","pais","País","pais","2011","2451","Hombre",865937,759943,"[669200, 1117617]","[612640, 1112886]"
"145","pais","País","pais","2011","2451","Mujer",876194,765800,"[713738, 1127055]","[693256, 963160]"
"146","pais","País","pais","2011","2452","Hombre",653810,399232,"[355356, 1449749]","[306320, 1614533]"
"147","pais","País","pais","2011","2452","Mujer",665248,472201,"[440131, 961236]","[304227, 1028360]"
"148","pais","País","pais","2011","2453","Hombre",659339,498639,"[426840, 977584]","[123240, 929435]"
"149","pais","País","pais","2011","2453","Mujer",631833,662256,"[420426, 817151]","[459054, 813869]"
"150","pais","País","pais","2011","2454","Hombre",2054000,2054000,"[2054000, 2054000]","[2054000, 2054000]"
"151","pais","País","pais","2011","2454","Mujer",143780,143780,"[143780, 143780]","[143780, 143780]"
"152","pais","País","pais","2011","2455","Hombre",605982,625367,"[458751, 734865]","[382900, 857408]"
"153","pais","País","pais","2011","2455","Mujer",710230,584618,"[399768, 1124361]","[328200, 1027000]"
"154","pais","País","pais","2011","2460","Hombre",551583,363668,"[370061, 778198]","[324159, 720200]"
"155","pais","País","pais","2011","2460","Mujer",501696,499285,"[286482, 724855]","[282038, 732923]"
"156","pais","País","pais","2011","3111","Hombre",531411,441065,"[310450, 840112]","[329173, 984600]"
"157","pais","País","pais","2011","3111","Mujer",1203400,1203400,"[1203400, 1203400]","[1203400, 1203400]"
"158","pais","País","pais","2011","3112","Hombre",612928,517081,"[487332, 803415]","[391724, 723655]"
"159","pais","País","pais","2011","3112","Mujer",342963,266447,"[203091, 569483]","[164100, 681623]"
"160","pais","País","pais","2011","3113","Hombre",331562,215090,"[210324, 655337]","[210048, 751858]"
"161","pais","País","pais","2011","3113","Mujer",202390,202390,"[202390, 202390]","[202390, 202390]"
"162","pais","País","pais","2011","3114","Hombre",512164,437600,"[429841, 646769]","[328200, 514180]"
"163","pais","País","pais","2011","3114","Mujer",464501,465421,"[300531, 492300]","[299551, 492300]"
"164","pais","País","pais","2011","3115","Hombre",614890,648795,"[432062, 847097]","[267540, 886140]"
"165","pais","País","pais","2011","3116","Hombre",550192,455053,"[379383, 748634]","[328200, 875200]"
"166","pais","País","pais","2011","3116","Mujer",417714,376668,"[317260, 645739]","[317260, 706749]"
"167","pais","País","pais","2011","3117","Hombre",1223914,875200,"[850263, 1698710]","[656400, 1094000]"
"168","pais","País","pais","2011","3117","Mujer",766071,560813,"[399249, 1242265]","[337386, 1641000]"
"169","pais","País","pais","2011","3118","Hombre",434260,371531,"[354567, 571740]","[328200, 514565]"
"170","pais","País","pais","2011","3118","Mujer",436378,437600,"[354184, 590879]","[328200, 711100]"
"171","pais","País","pais","2011","3119","Hombre",724924,458774,"[321260, 1238854]","[229740, 1446838]"
"172","pais","País","pais","2011","3119","Mujer",351752,364070,"[205400, 507308]","[205400, 547000]"
"173","pais","País","pais","2011","3121","Hombre",548098,328200,"[403844, 776790]","[262560, 581331]"
"174","pais","País","pais","2011","3121","Mujer",427148,350080,"[316704, 578905]","[236742, 547000]"
"175","pais","País","pais","2011","3122","Hombre",536171,416972,"[351712, 774508]","[196920, 659207]"
"176","pais","País","pais","2011","3122","Mujer",293902,255348,"[218800, 514139]","[218800, 541605]"
"178","pais","País","pais","2011","3131","Hombre",492400,395585,"[370919, 630753]","[328200, 553313]"
"179","pais","País","pais","2011","3131","Mujer",516184,299439,"[259741, 763475]","[196571, 779375]"
"180","pais","País","pais","2011","3132","Hombre",424146,394907,"[298114, 551714]","[218800, 547000]"
"181","pais","País","pais","2011","3132","Mujer",386482,405318,"[279564, 473512]","[213706, 497770]"
"182","pais","País","pais","2011","3133","Hombre",103559,95383,"[46480, 185980]","[46768, 185980]"
"183","pais","País","pais","2011","3139","Hombre",443135,443135,"[147739, 547000]","[147739, 547000]"
"184","pais","País","pais","2011","3139","Mujer",109400,109400,"[109400, 109400]","[109400, 109400]"
"185","pais","País","pais","2011","3141","Hombre",277615,277615,"[164100, 481360]","[164100, 481360]"
"186","pais","País","pais","2011","3142","Hombre",1073984,428649,"[425994, 1764246]","[179516, 2188000]"
"187","pais","País","pais","2011","3143","Hombre",1114950,886897,"[430560, 1901180]","[218800, 2188000]"
"188","pais","País","pais","2011","3144","Hombre",707362,735580,"[459259, 967688]","[437600, 973590]"
"189","pais","País","pais","2011","3144","Mujer",3829000,3829000,"[3829000, 3829000]","[3829000, 3829000]"
"190","pais","País","pais","2011","3145","Hombre",299142,245877,"[209410, 435412]","[207860, 435412]"
"191","pais","País","pais","2011","3151","Hombre",494857,492300,"[394585, 680132]","[370934, 505852]"
"192","pais","País","pais","2011","3151","Mujer",267876,305749,"[92990, 474918]","[92990, 513500]"
"193","pais","País","pais","2011","3152","Hombre",583948,437600,"[474720, 715596]","[328200, 656400]"
"194","pais","País","pais","2011","3152","Mujer",518523,517021,"[418808, 764003]","[304096, 547000]"
"195","pais","País","pais","2011","3211","Hombre",7712779,7682385,"[1788464, 8752000]","[1805284, 8752000]"
