year,comuna_datachile_id,felony_id,cases
2007,43,10,1056
2007,43,11,226
2007,43,12,830
2007,43,13,4
2007,43,14,35
2008,43,1,406
2008,43,2,299
2008,43,3,2026
2008,43,4,139
2008,43,5,451
2008,43,6,961
2008,43,7,406
2008,43,8,69
2008,43,9,2503
2008,43,10,1206
2008,43,11,276
2008,43,12,930
2008,43,13,4
2008,43,14,46
2009,43,1,448
2009,43,2,329
2009,43,3,2357
2009,43,4,118
2009,43,5,555
2009,43,6,1095
2009,43,7,512
2009,43,8,77
2009,43,9,2677
2009,43,10,1019
2009,43,11,234
2009,43,12,785
2009,43,13,1
2009,43,14,35
2010,43,1,334
2010,43,2,269
2010,43,3,2036
2010,43,4,186
2010,43,5,460
2010,43,6,887
2010,43,7,402
2010,43,8,101
2010,43,9,2516
2010,43,10,1066
2010,43,11,225
2010,43,12,841
2010,43,13,2
2010,43,14,29
2011,43,1,398
2011,43,2,306
2011,43,3,2346
2011,43,4,133
2011,43,5,714
2011,43,6,959
2011,43,7,471
2011,43,8,69
2011,43,9,3149
2011,43,10,1143
2011,43,11,199
2011,43,12,944
2011,43,13,2
2011,43,14,41
2012,43,1,305
2012,43,2,263
2012,43,3,2308
2012,43,4,150
2012,43,5,484
2012,43,6,1046
2012,43,7,564
2012,43,8,64
2012,43,9,2771
2012,43,10,906
2012,43,11,164
2012,43,12,742
2012,43,13,5
2012,43,14,45
2013,43,1,371
2013,43,2,455
2013,43,3,1953
2013,43,4,125
2013,43,5,502
2013,43,6,806
2013,43,7,480
2013,43,8,40
2013,43,9,2664
2013,43,10,891
2013,43,11,172
2013,43,12,719
2013,43,13,1
2013,43,14,33
2014,43,1,342
2014,43,2,441
2014,43,3,1781
2014,43,4,126
2014,43,5,412
2014,43,6,724
2014,43,7,461
2014,43,8,58
2014,43,9,2421
2014,43,10,705
2014,43,11,149
2014,43,12,556
2014,43,13,4
2014,43,14,26
2015,43,1,351
2015,43,2,487
2015,43,3,2021
2015,43,4,192
2015,43,5,498
2015,43,6,749
2015,43,7,535
2015,43,8,47
2015,43,9,2547
2015,43,10,689
2015,43,11,143
2015,43,12,546
2015,43,13,1
2015,43,14,27
2016,43,1,353
2016,43,2,426
2016,43,3,1961
2016,43,4,198
2016,43,5,441
2016,43,6,737
2016,43,7,505
2016,43,8,80
2016,43,9,2308
2016,43,10,609
2016,43,11,156
2016,43,12,453
2016,43,13,2
2016,43,14,32
2005,44,1,37
2005,44,2,4
2005,44,3,216
2005,44,4,5
2005,44,5,16
2005,44,6,123
2005,44,7,61
2005,44,8,11
2005,44,9,136
2005,44,10,119
2005,44,11,38
2005,44,12,81
2005,44,13,2
2005,44,14,6
2006,44,1,21
2006,44,2,4
2006,44,3,200
2006,44,4,5
2006,44,5,6
2006,44,6,102
2006,44,7,60
2006,44,8,27
2006,44,9,77
2006,44,10,128
2006,44,11,37
2006,44,12,91
2006,44,13,0
2006,44,14,5
2007,44,1,30
2007,44,2,0
2007,44,3,212
2007,44,4,7
