year,election_id,comuna_datachile_id,total_electores,total_votacion
2017,2,70,86427,42520
2017,2,298,80495,43281
2017,2,41,64745,34340
2017,2,106,76227,40235
2017,2,152,156194,76680
2017,2,18,24289,12397
2017,2,328,12518,6191
2017,2,10,4440,2040
2017,2,250,9132,4503
2017,2,303,13008,6462
2017,2,248,4150,2209
2017,2,176,26264,12902
2017,2,181,8640,4803
2017,2,177,24219,12030
2017,2,131,21252,10467
2017,2,301,4511,2345
2017,2,342,19700,9997
2017,2,3,5290,2008
2017,2,136,21627,10067
2017,2,11,29925,15240
2017,2,76,30333,14713
2017,2,150,17286,8995
2017,2,28,28748,13768
2017,2,67,5834,3125
2017,2,320,8720,4431
2017,2,8,46499,23343
2017,2,263,9168,4669
2017,2,60,21603,10363
2017,2,149,11634,4913
2017,2,73,20745,8106
2017,2,89,7940,3510
2017,2,333,32115,15183
2017,2,326,18582,9027
2017,2,158,9068,4876
2017,2,240,12022,6122
2017,2,155,7396,4037
2017,2,314,228212,113308
2017,2,135,33042,15918
2017,2,214,6379,3326
2017,2,335,23004,11210
2017,2,72,19463,8560
2017,2,171,7290,3012
2017,2,77,7952,3477
2017,2,230,25198,11096
2017,2,338,50205,23404
2017,2,92,22184,10339
2017,2,222,22039,10901
2017,2,100,15396,7828
2017,2,147,22362,10439
2017,2,322,10438,4948
2017,2,316,13835,7549
2017,2,276,12801,5803
2017,2,29,24051,11197
2017,2,184,29880,14797
2017,2,98,11929,5599
2017,2,194,55662,25755
2017,2,46,9938,5245
