comuna_datachile_id,candidato_id,partido_id,votos_candidato,electo,year,election_id
109,8,0,26,0,2016,5
109,9,0,50,0,2016,5
109,972,11,2184,1,2016,5
109,973,8,986,0,2016,5
109,974,8,637,0,2016,5
109,975,7,364,0,2016,5
110,8,0,483,0,2016,5
110,9,0,265,0,2016,5
110,976,11,16208,1,2016,5
110,977,8,5944,0,2016,5
110,978,8,2412,0,2016,5
110,979,8,262,0,2016,5
111,8,0,110,0,2016,5
111,9,0,101,0,2016,5
111,980,8,6621,1,2016,5
111,981,8,4635,0,2016,5
111,982,8,909,0,2016,5
112,8,0,452,0,2016,5
112,9,0,235,0,2016,5
112,983,10,13463,1,2016,5
112,984,8,5018,0,2016,5
112,985,7,3513,0,2016,5
112,986,12,395,0,2016,5
113,8,0,1504,0,2016,5
113,9,0,557,0,2016,5
113,104,16,1156,0,2016,5
113,987,8,20229,1,2016,5
113,988,6,20108,0,2016,5
113,989,8,1513,0,2016,5
113,990,8,1176,0,2016,5
113,991,8,572,0,2016,5
114,8,0,190,0,2016,5
114,9,0,142,0,2016,5
114,992,9,5348,1,2016,5
114,993,7,4421,0,2016,5
114,994,12,500,0,2016,5
115,8,0,20,0,2016,5
115,9,0,18,0,2016,5
115,995,5,1328,1,2016,5
115,996,8,808,0,2016,5
115,997,8,245,0,2016,5
116,8,0,3,0,2016,5
116,9,0,1,0,2016,5
116,998,7,270,1,2016,5
116,999,4,258,0,2016,5
117,8,0,673,0,2016,5
117,9,0,294,0,2016,5
117,1000,11,11340,1,2016,5
117,1001,6,4798,0,2016,5
117,1002,13,4419,0,2016,5
118,8,0,97,0,2016,5
118,9,0,49,0,2016,5
118,1003,6,3940,1,2016,5
118,1004,10,3182,0,2016,5
118,1005,8,156,0,2016,5
118,1006,8,68,0,2016,5
119,8,0,33,0,2016,5
119,9,0,21,0,2016,5
119,1007,8,1130,1,2016,5
119,1008,8,838,0,2016,5
119,1009,9,507,0,2016,5
120,8,0,1876,0,2016,5
120,9,0,1031,0,2016,5
120,1010,8,56341,1,2016,5
120,1011,1,19785,0,2016,5
120,1012,13,3280,0,2016,5
120,1013,12,2557,0,2016,5
120,1014,28,1172,0,2016,5
121,8,0,880,0,2016,5
121,9,0,474,0,2016,5
121,1015,9,13439,1,2016,5
121,1016,25,2775,0,2016,5
121,1017,8,2626,0,2016,5
121,1018,8,1605,0,2016,5
121,1019,12,538,0,2016,5
122,8,0,28,0,2016,5
122,9,0,35,0,2016,5
122,1020,6,1662,1,2016,5
122,1021,10,739,0,2016,5
123,8,0,172,0,2016,5
123,9,0,123,0,2016,5
123,24,8,825,0,2016,5
123,1022,1,6860,1,2016,5
123,1023,7,5829,0,2016,5
123,1024,8,831,0,2016,5
124,8,0,1161,0,2016,5
124,9,0,686,0,2016,5
124,1025,9,8313,1,2016,5
124,1026,7,7270,0,2016,5
124,1027,8,6599,0,2016,5
124,1028,8,2463,0,2016,5
124,1029,5,1842,0,2016,5
124,1030,8,734,0,2016,5
125,8,0,662,0,2016,5
125,9,0,348,0,2016,5
125,142,4,1210,0,2016,5
125,1031,6,12893,1,2016,5
125,1032,9,12194,0,2016,5
125,1033,8,5556,0,2016,5
125,1034,12,552,0,2016,5
126,8,0,1084,0,2016,5
126,9,0,633,0,2016,5
126,1035,2,21899,1,2016,5
126,1036,8,6062,0,2016,5
126,1037,19,3860,0,2016,5
126,1038,25,2595,0,2016,5
126,1039,16,1387,0,2016,5
126,1040,8,1074,0,2016,5
126,1041,21,615,0,2016,5
127,8,0,193,0,2016,5
127,9,0,161,0,2016,5
127,1042,8,6983,1,2016,5
127,1043,11,5354,0,2016,5
127,1044,8,1389,0,2016,5
127,1045,5,137,0,2016,5
128,8,0,71,0,2016,5
128,9,0,75,0,2016,5
128,1046,7,2663,1,2016,5
128,1047,8,690,0,2016,5
128,1048,8,654,0,2016,5
128,1049,9,516,0,2016,5
129,8,0,18,0,2016,5
129,9,0,17,0,2016,5
129,1050,6,453,1,2016,5
129,1051,2,393,0,2016,5
129,1052,8,16,0,2016,5
129,1053,8,6,0,2016,5
130,8,0,5,0,2016,5
130,9,0,6,0,2016,5
130,1054,6,261,1,2016,5
130,1055,11,135,0,2016,5
130,1056,8,129,0,2016,5
130,1057,8,13,0,2016,5
130,1058,8,6,0,2016,5
131,8,0,156,0,2016,5
131,9,0,106,0,2016,5
131,1059,8,4611,1,2016,5
131,1060,10,4301,0,2016,5
131,1061,8,536,0,2016,5
132,8,0,74,0,2016,5
132,9,0,89,0,2016,5
132,1062,7,3420,1,2016,5
132,1063,9,2278,0,2016,5
132,1064,8,1378,0,2016,5
133,8,0,141,0,2016,5
133,9,0,149,0,2016,5
133,1065,6,4839,1,2016,5
133,1066,2,3424,0,2016,5
133,1067,8,1494,0,2016,5
134,8,0,2559,0,2016,5
134,9,0,1605,0,2016,5
134,532,6,67150,1,2016,5
134,1069,10,10976,0,2016,5
134,1070,8,6145,0,2016,5
134,1071,12,1074,0,2016,5
135,8,0,384,0,2016,5
135,9,0,307,0,2016,5
135,1072,8,8421,1,2016,5
135,1073,6,3147,0,2016,5
136,8,0,187,0,2016,5
136,9,0,204,0,2016,5
136,346,4,310,0,2016,5
136,1074,8,6083,1,2016,5
136,1075,6,2709,0,2016,5
137,8,0,39,0,2016,5
137,9,0,23,0,2016,5
137,1076,8,2288,1,2016,5
137,1077,6,1541,0,2016,5
137,1078,2,683,0,2016,5
138,8,0,553,0,2016,5
138,9,0,211,0,2016,5
138,1079,8,7583,1,2016,5
138,1080,10,2785,0,2016,5
138,1081,8,2425,0,2016,5
139,8,0,835,0,2016,5
139,9,0,349,0,2016,5
139,1082,7,15268,1,2016,5
139,1083,11,10040,0,2016,5
140,8,0,45,0,2016,5
140,9,0,42,0,2016,5
140,1084,6,2427,1,2016,5
140,1085,9,1584,0,2016,5
141,8,0,77,0,2016,5
141,9,0,74,0,2016,5
141,1086,9,5158,1,2016,5
141,1087,8,1638,0,2016,5
141,1088,6,719,0,2016,5
141,1089,8,616,0,2016,5
142,8,0,287,0,2016,5
142,9,0,211,0,2016,5
142,1090,9,6955,1,2016,5
142,1091,8,551,0,2016,5
142,1092,7,513,0,2016,5
143,8,0,476,0,2016,5
143,9,0,322,0,2016,5
143,143,12,1333,0,2016,5
143,1093,7,16592,1,2016,5
143,1094,8,10613,0,2016,5
143,1095,8,1012,0,2016,5
144,8,0,1046,0,2016,5
144,9,0,524,0,2016,5
144,1096,11,10128,1,2016,5
144,1097,8,4737,0,2016,5
144,1098,8,4197,0,2016,5
144,1099,6,1886,0,2016,5
145,8,0,1191,0,2016,5
145,9,0,632,0,2016,5
145,1100,11,8332,1,2016,5
145,1101,8,6796,0,2016,5
145,1102,8,5702,0,2016,5
146,8,0,42,0,2016,5
146,9,0,45,0,2016,5
146,1103,8,2780,1,2016,5
146,1104,8,1344,0,2016,5
147,8,0,139,0,2016,5
147,9,0,123,0,2016,5
147,1105,7,4203,1,2016,5
147,1106,9,4189,0,2016,5
147,1107,8,286,0,2016,5
148,8,0,112,0,2016,5
148,9,0,108,0,2016,5
148,1108,6,7756,1,2016,5
148,1109,11,6855,0,2016,5
149,8,0,63,0,2016,5
149,9,0,62,0,2016,5
149,1110,9,2303,1,2016,5
149,1111,8,1789,0,2016,5
149,1112,8,1005,0,2016,5
149,1113,8,711,0,2016,5
149,1114,8,249,0,2016,5
150,8,0,119,0,2016,5
150,9,0,92,0,2016,5
150,1115,6,5814,1,2016,5
150,1116,8,3660,0,2016,5
151,8,0,438,0,2016,5
151,9,0,213,0,2016,5
151,1117,6,8687,1,2016,5
151,1118,8,6695,0,2016,5
151,1119,8,2769,0,2016,5
151,1120,4,553,0,2016,5
151,1121,16,515,0,2016,5
152,8,0,859,0,2016,5
152,9,0,1041,0,2016,5
152,353,8,750,0,2016,5
152,1122,2,27350,1,2016,5
152,1123,6,14559,0,2016,5
152,1124,13,847,0,2016,5
152,1125,8,650,0,2016,5
152,1126,16,580,0,2016,5
153,8,0,84,0,2016,5
153,9,0,93,0,2016,5
153,1127,8,2962,1,2016,5
153,1128,8,2052,0,2016,5
153,1129,10,2024,0,2016,5
153,1130,8,745,0,2016,5
154,8,0,90,0,2016,5
154,9,0,138,0,2016,5
154,1131,6,5034,1,2016,5
154,1132,2,1865,0,2016,5
154,1133,8,154,0,2016,5
155,8,0,47,0,2016,5
155,9,0,31,0,2016,5
155,1134,6,1931,1,2016,5
155,1135,9,1785,0,2016,5
155,1136,8,924,0,2016,5
156,8,0,123,0,2016,5
156,9,0,134,0,2016,5
156,1137,8,3501,1,2016,5
156,1138,7,2014,0,2016,5
156,1139,8,1157,0,2016,5
156,1140,19,453,0,2016,5
156,1141,16,82,0,2016,5
157,8,0,384,0,2016,5
157,9,0,197,0,2016,5
157,1142,8,8501,1,2016,5
157,1143,8,7902,0,2016,5
157,1144,8,6522,0,2016,5
157,1145,16,680,0,2016,5
157,1146,8,158,0,2016,5
158,8,0,56,0,2016,5
158,9,0,46,0,2016,5
158,1147,10,2133,1,2016,5
