comuna_datachile_id,candidato_id,votos_candidato,partido_id,electo,year,election_id
57,8,102,0,0,2017,1
57,9,119,0,0,2017,1
57,147,691,8,0,2017,1
57,535,38,30,0,2017,1
57,561,465,9,0,2017,1
57,567,2115,8,0,2017,1
57,2550,3323,7,0,2017,1
57,2551,1190,8,0,2017,1
57,2552,40,28,0,2017,1
58,3,35,5,0,2017,1
58,8,13,0,0,2017,1
58,9,4,0,0,2017,1
58,147,61,8,0,2017,1
58,535,8,30,0,2017,1
58,561,15,9,0,2017,1
58,567,61,8,0,2017,1
58,2550,413,7,0,2017,1
58,2551,35,8,0,2017,1
58,2552,1,28,0,2017,1
59,3,1790,5,0,2017,1
59,8,399,0,0,2017,1
59,9,224,0,0,2017,1
59,147,3032,8,0,2017,1
59,535,134,30,0,2017,1
59,561,1780,9,0,2017,1
59,567,5109,8,0,2017,1
59,2550,19871,7,0,2017,1
59,2551,5093,8,0,2017,1
59,2552,130,28,0,2017,1
60,3,581,5,0,2017,1
60,8,141,0,0,2017,1
60,9,167,0,0,2017,1
60,147,1269,8,0,2017,1
60,535,61,30,0,2017,1
60,561,482,9,0,2017,1
60,567,2299,8,0,2017,1
60,2550,3546,7,0,2017,1
60,2551,875,8,0,2017,1
60,2552,63,28,0,2017,1
61,3,429,5,0,2017,1
61,8,54,0,0,2017,1
61,9,66,0,0,2017,1
61,147,325,8,0,2017,1
61,535,30,30,0,2017,1
61,561,416,9,0,2017,1
61,567,1794,8,0,2017,1
61,2550,2595,7,0,2017,1
61,2551,1017,8,0,2017,1
61,2552,45,28,0,2017,1
62,3,199,5,0,2017,1
62,8,53,0,0,2017,1
62,9,60,0,0,2017,1
62,147,165,8,0,2017,1
62,535,26,30,0,2017,1
62,561,362,9,0,2017,1
62,567,2436,8,0,2017,1
62,2550,1488,7,0,2017,1
62,2551,579,8,0,2017,1
62,2552,41,28,0,2017,1
63,3,818,5,0,2017,1
63,8,182,0,0,2017,1
63,9,89,0,0,2017,1
63,147,2025,8,0,2017,1
63,535,26,30,0,2017,1
63,561,1137,9,0,2017,1
63,567,2982,8,0,2017,1
63,2550,9093,7,0,2017,1
63,2551,4135,8,0,2017,1
63,2552,78,28,0,2017,1
64,3,4550,5,0,2017,1
64,8,836,0,0,2017,1
64,9,367,0,0,2017,1
64,147,9079,8,0,2017,1
64,535,1149,30,0,2017,1
64,561,6726,9,0,2017,1
64,567,18007,8,0,2017,1
64,2550,35395,7,0,2017,1
64,2551,20461,8,0,2017,1
64,2552,465,28,0,2017,1
65,3,4175,5,0,2017,1
65,8,555,0,0,2017,1
65,9,214,0,0,2017,1
65,147,3125,8,0,2017,1
65,535,174,30,0,2017,1
65,561,2594,9,0,2017,1
65,567,14884,8,0,2017,1
65,2550,17226,7,0,2017,1
65,2551,12487,8,0,2017,1
65,2552,344,28,0,2017,1
66,3,1275,5,0,2017,1
66,8,199,0,0,2017,1
66,9,179,0,0,2017,1
66,147,1357,8,0,2017,1
66,535,58,30,0,2017,1
66,561,895,9,0,2017,1
66,567,4648,8,0,2017,1
66,2550,6512,7,0,2017,1
66,2551,2721,8,0,2017,1
66,2552,105,28,0,2017,1
67,3,92,5,0,2017,1
67,8,36,0,0,2017,1
67,9,24,0,0,2017,1
67,147,169,8,0,2017,1
67,535,11,30,0,2017,1
67,561,97,9,0,2017,1
67,567,777,8,0,2017,1
67,2550,1189,7,0,2017,1
67,2551,191,8,0,2017,1
67,2552,9,28,0,2017,1
68,3,2519,5,0,2017,1
68,8,333,0,0,2017,1
68,9,219,0,0,2017,1
68,147,2449,8,0,2017,1
68,535,117,30,0,2017,1
68,561,1790,9,0,2017,1
68,567,11495,8,0,2017,1
68,2550,22297,7,0,2017,1
68,2551,10456,8,0,2017,1
68,2552,223,28,0,2017,1
69,3,3847,5,0,2017,1
69,8,571,0,0,2017,1
69,9,399,0,0,2017,1
69,147,3843,8,0,2017,1
69,535,164,30,0,2017,1
69,561,4004,9,0,2017,1
69,567,14699,8,0,2017,1
69,2550,25794,7,0,2017,1
69,2551,15074,8,0,2017,1
69,2552,324,28,0,2017,1
70,3,2249,5,0,2017,1
70,8,436,0,0,2017,1
70,9,245,0,0,2017,1
70,147,7899,8,0,2017,1
70,535,874,30,0,2017,1
70,561,1557,9,0,2017,1
70,567,10941,8,0,2017,1
70,2550,10540,7,0,2017,1
70,2551,6722,8,0,2017,1
70,2552,233,28,0,2017,1
71,3,87,5,0,2017,1
71,8,24,0,0,2017,1
71,9,25,0,0,2017,1
71,147,137,8,0,2017,1
71,535,11,30,0,2017,1
71,561,184,9,0,2017,1
71,567,984,8,0,2017,1
71,2550,630,7,0,2017,1
71,2551,475,8,0,2017,1
71,2552,16,28,0,2017,1
72,3,259,5,0,2017,1
72,8,94,0,0,2017,1
72,9,83,0,0,2017,1
72,147,727,8,0,2017,1
72,535,21,30,0,2017,1
72,561,565,9,0,2017,1
72,567,1666,8,0,2017,1
72,2550,3343,7,0,2017,1
72,2551,784,8,0,2017,1
72,2552,25,28,0,2017,1
73,3,277,5,0,2017,1
73,8,75,0,0,2017,1
73,9,89,0,0,2017,1
73,147,681,8,0,2017,1
73,535,26,30,0,2017,1
73,561,584,9,0,2017,1
73,567,1353,8,0,2017,1
73,2550,3367,7,0,2017,1
73,2551,681,8,0,2017,1
73,2552,30,28,0,2017,1
74,3,686,5,0,2017,1
74,8,144,0,0,2017,1
74,9,71,0,0,2017,1
74,147,691,8,0,2017,1
74,535,48,30,0,2017,1
74,561,775,9,0,2017,1
74,567,2916,8,0,2017,1
74,2550,4713,7,0,2017,1
74,2551,2341,8,0,2017,1
74,2552,54,28,0,2017,1
75,3,63,5,0,2017,1
75,8,20,0,0,2017,1
75,9,32,0,0,2017,1
75,147,59,8,0,2017,1
75,535,7,30,0,2017,1
75,561,137,9,0,2017,1
75,567,370,8,0,2017,1
75,2550,480,7,0,2017,1
75,2551,198,8,0,2017,1
75,2552,5,28,0,2017,1
76,3,690,5,0,2017,1
76,8,163,0,0,2017,1
76,9,127,0,0,2017,1
76,147,2162,8,0,2017,1
76,535,162,30,0,2017,1
76,561,649,9,0,2017,1
76,567,3984,8,0,2017,1
76,2550,4089,7,0,2017,1
76,2551,1525,8,0,2017,1
76,2552,73,28,0,2017,1
77,3,75,5,0,2017,1
77,8,31,0,0,2017,1
77,9,50,0,0,2017,1
77,147,196,8,0,2017,1
77,535,12,30,0,2017,1
77,561,165,9,0,2017,1
77,567,567,8,0,2017,1
77,2550,1566,7,0,2017,1
77,2551,318,8,0,2017,1
77,2552,10,28,0,2017,1
78,3,187,5,0,2017,1
78,8,66,0,0,2017,1
78,9,89,0,0,2017,1
78,147,161,8,0,2017,1
78,535,16,30,0,2017,1
78,561,423,9,0,2017,1
78,567,1414,8,0,2017,1
78,2550,1690,7,0,2017,1
78,2551,498,8,0,2017,1
78,2552,38,28,0,2017,1
79,3,3306,5,0,2017,1
79,8,620,0,0,2017,1
79,9,346,0,0,2017,1
79,147,4687,8,0,2017,1
79,535,167,30,0,2017,1
79,561,3548,9,0,2017,1
79,567,13184,8,0,2017,1
79,2550,20480,7,0,2017,1
79,2551,10508,8,0,2017,1
79,2552,286,28,0,2017,1
80,3,244,5,0,2017,1
80,8,35,0,0,2017,1
80,9,50,0,0,2017,1
80,147,286,8,0,2017,1
80,535,13,30,0,2017,1
80,561,281,9,0,2017,1
80,567,944,8,0,2017,1
80,2550,1532,7,0,2017,1
80,2551,744,8,0,2017,1
80,2552,13,28,0,2017,1
81,3,274,5,0,2017,1
81,8,47,0,0,2017,1
81,9,31,0,0,2017,1
81,147,163,8,0,2017,1
81,535,17,30,0,2017,1
81,561,237,9,0,2017,1
81,567,1988,8,0,2017,1
81,2550,1176,7,0,2017,1
81,2551,829,8,0,2017,1
81,2552,31,28,0,2017,1
82,3,558,5,0,2017,1
82,8,80,0,0,2017,1
82,9,53,0,0,2017,1
82,147,401,8,0,2017,1
82,535,18,30,0,2017,1
82,561,396,9,0,2017,1
82,567,2097,8,0,2017,1
82,2550,3048,7,0,2017,1
82,2551,1433,8,0,2017,1
82,2552,31,28,0,2017,1
83,3,4793,5,0,2017,1
83,8,550,0,0,2017,1
83,9,305,0,0,2017,1
83,147,4734,8,0,2017,1
83,535,185,30,0,2017,1
83,561,2373,9,0,2017,1
83,567,17550,8,0,2017,1
83,2550,18252,7,0,2017,1
83,2551,13257,8,0,2017,1
83,2552,321,28,0,2017,1
84,3,200,5,0,2017,1
84,8,52,0,0,2017,1
84,9,35,0,0,2017,1
84,147,256,8,0,2017,1
84,535,20,30,0,2017,1
84,561,537,9,0,2017,1
84,567,994,8,0,2017,1
84,2550,3104,7,0,2017,1
84,2551,449,8,0,2017,1
84,2552,17,28,0,2017,1
85,3,802,5,0,2017,1
85,8,154,0,0,2017,1
85,9,122,0,0,2017,1
85,147,763,8,0,2017,1
85,535,37,30,0,2017,1
85,561,700,9,0,2017,1
85,567,3387,8,0,2017,1
85,2550,4786,7,0,2017,1
85,2551,2333,8,0,2017,1
85,2552,67,28,0,2017,1
86,3,361,5,0,2017,1
86,8,54,0,0,2017,1
86,9,20,0,0,2017,1
86,147,260,8,0,2017,1
86,535,11,30,0,2017,1
86,561,327,9,0,2017,1
86,567,1491,8,0,2017,1
86,2550,2356,7,0,2017,1
86,2551,1184,8,0,2017,1
86,2552,19,28,0,2017,1
87,3,289,5,0,2017,1
87,8,26,0,0,2017,1
87,9,6,0,0,2017,1
87,147,251,8,0,2017,1
87,535,7,30,0,2017,1
87,561,218,9,0,2017,1
87,567,1374,8,0,2017,1
87,2550,1908,7,0,2017,1
87,2551,837,8,0,2017,1
87,2552,26,28,0,2017,1
88,3,127,5,0,2017,1
88,8,42,0,0,2017,1
88,9,50,0,0,2017,1
88,147,249,8,0,2017,1
88,535,12,30,0,2017,1
88,561,118,9,0,2017,1
88,567,345,8,0,2017,1
88,2550,1114,7,0,2017,1
88,2551,161,8,0,2017,1
88,2552,12,28,0,2017,1
89,3,134,5,0,2017,1
89,8,46,0,0,2017,1
89,9,34,0,0,2017,1
89,147,325,8,0,2017,1
89,535,51,30,0,2017,1
89,561,133,9,0,2017,1
89,567,742,8,0,2017,1
89,2550,1331,7,0,2017,1
