comuna_datachile_id,candidato_id,votos_candidato,electo,partido_id,year,election_id
117,2,14754,0,6,2013,2
117,8,505,0,0,2013,2
117,9,183,0,0,2013,2
118,1,3443,1,10,2013,2
118,2,2487,0,6,2013,2
118,8,70,0,0,2013,2
118,9,35,0,0,2013,2
119,1,1088,1,10,2013,2
119,2,577,0,6,2013,2
119,8,10,0,0,2013,2
119,9,11,0,0,2013,2
120,1,75363,1,10,2013,2
120,2,45954,0,6,2013,2
120,8,2211,0,0,2013,2
120,9,904,0,0,2013,2
121,1,27773,1,10,2013,2
121,2,11232,0,6,2013,2
121,8,506,0,0,2013,2
121,9,177,0,0,2013,2
122,1,1516,1,10,2013,2
122,2,334,0,6,2013,2
122,8,8,0,0,2013,2
122,9,14,0,0,2013,2
123,1,9180,1,10,2013,2
123,2,3950,0,6,2013,2
123,8,169,0,0,2013,2
123,9,63,0,0,2013,2
124,1,32657,1,10,2013,2
124,2,10485,0,6,2013,2
124,8,591,0,0,2013,2
124,9,208,0,0,2013,2
125,1,20529,1,10,2013,2
125,2,23179,0,6,2013,2
125,8,1255,0,0,2013,2
125,9,560,0,0,2013,2
126,1,38189,1,10,2013,2
126,2,21703,0,6,2013,2
126,8,830,0,0,2013,2
126,9,353,0,0,2013,2
127,1,8887,1,10,2013,2
127,2,5413,0,6,2013,2
127,8,157,0,0,2013,2
127,9,45,0,0,2013,2
128,1,2171,1,10,2013,2
128,2,1832,0,6,2013,2
128,8,51,0,0,2013,2
128,9,18,0,0,2013,2
129,1,203,1,10,2013,2
129,2,186,0,6,2013,2
129,8,4,0,0,2013,2
129,9,4,0,0,2013,2
130,1,141,1,10,2013,2
130,2,86,0,6,2013,2
130,8,3,0,0,2013,2
130,9,0,0,0,2013,2
131,1,5848,1,10,2013,2
131,2,2855,0,6,2013,2
131,8,135,0,0,2013,2
131,9,69,0,0,2013,2
132,1,4225,1,10,2013,2
132,2,2600,0,6,2013,2
132,8,64,0,0,2013,2
132,9,32,0,0,2013,2
133,1,5742,1,10,2013,2
133,2,2833,0,6,2013,2
133,8,67,0,0,2013,2
133,9,33,0,0,2013,2
134,1,30895,1,10,2013,2
134,2,95547,0,6,2013,2
134,8,2538,0,0,2013,2
134,9,1282,0,0,2013,2
135,1,8456,1,10,2013,2
135,2,4829,0,6,2013,2
135,8,136,0,0,2013,2
135,9,49,0,0,2013,2
136,1,6707,1,10,2013,2
136,2,2288,0,6,2013,2
136,8,115,0,0,2013,2
136,9,60,0,0,2013,2
137,1,2435,1,10,2013,2
137,2,805,0,6,2013,2
137,8,30,0,0,2013,2
137,9,14,0,0,2013,2
138,1,8478,1,10,2013,2
138,2,6053,0,6,2013,2
138,8,216,0,0,2013,2
138,9,84,0,0,2013,2
139,1,21376,1,10,2013,2
139,2,12720,0,6,2013,2
139,8,338,0,0,2013,2
139,9,114,0,0,2013,2
140,1,2017,1,10,2013,2
140,2,946,0,6,2013,2
