"","reply_ratio_2015","available_2013","available_2011","available_2009","available_2006","available_2003","available_2000","available_1998","available_1996","available_1994","available_1992","available_1990"
"y26_1c",1,0,0,0,0,0,0,0,0,0,0,0
"y26_1d",1,0,0,0,0,0,0,0,0,0,0,0
"y26_1e",1,0,0,0,0,0,0,0,0,0,0,0
"y26_1f",1,0,0,0,0,0,0,0,0,0,0,0
"y26_1g",1,0,0,0,0,0,0,0,0,0,0,0
"y26_1h",1,0,0,0,0,0,0,0,0,0,0,0
"y26_1i",1,0,0,0,0,0,0,0,0,0,0,0
"y26_1j",1,0,0,0,0,0,0,0,0,0,0,0
"y26_1jesp",0.0024,0,0,0,0,0,0,0,0,0,0,0
"y26_1am",0.0455,0,0,0,0,0,0,0,0,0,0,0
"y26_2bm1",0.0084,0,0,0,0,0,0,0,0,0,0,0
"y26_2bm2",0.0084,0,0,0,0,0,0,0,0,0,0,0
"y26_3b_in",0.0084,0,0,0,0,0,0,0,0,0,0,0
"y26_4b_mo",0.0037,0,0,0,0,0,0,0,0,0,0,0
"y26_2c",0.0595,0,0,0,0,0,0,0,0,0,0,0
"y26_3c_in",0.0596,0,0,0,0,0,0,0,0,0,0,0
"y26_4c_mo",0.0314,0,0,0,0,0,0,0,0,0,0,0
"y26_1dm",0.0134,0,0,0,0,0,0,0,0,0,0,0
"y26_2em1",0.0014,0,0,0,0,0,0,0,0,0,0,0
"y26_2em2",0.0011,0,0,0,0,0,0,0,0,0,0,0
"y26_3e_in",0.0014,0,0,0,0,0,0,0,0,0,0,0
"y26_4e_mo",0.0006,0,0,0,0,0,0,0,0,0,0,0
"y26_2f",0.0078,0,0,0,0,0,0,0,0,0,0,0
"y26_3f_in",0.0079,0,0,0,0,0,0,0,0,0,0,0
"y26_4f_mo",0.0045,0,0,0,0,0,0,0,0,0,0,0
"y26_2g",0.0231,0,0,0,0,0,0,0,0,0,0,0
"y26_3g_in",0.0232,0,0,0,0,0,0,0,0,0,0,0
"y26_4g_mo",0.0089,0,0,0,0,0,0,0,0,0,0,0
"y26_2h",0.002,0,0,0,0,0,0,0,0,0,0,0
"y26_3h_in",0.002,0,0,0,0,0,0,0,0,0,0,0
"y26_4h_mo",0.0006,0,0,0,0,0,0,0,0,0,0,0
"y26_2i",0.004,0,0,0,0,0,0,0,0,0,0,0
"y26_2j",0.0024,0,0,0,0,0,0,0,0,0,0,0
"y26_3j_in",0.0024,0,0,0,0,0,0,0,0,0,0,0
"y26_4j_mo",0.0008,0,0,0,0,0,0,0,0,0,0,0
"y27a",0.7511,0,0,0,0,0,0,0,0,0,0,0
"y27b",0.7511,0,0,0,0,0,0,0,0,0,0,0
"y27c",0.7511,0,0,0,0,0,0,0,0,0,0,0
"y27d",0.7511,0,0,0,0,0,0,0,0,0,0,0
"y27e",0.7511,0,0,0,0,0,0,0,0,0,0,0
"y0",0.8389,1,1,0,0,0,0,0,0,0,0,0
"s1",0.0939,1,1,1,1,1,1,1,1,1,1,1
"s1c",0.012,0,0,0,0,0,0,0,0,0,0,0
"s2a1",0.0939,0,0,0,0,0,0,0,0,0,0,0
"s2a2",0.0013,0,0,0,0,0,0,0,0,0,0,0
"s3",0.1855,1,1,0,0,0,1,0,1,1,1,1
"s4",0.3197,1,1,1,1,1,1,1,1,1,1,1
"s5",0.3177,1,1,1,1,1,1,1,1,1,1,1
"s6",0.2694,1,1,1,1,1,1,1,1,1,1,1
"s7",0.0177,1,1,1,1,0,1,1,1,1,1,1
"s8",0.4225,1,1,1,0,1,1,1,1,1,1,1
"s9",0.1538,1,1,1,0,0,1,1,1,1,1,1
"s10",0.2747,1,1,1,0,0,1,1,1,1,1,1
"s11",0.1097,1,1,1,0,0,1,1,1,1,1,1
"s12",1,1,1,1,0,0,1,1,1,1,1,1
"s13",1,1,1,1,0,0,1,1,1,1,1,1
"s13p",0.4096,0,0,0,0,0,0,0,0,0,0,0
"s14",0.3756,1,1,0,0,0,1,1,1,1,1,1
"s15",1,0,1,0,1,0,1,1,1,1,1,1
"s16",0.2171,1,1,0,1,1,1,1,1,1,1,1
"s17",0.0159,1,1,0,1,1,1,1,1,1,1,1
"s18a",0.1986,0,1,1,0,0,0,0,0,0,0,0
"s18b",0.1986,0,1,1,0,0,0,0,0,0,0,0
"s18c",0.1986,0,0,1,0,0,0,0,0,0,0,0
"s18d",0.1986,0,0,1,0,0,0,0,0,0,0,0
"s18e",0.1986,0,0,0,0,0,0,0,0,0,0,0
"s19a",0.1745,0,0,1,0,0,0,0,0,0,0,0
"s19b",0.1745,0,0,1,0,0,0,0,0,0,0,0
"s19c",0.1745,0,0,1,0,0,0,0,0,0,0,0
"s20a",0.1122,0,0,1,1,0,0,0,0,0,0,0
"s20b",0.1122,0,0,1,1,0,0,0,0,0,0,0
"s20c",0.1122,0,0,1,0,0,0,0,0,0,0,0
"s21a",0.0225,1,0,1,0,1,0,0,0,0,0,0
"s21b",0.0225,1,0,1,0,1,0,0,0,0,0,0
"s21c",0.0225,1,0,1,0,1,0,0,0,0,0,0
"s22a",0.1038,1,0,1,0,0,0,0,0,0,0,0
"s22b",0.1038,1,0,1,0,0,0,0,0,0,0,0
"s22c",0.1038,1,0,1,0,0,0,0,0,0,0,0
"s23a",0.0704,1,0,0,0,0,0,0,0,0,0,0
"s23b",0.0704,1,0,0,0,0,0,0,0,0,0,0
"s23c",0.0704,1,0,0,0,0,0,0,0,0,0,0
"s24a",0.1685,1,1,1,0,0,0,0,0,0,0,0
"s24b",0.1685,1,1,1,0,0,0,0,0,0,0,0
"s24c",0.1685,1,1,1,0,0,0,0,0,0,0,0
"s25a",0.0864,1,1,0,0,1,0,0,0,0,0,0
"s25b",0.0864,1,1,0,0,1,0,0,0,0,0,0
"s25c",0.0864,1,1,0,0,1,0,0,0,0,0,0
"s26a",0.2508,1,1,0,0,1,0,0,0,0,0,0
"s26b_c1",0.2508,0,0,0,0,0,0,0,0,0,0,0
"s26b_c2",0.0176,0,0,0,0,0,0,0,0,0,0,0
