date_id,date_index,year_id,quarter_id,quarter_name,month_id,month_name,week_id,week_name
300,1995-37,1995,3,1995-Q3,9,1995-9,37,1995-37
301,1995-38,1995,3,1995-Q3,9,1995-9,38,1995-38
302,1995-39,1995,3,1995-Q3,9,1995-9,39,1995-39
303,1995-40,1995,4,1995-Q4,10,1995-10,40,1995-40
304,1995-41,1995,4,1995-Q4,10,1995-10,41,1995-41
305,1995-42,1995,4,1995-Q4,10,1995-10,42,1995-42
306,1995-43,1995,4,1995-Q4,10,1995-10,43,1995-43
307,1995-44,1995,4,1995-Q4,10,1995-10,44,1995-44
308,1995-45,1995,4,1995-Q4,11,1995-11,45,1995-45
309,1995-46,1995,4,1995-Q4,11,1995-11,46,1995-46
310,1995-47,1995,4,1995-Q4,11,1995-11,47,1995-47
311,1995-48,1995,4,1995-Q4,11,1995-11,48,1995-48
312,1995-49,1995,4,1995-Q4,12,1995-12,49,1995-49
313,1995-50,1995,4,1995-Q4,12,1995-12,50,1995-50
314,1995-51,1995,4,1995-Q4,12,1995-12,51,1995-51
315,1996-1,1996,1,1996-Q1,1,1996-1,1,1996-1
316,1996-2,1996,1,1996-Q1,1,1996-1,2,1996-2
317,1996-3,1996,1,1996-Q1,1,1996-1,3,1996-3
318,1996-4,1996,1,1996-Q1,1,1996-1,4,1996-4
319,1996-5,1996,1,1996-Q1,1,1996-1,5,1996-5
320,1996-6,1996,1,1996-Q1,2,1996-2,6,1996-6
321,1996-7,1996,1,1996-Q1,2,1996-2,7,1996-7
322,1996-8,1996,1,1996-Q1,2,1996-2,8,1996-8
323,1996-9,1996,1,1996-Q1,2,1996-2,9,1996-9
324,1996-10,1996,1,1996-Q1,3,1996-3,10,1996-10
325,1996-11,1996,1,1996-Q1,3,1996-3,11,1996-11
326,1996-12,1996,1,1996-Q1,3,1996-3,12,1996-12
327,1996-13,1996,1,1996-Q1,3,1996-3,13,1996-13
328,1996-14,1996,2,1996-Q2,4,1996-4,14,1996-14
329,1996-15,1996,2,1996-Q2,4,1996-4,15,1996-15
330,1996-16,1996,2,1996-Q2,4,1996-4,16,1996-16
331,1996-17,1996,2,1996-Q2,4,1996-4,17,1996-17
332,1996-18,1996,2,1996-Q2,4,1996-4,18,1996-18
333,1996-19,1996,2,1996-Q2,5,1996-5,19,1996-19
334,1996-20,1996,2,1996-Q2,5,1996-5,20,1996-20
335,1996-21,1996,2,1996-Q2,5,1996-5,21,1996-21
336,1996-22,1996,2,1996-Q2,5,1996-5,22,1996-22
337,1996-23,1996,2,1996-Q2,6,1996-6,23,1996-23
338,1996-24,1996,2,1996-Q2,6,1996-6,24,1996-24
339,1996-25,1996,2,1996-Q2,6,1996-6,25,1996-25
340,1996-26,1996,2,1996-Q2,6,1996-6,26,1996-26
341,1996-27,1996,3,1996-Q3,7,1996-7,27,1996-27
342,1996-28,1996,3,1996-Q3,7,1996-7,28,1996-28
343,1996-29,1996,3,1996-Q3,7,1996-7,29,1996-29
344,1996-30,1996,3,1996-Q3,7,1996-7,30,1996-30
345,1996-31,1996,3,1996-Q3,7,1996-7,31,1996-31
346,1996-32,1996,3,1996-Q3,8,1996-8,32,1996-32
347,1996-33,1996,3,1996-Q3,8,1996-8,33,1996-33
348,1996-34,1996,3,1996-Q3,8,1996-8,34,1996-34
349,1996-35,1996,3,1996-Q3,8,1996-8,35,1996-35
350,1996-36,1996,3,1996-Q3,9,1996-9,36,1996-36
351,1996-37,1996,3,1996-Q3,9,1996-9,37,1996-37
352,1996-38,1996,3,1996-Q3,9,1996-9,38,1996-38
353,1996-39,1996,3,1996-Q3,9,1996-9,39,1996-39
354,1996-40,1996,3,1996-Q3,9,1996-9,40,1996-40
355,1996-41,1996,4,1996-Q4,10,1996-10,41,1996-41
356,1996-42,1996,4,1996-Q4,10,1996-10,42,1996-42
357,1996-43,1996,4,1996-Q4,10,1996-10,43,1996-43
358,1996-44,1996,4,1996-Q4,10,1996-10,44,1996-44
359,1996-45,1996,4,1996-Q4,11,1996-11,45,1996-45
360,1996-46,1996,4,1996-Q4,11,1996-11,46,1996-46
361,1996-47,1996,4,1996-Q4,11,1996-11,47,1996-47
362,1996-48,1996,4,1996-Q4,11,1996-11,48,1996-48
363,1996-49,1996,4,1996-Q4,12,1996-12,49,1996-49
364,1996-50,1996,4,1996-Q4,12,1996-12,50,1996-50
365,1996-51,1996,4,1996-Q4,12,1996-12,51,1996-51
366,1996-52,1996,4,1996-Q4,12,1996-12,52,1996-52
367,1997-1,1997,1,1997-Q1,1,1997-1,1,1997-1
368,1997-2,1997,1,1997-Q1,1,1997-1,2,1997-2
369,1997-3,1997,1,1997-Q1,1,1997-1,3,1997-3
370,1997-4,1997,1,1997-Q1,1,1997-1,4,1997-4
371,1997-5,1997,1,1997-Q1,1,1997-1,5,1997-5
372,1997-6,1997,1,1997-Q1,2,1997-2,6,1997-6
373,1997-7,1997,1,1997-Q1,2,1997-2,7,1997-7
374,1997-8,1997,1,1997-Q1,2,1997-2,8,1997-8
375,1997-9,1997,1,1997-Q1,2,1997-2,9,1997-9
376,1997-10,1997,1,1997-Q1,3,1997-3,10,1997-10
377,1997-11,1997,1,1997-Q1,3,1997-3,11,1997-11
378,1997-12,1997,1,1997-Q1,3,1997-3,12,1997-12
379,1997-13,1997,1,1997-Q1,3,1997-3,13,1997-13
380,1997-14,1997,1,1997-Q1,3,1997-3,14,1997-14
